Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538338990206,5617291259626,-0.05482483,4.6889343,8.614334
android.sensor.accelerometer,1538338990225,5617311279158,0.01939392,4.751175,8.362946
android.sensor.accelerometer,1538338990245,5617331298689,-0.05482483,4.818222,8.36055
android.sensor.accelerometer,1538338990265,5617351318220,-0.04524231,4.8014526,8.580826
android.sensor.accelerometer,1538338990285,5617371307234,0.06967163,4.782303,8.67659
android.sensor.accelerometer,1538338990307,5617391326765,0.08164978,4.7846985,8.870514
android.sensor.accelerometer,1538338990327,5617411346296,0.04333496,4.6937103,9.038116
android.sensor.accelerometer,1538338990347,5617431365828,0.10798645,4.597946,8.911224
android.sensor.accelerometer,1538338990366,5617451354841,0.22290039,4.5716095,8.671799
android.sensor.accelerometer,1538338990387,5617471374373,0.14389038,4.6410522,8.707718
android.sensor.accelerometer,1538338990407,5617491393904,0.04812622,4.562042,8.911224
android.sensor.accelerometer,1538338990427,5617511413435,0.0074310303,4.4925995,9.006989
android.sensor.accelerometer,1538338990447,5617531432966,0.0385437,4.569214,8.959106
android.sensor.accelerometer,1538338990466,5617551421980,-0.1098938,4.6194916,8.880096
android.sensor.accelerometer,1538338990487,5617571441511,-0.19607544,4.621887,8.67659
android.sensor.accelerometer,1538338990507,5617591461042,-0.1386261,4.6865387,8.494629
android.sensor.accelerometer,1538338990526,5617611480574,-0.19607544,4.6985016,8.444351
android.sensor.accelerometer,1538338990547,5617631500105,-0.23918152,4.6889343,8.549698
android.sensor.accelerometer,1538338990567,5617651489119,-0.3373413,4.624283,8.669403
android.sensor.accelerometer,1538338990587,5617671508650,-0.40197754,4.6194916,8.621521
android.sensor.accelerometer,1538338990606,5617691528181,-0.3564911,4.5835876,8.49942
android.sensor.accelerometer,1538338990627,5617711547712,-0.29185486,4.6075287,8.566452
android.sensor.accelerometer,1538338990646,5617731536726,-0.26072693,4.6266785,8.659836
android.sensor.accelerometer,1538338990667,5617751556257,-0.24157715,4.6817474,8.564056
android.sensor.accelerometer,1538338990687,5617771575789,-0.17453003,4.7128754,8.497025
android.sensor.accelerometer,1538338990707,5617791595320,-0.23199463,4.6386566,8.525757
android.sensor.accelerometer,1538338990727,5617811614851,-0.18411255,4.6194916,8.525757
android.sensor.accelerometer,1538338990747,5617831603865,-0.37086487,4.562042,8.669403
android.sensor.accelerometer,1538338990767,5617851623396,-0.28945923,4.727234,8.837006
android.sensor.accelerometer,1538338990787,5617871642927,-0.2511444,4.822998,8.73645
android.sensor.accelerometer,1538338990807,5617891662458,-0.10510254,4.755966,8.683777
android.sensor.accelerometer,1538338990826,5617911681990,0.06248474,4.799057,8.470688
android.sensor.accelerometer,1538338990847,5617931671003,0.00982666,4.909195,8.24324
android.sensor.accelerometer,1538338990867,5617951690535,-0.08834839,4.9738464,8.075653
android.sensor.accelerometer,1538338990886,5617971710066,-0.13623047,4.9858093,8.011002
android.sensor.accelerometer,1538338990906,5617991729597,-0.21044922,5.091156,8.049316
android.sensor.accelerometer,1538338990927,5618011718611,-0.37086487,5.151016,8.054092
android.sensor.accelerometer,1538338990947,5618031738142,-0.2990265,5.1438293,8.293518
android.sensor.accelerometer,1538338990967,5618051757673,-0.19847107,5.048065,8.36055
android.sensor.accelerometer,1538338990987,5618071777205,-0.12664795,5.0456696,8.159439
android.sensor.accelerometer,1538338991007,5618091796736,-0.23918152,5.158188,7.8434143
android.sensor.accelerometer,1538338991027,5618111785749,-0.21524048,5.182129,7.8529816
android.sensor.accelerometer,1538338991047,5618131805281,-0.014129639,5.110306,8.1019745
android.sensor.accelerometer,1538338991067,5618151824812,0.1247406,4.9738464,8.27916
android.sensor.accelerometer,1538338991087,5618171844343,0.12953186,4.94989,8.267181
android.sensor.accelerometer,1538338991107,5618191833357,0.05770874,5.0025635,8.403656
android.sensor.accelerometer,1538338991128,5618211852888,0.12953186,4.971451,8.303101
android.sensor.accelerometer,1538338991147,5618231872419,0.44555664,4.94989,8.152267
android.sensor.accelerometer,1538338991167,5618251891951,0.948349,4.8756714,8.075653
android.sensor.accelerometer,1538338991187,5618271911482,0.85736084,4.9738464,8.032547
android.sensor.accelerometer,1538338991207,5618291900496,0.3306427,5.1653748,8.386887
android.sensor.accelerometer,1538338991227,5618311920027,0.03137207,4.8708954,8.511383
android.sensor.accelerometer,1538338991247,5618331939558,-0.08355713,4.9283447,8.607162
android.sensor.accelerometer,1538338991266,5618351959089,-0.26791382,5.0815735,8.55928
android.sensor.accelerometer,1538338991287,5618371948103,0.02418518,5.18692,8.564056
android.sensor.accelerometer,1538338991307,5618391967634,0.27557373,5.1174927,8.437164
android.sensor.accelerometer,1538338991327,5618411987166,0.17262268,5.103119,8.192963
android.sensor.accelerometer,1538338991347,5618432006697,-0.06201172,5.210861,7.9391785
android.sensor.accelerometer,1538338991367,5618452026228,-0.18890381,5.2707214,7.9487457
android.sensor.accelerometer,1538338991387,5618472015242,-0.11946106,5.139038,8.305496
android.sensor.accelerometer,1538338991407,5618492034773,-0.05722046,5.0935516,8.726868
android.sensor.accelerometer,1538338991427,5618512054304,0.04812622,5.10791,8.827423
android.sensor.accelerometer,1538338991447,5618532073835,-0.0021514893,5.1438293,8.635895
android.sensor.accelerometer,1538338991467,5618552093367,-0.05722046,5.1294556,8.48027
android.sensor.accelerometer,1538338991487,5618572082380,0.016998291,5.0696106,8.353378
android.sensor.accelerometer,1538338991507,5618592101912,0.07206726,5.083969,8.185776
android.sensor.accelerometer,1538338991527,5618612121443,0.00982666,5.10791,8.066071
android.sensor.accelerometer,1538338991547,5618632140974,0.02418518,5.052841,8.092407
android.sensor.accelerometer,1538338991567,5618652129988,0.23727417,5.004959,8.133102
android.sensor.accelerometer,1538338991588,5618672149519,0.36177063,4.9618683,8.190567
android.sensor.accelerometer,1538338991607,5618692169050,0.23248291,5.019333,8.317459
android.sensor.accelerometer,1538338991628,5618712188582,0.33543396,5.004959,8.494629
android.sensor.accelerometer,1538338991648,5618732208113,0.41444397,4.9546814,8.516174
android.sensor.accelerometer,1538338991668,5618752197126,0.34739685,5.012146,8.36055
android.sensor.accelerometer,1538338991688,5618772216658,0.19895935,5.0887604,8.190567
android.sensor.accelerometer,1538338991708,5618792236189,0.0050354004,5.155792,8.049316
android.sensor.accelerometer,1538338991728,5618812255720,0.0074310303,5.1725616,8.056488
android.sensor.accelerometer,1538338991748,5618832275251,0.10798645,5.139038,8.123535
android.sensor.accelerometer,1538338991768,5618852264265,0.06967163,5.103119,8.288727
android.sensor.accelerometer,1538338991788,5618872283796,0.01939392,5.079178,8.520966
android.sensor.accelerometer,1538338991808,5618892303328,0.07206726,5.000168,8.532944
android.sensor.accelerometer,1538338991828,5618912322859,0.16543579,4.969055,8.386887
android.sensor.accelerometer,1538338991848,5618932311873,0.20854187,4.988205,8.226486
android.sensor.accelerometer,1538338991868,5618952331404,0.21333313,5.012146,8.152267
android.sensor.accelerometer,1538338991888,5618972350935,0.11276245,5.050461,8.207321
android.sensor.accelerometer,1538338991908,5618992370466,0.06010437,5.024124,8.315063
android.sensor.accelerometer,1538338991928,5619012389998,0.02658081,5.036087,8.276764
android.sensor.accelerometer,1538338991947,5619032379011,2.4414062E-4,5.103119,8.197754
android.sensor.accelerometer,1538338991968,5619052398542,0.02897644,5.110306,8.20015
android.sensor.accelerometer,1538338991988,5619072418074,0.06248474,5.0887604,8.396469
android.sensor.accelerometer,1538338992008,5619092437605,0.06010437,4.992996,8.667007
android.sensor.accelerometer,1538338992028,5619112457136,0.11038208,4.969055,8.714905
android.sensor.accelerometer,1538338992048,5619132446150,0.1247406,5.019333,8.48027
android.sensor.accelerometer,1538338992068,5619152465681,0.15107727,5.0384827,8.269577
android.sensor.accelerometer,1538338992088,5619172485212,0.16305542,5.052841,8.226486
android.sensor.accelerometer,1538338992108,5619192504744,0.2444458,5.0289,8.3390045
android.sensor.accelerometer,1538338992128,5619212493757,0.24205017,4.9738464,8.425201
android.sensor.accelerometer,1538338992148,5619232513289,0.13909912,5.0025635,8.463501
android.sensor.accelerometer,1538338992168,5619252532820,0.11994934,5.0408783,8.410828
android.sensor.accelerometer,1538338992188,5619272552351,0.2109375,5.0456696,8.451538
android.sensor.accelerometer,1538338992208,5619292571882,0.37373352,4.9977875,8.664612
android.sensor.accelerometer,1538338992228,5619312560896,0.31866455,4.892441,8.875305
android.sensor.accelerometer,1538338992247,5619332580427,0.0960083,4.9594727,8.659836
android.sensor.accelerometer,1538338992267,5619352599958,-0.08595276,5.091156,8.214508
android.sensor.accelerometer,1538338992288,5619372619490,-0.1098938,5.1677704,7.8457947
