Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538336939101,3565892561771,-0.011657715,-0.07910156,-0.029678345
android.sensor.gyroscope,1538336939113,3565912581302,-0.03189087,-0.10147095,-0.02861023
android.sensor.gyroscope,1538336939125,3565932600834,-0.020187378,-0.13235474,-0.053115845
android.sensor.gyroscope,1538336939145,3565952620365,0.009643555,-0.118515015,-0.05630493
android.sensor.gyroscope,1538336939165,3565972639896,0.03201294,-0.10147095,-0.027542114
android.sensor.gyroscope,1538336939185,3565992628910,0.033081055,-0.12490845,-0.0019836426
android.sensor.gyroscope,1538336939205,3566012648441,0.030960083,-0.15579224,-0.033935547
android.sensor.gyroscope,1538336939226,3566032667972,-0.0020751953,-0.10147095,-0.08081055
android.sensor.gyroscope,1538336939246,3566052687504,-0.05532837,0.012512207,-0.0925293
android.sensor.gyroscope,1538336939267,3566072707035,-0.068115234,0.07324219,-0.0776062
android.sensor.gyroscope,1538336939286,3566092696049,-0.0340271,0.06790161,-0.029678345
android.sensor.gyroscope,1538336939307,3566112715580,-0.0031433105,0.024230957,0.035308838
android.sensor.gyroscope,1538336939326,3566132735111,6.1035156E-5,-0.054595947,0.071517944
android.sensor.gyroscope,1538336939346,3566152754642,-0.004196167,-0.13449097,0.07258606
android.sensor.gyroscope,1538336939367,3566172774174,-0.05960083,-0.33476257,0.052352905
android.sensor.gyroscope,1538336939386,3566192763187,-0.13949585,-0.4615326,0.048095703
android.sensor.gyroscope,1538336939407,3566212782719,-0.0574646,-0.34648132,-0.015823364
android.sensor.gyroscope,1538336939427,3566232802250,0.11404419,-0.24633789,-0.010498047
android.sensor.gyroscope,1538336939447,3566252821781,0.30152893,-0.55633545,0.12478638
android.sensor.gyroscope,1538336939467,3566272841312,0.5561218,-1.1528778,0.118392944
android.sensor.gyroscope,1538336939487,3566292830326,0.9630585,-1.3350372,0.064071655
android.sensor.gyroscope,1538336939506,3566312849857,1.4882355,-0.80241394,0.2004242
android.sensor.gyroscope,1538336939525,3566332869388,2.100769,0.19680786,0.5018921
android.sensor.gyroscope,1538336939545,3566352888920,2.4160767,1.3835144,0.95996094
android.sensor.gyroscope,1538336939566,3566372908451,2.5215454,2.287918,1.4297333
android.sensor.gyroscope,1538336939587,3566392897465,2.8901215,2.1728668,1.9389343
android.sensor.gyroscope,1538336939606,3566412916996,3.7167664,1.4878998,2.5152435
android.sensor.gyroscope,1538336939627,3566432936527,4.7202454,0.59628296,2.5397491
android.sensor.gyroscope,1538336939647,3566452956058,4.9588623,0.08282471,1.7567749
android.sensor.gyroscope,1538336939666,3566472975590,4.010788,1.3462219,1.0835266
android.sensor.gyroscope,1538336939686,3566492964603,2.5226135,3.5811462,1.136795
android.sensor.gyroscope,1538336939706,3566512984135,1.6853027,3.974228,1.8121643
android.sensor.gyroscope,1538336939726,3566533003666,2.292511,2.5148163,2.0997925
android.sensor.gyroscope,1538336939747,3566553023197,3.3907928,1.3930969,1.568222
android.sensor.gyroscope,1538336939767,3566573042728,3.2224884,0.8338318,1.4190826
android.sensor.gyroscope,1538336939787,3566593031742,2.4863892,0.8764496,1.5991211
android.sensor.gyroscope,1538336939807,3566613051273,1.6150055,1.7254639,1.5501099
android.sensor.gyroscope,1538336939832,3566633070804,0.37503052,2.8834076,1.2869873
android.sensor.gyroscope,1538336939846,3566653090336,-0.4143219,3.3585052,1.0952454
android.sensor.gyroscope,1538336939866,3566673109867,-0.253479,3.0858002,1.2124176
android.sensor.gyroscope,1538336939886,3566693098881,-0.013793945,2.8184204,1.5245514
