Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538338900718,5528153844294,0.13728333,-0.032073975,0.13160706
android.sensor.gyroscope,1538338900729,5528173863825,-0.0640564,0.15542603,0.20297241
android.sensor.gyroscope,1538338900749,5528193883357,-0.24407959,0.3109436,0.2541046
android.sensor.gyroscope,1538338900769,5528213902888,-0.40919495,0.5165405,0.27861023
android.sensor.gyroscope,1538338900789,5528233891902,-0.5189209,0.62945557,0.27009583
android.sensor.gyroscope,1538338900811,5528253911433,-0.54981995,0.50909424,0.24559021
android.sensor.gyroscope,1538338900831,5528273930964,-0.5604706,0.24597168,0.18699646
android.sensor.gyroscope,1538338900851,5528293950495,-0.51145935,0.0020141602,0.09963989
android.sensor.gyroscope,1538338900871,5528313970027,-0.38256836,-0.1481781,0.0410614
android.sensor.gyroscope,1538338900891,5528333959040,-0.264328,-0.12901306,0.054901123
android.sensor.gyroscope,1538338900911,5528353978571,-0.2408905,-0.07254028,0.11242676
android.sensor.gyroscope,1538338900931,5528373998103,-0.2675171,-0.067214966,0.117752075
android.sensor.gyroscope,1538338900951,5528394017634,-0.24728394,-0.20996094,0.07194519
android.sensor.gyroscope,1538338900971,5528414006648,-0.0012054443,-0.576416,0.013366699
android.sensor.gyroscope,1538338900991,5528434026179,0.44514465,-1.1079865,-0.09529114
android.sensor.gyroscope,1538338901011,5528454045710,1.0661926,-2.1668549,-0.47239685
android.sensor.gyroscope,1538338901032,5528474065241,1.8310547,-3.7328033,-1.0082245
android.sensor.gyroscope,1538338901052,5528494054255,2.458496,-5.0579834,-1.3576355
android.sensor.gyroscope,1538338901072,5528514073786,3.367157,-6.4407043,-1.9627075
android.sensor.gyroscope,1538338901091,5528534093318,4.672119,-7.9757385,-2.862854
android.sensor.gyroscope,1538338901110,5528554112849,5.693695,-9.493744,-3.9536896
android.sensor.gyroscope,1538338901130,5528574132380,6.215683,-10.747559,-5.13826
android.sensor.gyroscope,1538338901151,5528594121394,6.342453,-11.200302,-6.0554504
android.sensor.gyroscope,1538338901171,5528614140925,6.0196686,-10.804016,-6.5657196
android.sensor.gyroscope,1538338901192,5528634160456,5.3656006,-10.087097,-6.6775665
android.sensor.gyroscope,1538338901212,5528654179988,4.5677185,-9.582169,-6.4581146
android.sensor.gyroscope,1538338901231,5528674199519,3.7080536,-9.198669,-6.000061
android.sensor.gyroscope,1538338901251,5528694188532,2.6438446,-8.539276,-5.4993896
android.sensor.gyroscope,1538338901271,5528714208064,1.4102783,-7.7328644,-4.755829
android.sensor.gyroscope,1538338901291,5528734227595,0.07975769,-6.4737244,-3.6660614
android.sensor.gyroscope,1538338901312,5528754247126,-0.88323975,-4.5455933,-2.4932098
android.sensor.gyroscope,1538338901331,5528774236140,-1.2646027,-2.7836456,-1.5664215
android.sensor.gyroscope,1538338901352,5528794255671,-1.1357117,-1.8302307,-0.95602417
android.sensor.gyroscope,1538338901372,5528814275202,-0.7649994,-1.3934784,-0.7067566
android.sensor.gyroscope,1538338901391,5528834294734,-0.49015808,-1.1495361,-0.7312622
android.sensor.gyroscope,1538338901412,5528854314265,-0.44648743,-1.1463318,-0.7855835
android.sensor.gyroscope,1538338901432,5528874303279,-0.6392975,-1.0994568,-0.8324585
android.sensor.gyroscope,1538338901451,5528894322810,-0.90774536,-0.98335266,-0.84098816
android.sensor.gyroscope,1538338901471,5528914342341,-0.8129425,-0.9705658,-0.6609497
android.sensor.gyroscope,1538338901492,5528934361872,-0.4454193,-0.91304016,-0.47027588
android.sensor.gyroscope,1538338901511,5528954350886,-0.32078552,-0.77349854,-0.62579346
android.sensor.gyroscope,1538338901531,5528974370417,-0.6776428,-1.1537933,-0.9858551
android.sensor.gyroscope,1538338901552,5528994389948,-1.2582092,-2.4448853,-1.0550995
android.sensor.gyroscope,1538338901571,5529014409480,-1.5490265,-3.8808746,-0.8292694
android.sensor.gyroscope,1538338901591,5529034429011,-1.2305145,-4.383667,-0.7674713
android.sensor.gyroscope,1538338901610,5529054418025,-0.3186493,-3.682724,-0.457489
android.sensor.gyroscope,1538338901631,5529074437556,0.5814972,-2.420395,0.63653564
android.sensor.gyroscope,1538338901651,5529094457087,2.1186676,-0.9844208,1.3491974
android.sensor.gyroscope,1538338901671,5529114476618,4.5208435,-0.39318848,1.164917
android.sensor.gyroscope,1538338901691,5529134465632,6.731262,0.5080261,1.0040588
android.sensor.gyroscope,1538338901712,5529154485163,8.751007,1.9727631,1.690094
android.sensor.gyroscope,1538338901732,5529174504695,11.058365,3.992508,2.4485474
android.sensor.gyroscope,1538338901751,5529194524226,11.439743,7.0253143,2.506073
android.sensor.gyroscope,1538338901771,5529214543757,7.23407,9.20697,2.7074127
android.sensor.gyroscope,1538338901792,5529234532771,4.2140503,6.4692383,3.713028
android.sensor.gyroscope,1538338901811,5529254552302,6.026062,0.108551025,2.8128815
android.sensor.gyroscope,1538338901832,5529274571833,9.365662,-2.0592651,1.2192383
android.sensor.gyroscope,1538338901851,5529294591364,8.025558,1.7149658,0.76649475
