Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538338782720,5410139225954,-0.22003174,6.324173,7.2304993
android.sensor.accelerometer,1538338782720,5410159245485,-0.12664795,6.4175415,7.005432
android.sensor.accelerometer,1538338782735,5410179234499,-0.11708069,6.522888,6.8210907
android.sensor.accelerometer,1538338782755,5410199254030,0.10559082,6.6713257,6.8019257
android.sensor.accelerometer,1538338782774,5410219273562,0.3019104,6.7144165,7.146698
android.sensor.accelerometer,1538338782795,5410239293093,0.23487854,6.6904755,7.1993713
android.sensor.accelerometer,1538338782814,5410259282107,0.2157135,6.7694855,6.933609
android.sensor.accelerometer,1538338782838,5410279301638,0.26361084,6.9083557,6.684616
android.sensor.accelerometer,1538338782857,5410299321169,0.29951477,6.8796234,6.8258667
android.sensor.accelerometer,1538338782877,5410319340700,0.29232788,6.8844147,6.6415253
android.sensor.accelerometer,1538338782897,5410339329714,0.33303833,6.90596,5.9663544
android.sensor.accelerometer,1538338782917,5410359349245,0.3378296,6.889206,5.5665283
android.sensor.accelerometer,1538338782937,5410379368776,0.5796356,6.621048,5.8250885
android.sensor.accelerometer,1538338782957,5410399388308,0.95791626,6.360077,6.3159027
android.sensor.accelerometer,1538338782976,5410419407839,1.5684509,6.324173,6.332672
android.sensor.accelerometer,1538338782998,5410439396853,2.6003418,6.2116394,5.245697
android.sensor.accelerometer,1538338783016,5410459416384,2.976242,5.7615356,4.589691
android.sensor.accelerometer,1538338783035,5410479435915,4.458252,5.1294556,3.9624023
android.sensor.accelerometer,1538338783056,5410499455446,6.100662,4.5596466,3.114853
android.sensor.accelerometer,1538338783076,5410519444460,7.7191467,4.1789703,2.0685883
android.sensor.accelerometer,1538338783098,5410539463991,8.590637,3.3457794,0.42378235
android.sensor.accelerometer,1538338783116,5410559483523,9.397491,1.8565826,-0.6584015
android.sensor.accelerometer,1538338783137,5410579503054,9.98407,0.001083374,1.0319061
android.sensor.accelerometer,1538338783156,5410599492068,12.627258,0.300354,3.4979248
android.sensor.accelerometer,1538338783176,5410619511599,15.457214,0.42007446,2.9305115
android.sensor.accelerometer,1538338783195,5410639531130,16.517838,-0.60943604,2.4636383
android.sensor.accelerometer,1538338783216,5410659550661,17.049347,-2.1608887,3.5865173
android.sensor.accelerometer,1538338783236,5410679570193,17.389328,-3.0491333,5.3701935
android.sensor.accelerometer,1538338783257,5410699559206,17.580872,-3.3460083,7.6231384
android.sensor.accelerometer,1538338783276,5410719578737,17.94957,-3.341217,7.43161
android.sensor.accelerometer,1538338783296,5410739598269,17.298355,-5.060257,6.72052
android.sensor.accelerometer,1538338783316,5410759617800,16.304764,-6.681137,7.9319916
android.sensor.accelerometer,1538338783336,5410779606814,16.189835,-6.5374756,14.13298
android.sensor.accelerometer,1538338783356,5410799626345,15.174698,-6.341156,12.844894
android.sensor.accelerometer,1538338783377,5410819645876,15.63678,-5.649231,9.579208
android.sensor.accelerometer,1538338783396,5410839665407,14.940063,-5.2134857,9.806656
android.sensor.accelerometer,1538338783417,5410859654421,14.288834,-4.155258,9.62709
android.sensor.accelerometer,1538338783436,5410879673952,14.422913,-3.3579865,8.887283
android.sensor.accelerometer,1538338783456,5410899693484,13.929703,-3.257431,7.280777
android.sensor.accelerometer,1538338783477,5410919713015,12.141235,-3.815277,5.3701935
android.sensor.accelerometer,1538338783497,5410939732546,9.986465,-4.119339,5.956772
android.sensor.accelerometer,1538338783517,5410959721560,9.883514,-3.8511963,3.988739
android.sensor.accelerometer,1538338783537,5410979741091,11.360733,-3.6620483,3.7373505
android.sensor.accelerometer,1538338783557,5410999760622,11.173981,-3.3316498,7.5920105
android.sensor.accelerometer,1538338783576,5411019780153,10.673599,-0.98054504,7.1849976
android.sensor.accelerometer,1538338783596,5411039769167,7.467758,-1.7562561,3.6559448
android.sensor.accelerometer,1538338783616,5411059788698,5.023285,-2.83844,4.2066193
android.sensor.accelerometer,1538338783638,5411079808230,5.7894287,-2.6540833,6.0262146
android.sensor.accelerometer,1538338783656,5411099827761,8.140533,-1.5910645,4.718979
android.sensor.accelerometer,1538338783679,5411119816775,7.5204315,-1.6030273,4.2281647
android.sensor.accelerometer,1538338783696,5411139836306,6.423889,-1.5527496,4.458008
android.sensor.accelerometer,1538338783717,5411159855837,6.6297913,-1.3971252,5.2361298
android.sensor.accelerometer,1538338783740,5411179875368,6.905121,-1.9238586,5.73172
android.sensor.accelerometer,1538338783756,5411199864382,6.4885254,-2.4362183,4.553772
