Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538339062204,5689277764506,-0.018249512,0.038238525,-0.03883362
android.sensor.gyroscope,1538339062212,5689297784037,-0.0033416748,0.033981323,-0.034576416
android.sensor.gyroscope,1538339062231,5689317803568,0.013702393,0.016937256,-0.023925781
android.sensor.gyroscope,1538339062252,5689337823100,0.024368286,-0.005432129,-0.018600464
android.sensor.gyroscope,1538339062272,5689357812113,0.02330017,-0.0075683594,-0.011138916
android.sensor.gyroscope,1538339062292,5689377831645,0.024368286,-1.0681152E-4,-0.0047454834
android.sensor.gyroscope,1538339062313,5689397851176,0.029693604,-0.00970459,-0.012207031
android.sensor.gyroscope,1538339062332,5689417870707,0.022232056,-0.022476196,-0.027114868
android.sensor.gyroscope,1538339062353,5689437890238,-0.01399231,-0.017150879,-0.042037964
android.sensor.gyroscope,1538339062372,5689457879252,-0.050201416,0.012680054,-0.05055237
android.sensor.gyroscope,1538339062393,5689477898783,-0.05340576,0.040374756,-0.0526886
android.sensor.gyroscope,1538339062413,5689497918315,-0.036361694,0.057418823,-0.036712646
android.sensor.gyroscope,1538339062433,5689517937846,-0.027832031,0.04144287,-0.022857666
android.sensor.gyroscope,1538339062453,5689537926859,-0.008666992,0.0030822754,-0.016464233
android.sensor.gyroscope,1538339062474,5689557946391,0.017974854,-0.028869629,-4.8828125E-4
android.sensor.gyroscope,1538339062493,5689577965922,0.048858643,-0.05230713,0.021881104
android.sensor.gyroscope,1538339062513,5689597985453,0.08401489,-0.076812744,0.02720642
android.sensor.gyroscope,1538339062533,5689617974467,0.11810303,-0.1013031,0.012298584
android.sensor.gyroscope,1538339062554,5689637993998,0.12982178,-0.13327026,0.012298584
android.sensor.gyroscope,1538339062573,5689658013529,0.16711426,-0.24937439,0.008041382
android.sensor.gyroscope,1538339062593,5689678033061,0.25019836,-0.5657654,0.03678894
android.sensor.gyroscope,1538339062612,5689698052592,0.41851807,-1.5085297,0.10070801
android.sensor.gyroscope,1538339062633,5689718041606,0.5133209,-2.8166656,0.082595825
android.sensor.gyroscope,1538339062654,5689738061137,0.7103882,-4.476349,-0.016464233
android.sensor.gyroscope,1538339062674,5689758080668,1.280304,-6.215927,0.106033325
android.sensor.gyroscope,1538339062693,5689778100199,2.3594208,-8.232468,0.6344147
android.sensor.gyroscope,1538339062714,5689798119731,4.224701,-10.850891,0.91030884
android.sensor.gyroscope,1538339062733,5689818108744,6.3168793,-12.888748,0.23173523
android.sensor.gyroscope,1538339062753,5689838128275,7.283081,-12.881287,-1.2862701
android.sensor.gyroscope,1538339062774,5689858147807,7.089203,-11.213089,-2.6135864
android.sensor.gyroscope,1538339062794,5689878167338,5.9269867,-9.544876,-2.9651184
android.sensor.gyroscope,1538339062814,5689898156352,3.9775543,-9.205063,-2.7137146
android.sensor.gyroscope,1538339062834,5689918175883,1.7469025,-8.902527,-2.4729614
android.sensor.gyroscope,1538339062852,5689938195414,-0.2366333,-7.1629486,-2.3898773
android.sensor.gyroscope,1538339062873,5689958214945,-0.9279785,-5.322174,-2.464447
android.sensor.gyroscope,1538339062894,5689978234477,-0.2717743,-5.4446716,-2.6114502
android.sensor.gyroscope,1538339062913,5689998223490,0.6326294,-6.7048798,-2.8522034
android.sensor.gyroscope,1538339062934,5690018243022,0.71998596,-6.248947,-3.2186584
android.sensor.gyroscope,1538339062953,5690038262553,0.078689575,-4.047043,-3.2889557
android.sensor.gyroscope,1538339062974,5690058282084,-0.38043213,-2.7016144,-2.6444702
android.sensor.gyroscope,1538339062994,5690078301615,-0.25260925,-3.3077545,-2.2322235
android.sensor.gyroscope,1538339063014,5690098290629,-0.20892334,-4.157837,-2.5816193
android.sensor.gyroscope,1538339063033,5690118310160,-0.33250427,-4.253708,-3.0833588
android.sensor.gyroscope,1538339063053,5690138329691,-0.30693054,-4.429474,-3.1728516
android.sensor.gyroscope,1538339063073,5690158349223,-0.23556519,-4.605255,-2.9278412
android.sensor.gyroscope,1538339063095,5690178338236,-0.092819214,-4.2025757,-2.5219727
android.sensor.gyroscope,1538339063115,5690198357768,0.27043152,-3.3695374,-2.0276794
android.sensor.gyroscope,1538339063134,5690218377299,0.91386414,-2.6153412,-1.4172974
