Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538339153792,5780877260670,-0.7132263,10.20517,0.16520691
android.sensor.accelerometer,1538339153811,5780897249683,-0.60787964,10.209961,0.25138855
android.sensor.accelerometer,1538339153833,5780917269215,-0.2511444,10.329666,0.22505188
android.sensor.accelerometer,1538339153851,5780937288746,-0.19847107,10.257843,0.34477234
android.sensor.accelerometer,1538339153871,5780957308277,-0.37564087,10.133347,0.4333496
android.sensor.accelerometer,1538339153892,5780977327808,-0.521698,10.028,0.3327942
android.sensor.accelerometer,1538339153913,5780997316822,-0.4929657,9.94899,0.3208313
android.sensor.accelerometer,1538339153932,5781017336353,-0.41874695,9.896317,0.31843567
android.sensor.accelerometer,1538339153952,5781037355884,-0.4067688,9.903503,0.26576233
android.sensor.accelerometer,1538339153974,5781057375416,-0.4857788,9.893921,0.28251648
android.sensor.accelerometer,1538339153993,5781077394947,-0.51690674,9.812515,0.4118042
android.sensor.accelerometer,1538339154012,5781097383961,-0.52648926,9.85083,0.4118042
android.sensor.accelerometer,1538339154032,5781117403492,-0.66773987,9.8173065,0.41419983
android.sensor.accelerometer,1538339154053,5781137423023,-0.818573,9.709564,0.5267334
android.sensor.accelerometer,1538339154072,5781157442554,-0.89279175,9.680847,0.60095215
android.sensor.accelerometer,1538339154092,5781177431568,-0.679718,9.743088,0.5985565
android.sensor.accelerometer,1538339154113,5781197451099,-0.55999756,9.855621,0.35673523
android.sensor.accelerometer,1538339154133,5781217470631,-0.8257599,9.874771,0.20829773
android.sensor.accelerometer,1538339154154,5781237490162,-1.0029297,9.745483,0.62249756
android.sensor.accelerometer,1538339154174,5781257509693,-0.8951874,9.704788,0.96725464
android.sensor.accelerometer,1538339154192,5781277498707,-0.7922363,9.767029,1.2066803
android.sensor.accelerometer,1538339154213,5781297518238,-0.86405945,9.779007,1.3048401
android.sensor.accelerometer,1538339154233,5781317537769,-0.95983887,9.893921,1.0726013
android.sensor.accelerometer,1538339154253,5781337557300,-1.1920776,10.025604,0.8882446
android.sensor.accelerometer,1538339154273,5781357576832,-1.2112274,10.145309,1.154007
android.sensor.accelerometer,1538339154292,5781377565845,-1.1417847,10.463745,1.2689362
android.sensor.accelerometer,1538339154313,5781397585377,-1.1489716,10.904282,1.2952728
android.sensor.accelerometer,1538339154333,5781417604908,-1.2615051,11.708725,1.0869751
android.sensor.accelerometer,1538339154352,5781437624439,-1.8432922,12.57782,0.60095215
android.sensor.accelerometer,1538339154374,5781457613453,-2.5184631,12.850769,1.039093
android.sensor.accelerometer,1538339154393,5781477632984,-3.332489,12.14447,2.4133606
android.sensor.accelerometer,1538339154413,5781497652515,-4.242279,11.325653,3.4261017
android.sensor.accelerometer,1538339154433,5781517672047,-4.146515,10.854004,3.205841
android.sensor.accelerometer,1538339154452,5781537691578,-4.419449,10.2482605,1.790863
android.sensor.accelerometer,1538339154473,5781557680591,-5.573456,8.325714,1.8579102
android.sensor.accelerometer,1538339154492,5781577700123,-6.4138184,6.0895386,3.6751099
android.sensor.accelerometer,1538339154513,5781597719654,-6.693939,4.442322,4.48674
android.sensor.accelerometer,1538339154533,5781617739185,-6.622116,2.9220123,3.7373505
android.sensor.accelerometer,1538339154552,5781637758716,-6.2246857,1.5166168,1.6615753
android.sensor.accelerometer,1538339154573,5781657747730,-5.954132,0.18544006,-0.40222168
android.sensor.accelerometer,1538339154593,5781677767261,-5.2071533,-0.8392792,-0.69192505
android.sensor.accelerometer,1538339154613,5781697786793,-3.8256989,-1.3396759,-0.56503296
android.sensor.accelerometer,1538339154633,5781717806324,-2.8943481,-1.8639984,-0.588974
android.sensor.accelerometer,1538339154652,5781737825855,-0.5528259,-2.2566528,-1.5179138
android.sensor.accelerometer,1538339154673,5781757814869,4.305023,-1.2582703,-2.5019379
android.sensor.accelerometer,1538339154693,5781777834400,5.830124,-0.6740875,-4.364624
android.sensor.accelerometer,1538339154713,5781797853931,5.324951,-0.89434814,-4.577713
android.sensor.accelerometer,1538339154733,5781817873463,5.5356293,-2.067505,-1.5562286
android.sensor.accelerometer,1538339154753,5781837892994,8.901886,-1.3755798,0.8331909
android.sensor.accelerometer,1538339154772,5781857882007,9.759003,0.041778564,0.014373779
android.sensor.accelerometer,1538339154793,5781877901539,9.184402,0.022628784,-0.05984497
android.sensor.accelerometer,1538339154813,5781897921070,9.950546,-0.93026733,1.2282257
android.sensor.accelerometer,1538339154834,5781917940601,11.952103,-1.5288086,3.93367
android.sensor.accelerometer,1538339154853,5781937929615,13.6280365,-0.79618835,4.5753174
android.sensor.accelerometer,1538339154874,5781957949146,14.310379,-0.6740875,3.9193115
android.sensor.accelerometer,1538339154892,5781977968677,17.334259,-1.2582703,7.031769
android.sensor.accelerometer,1538339154913,5781997988209,21.46666,0.20219421,8.791519
android.sensor.accelerometer,1538339154932,5782018007740,19.462708,1.1670532,7.11557
android.sensor.accelerometer,1538339154953,5782037996754,18.311096,0.7911682,10.058044
android.sensor.accelerometer,1538339154973,5782058016285,18.976685,0.2381134,13.9318695
android.sensor.accelerometer,1538339154993,5782078035816,18.677414,-0.3005829,13.108261
android.sensor.accelerometer,1538339155014,5782098055347,18.404465,-0.7507019,13.462601
android.sensor.accelerometer,1538339155033,5782118044361,16.72374,-0.6429596,12.179306
android.sensor.accelerometer,1538339155053,5782138063892,15.351868,0.089660645,6.8043213
android.sensor.accelerometer,1538339155074,5782158083424,13.929703,-0.93266296,5.877762
android.sensor.accelerometer,1538339155093,5782178102955,13.125259,-1.5934601,12.318176
android.sensor.accelerometer,1538339155114,5782198122486,13.5490265,-1.6078186,19.211075
android.sensor.accelerometer,1538339155133,5782218111500,14.135605,-0.32452393,19.752167
android.sensor.accelerometer,1538339155153,5782238131031,14.348694,0.47512817,15.018829
android.sensor.accelerometer,1538339155174,5782258150562,13.333557,-0.022857666,14.022842
android.sensor.accelerometer,1538339155194,5782278170093,8.356003,-0.87280273,17.31009
android.sensor.accelerometer,1538339155213,5782298189625,3.0504608,-2.5128326,19.476837
android.sensor.accelerometer,1538339155233,5782318178638,1.1518555,-1.4354401,15.636536
android.sensor.accelerometer,1538339155253,5782338198170,6.2108,1.4567566,9.581604
android.sensor.accelerometer,1538339155272,5782358217701,8.411072,0.7624359,10.594345
android.sensor.accelerometer,1538339155293,5782378237232,6.2586823,-1.8903351,14.216766
