Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538339527889,6154964263215,1.2572021,8.411911,5.5042725
android.sensor.accelerometer,1538339527903,6154984282746,1.2093201,8.36882,5.5641327
android.sensor.accelerometer,1538339527922,6155004271760,1.0489044,8.227554,5.458786
android.sensor.accelerometer,1538339527943,6155024291291,0.96510315,8.158127,5.3390656
android.sensor.accelerometer,1538339527963,6155044310822,1.003418,8.15094,5.1618958
android.sensor.accelerometer,1538339527983,6155064330354,1.106369,8.206009,5.102051
android.sensor.accelerometer,1538339528004,6155084319367,1.2643738,8.220383,5.2959747
android.sensor.accelerometer,1538339528025,6155104338898,1.1470642,8.134186,4.74292
android.sensor.accelerometer,1538339528044,6155124358430,1.142273,8.098267,4.376602
android.sensor.accelerometer,1538339528064,6155144377961,1.190155,8.040817,4.601654
android.sensor.accelerometer,1538339528085,6155164397492,1.3026886,8.088699,5.0972595
android.sensor.accelerometer,1538339528105,6155184386506,1.3433838,8.067154,5.5354004
android.sensor.accelerometer,1538339528125,6155204406037,1.2308655,8.028839,5.2169647
android.sensor.accelerometer,1538339528145,6155224425568,1.2021332,8.043213,4.7333374
android.sensor.accelerometer,1538339528164,6155244445100,1.3673248,8.1844635,4.522644
android.sensor.accelerometer,1538339528184,6155264464631,1.4846497,8.323334,4.4771576
android.sensor.accelerometer,1538339528204,6155284453645,1.6043549,8.426285,4.1371765
android.sensor.accelerometer,1538339528225,6155304473176,1.6235046,8.411911,3.739746
android.sensor.accelerometer,1538339528244,6155324492707,1.4056396,8.371216,3.454834
android.sensor.accelerometer,1538339528265,6155344512238,1.0441132,8.296997,3.4452667
android.sensor.accelerometer,1538339528285,6155364501252,1.269165,8.6393585,4.5825043
android.sensor.accelerometer,1538339528303,6155384520783,1.3194427,9.529999,4.7860107
android.sensor.accelerometer,1538339528325,6155404540314,2.0137634,10.906677,3.4021606
android.sensor.accelerometer,1538339528344,6155424559846,3.1055145,12.24263,4.0294495
android.sensor.accelerometer,1538339528364,6155444548859,3.36409,12.850769,6.4212494
android.sensor.accelerometer,1538339528385,6155464568391,3.8549042,12.800491,9.32782
android.sensor.accelerometer,1538339528404,6155484587922,4.633026,12.798096,11.587936
android.sensor.accelerometer,1538339528424,6155504607453,6.3592377,12.692749,13.747513
android.sensor.accelerometer,1538339528445,6155524626984,7.4653625,12.151657,15.126572
android.sensor.accelerometer,1538339528465,6155544615998,6.988922,10.502045,15.813705
android.sensor.accelerometer,1538339528485,6155564635529,7.5922546,8.196442,17.499222
android.sensor.accelerometer,1538339528504,6155584655061,8.672043,6.9107513,18.116928
android.sensor.accelerometer,1538339528524,6155604674592,8.643311,5.771103,16.84082
android.sensor.accelerometer,1538339528545,6155624663605,6.897934,4.1645966,16.136917
