Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538339482628,6109695657187,-0.3277588,9.644928,0.667984
android.sensor.accelerometer,1538339482636,6109715676718,-0.04763794,9.6592865,1.0965424
android.sensor.accelerometer,1538339482654,6109735696250,0.57006836,9.55394,1.1300659
android.sensor.accelerometer,1538339482674,6109755685263,0.04812622,9.932236,1.5227203
android.sensor.accelerometer,1538339482694,6109775704795,-0.4139557,9.891525,1.019928
android.sensor.accelerometer,1538339482715,6109795724326,-0.5240936,10.028,0.9792328
android.sensor.accelerometer,1538339482736,6109815743857,-0.43070984,10.0854645,1.0869751
android.sensor.accelerometer,1538339482756,6109835732871,-0.15538025,10.039963,1.5274963
android.sensor.accelerometer,1538339482777,6109855752402,-0.19369507,9.867584,1.8842468
android.sensor.accelerometer,1538339482796,6109875771933,-0.38282776,9.884354,2.0494385
android.sensor.accelerometer,1538339482817,6109895791465,-0.6485901,9.781403,1.8387451
android.sensor.accelerometer,1538339482835,6109915780478,-1.1370087,9.484512,0.95529175
android.sensor.accelerometer,1538339482855,6109935800009,-0.8880005,9.946594,0.6560211
android.sensor.accelerometer,1538339482876,6109955819541,-0.63661194,9.819702,0.13647461
android.sensor.accelerometer,1538339482895,6109975839072,-0.27268982,9.834076,0.25857544
android.sensor.accelerometer,1538339482915,6109995858603,-0.15538025,9.903503,0.6368561
android.sensor.accelerometer,1538339482936,6110015847617,-0.02609253,9.925049,1.0103607
android.sensor.accelerometer,1538339482955,6110035867148,0.21333313,9.841248,1.3407593
android.sensor.accelerometer,1538339482976,6110055886679,0.5437317,9.874771,1.8339691
android.sensor.accelerometer,1538339482995,6110075906211,0.7209015,9.977722,1.6256714
android.sensor.accelerometer,1538339483015,6110095895224,0.9962311,10.183624,1.0654297
android.sensor.accelerometer,1538339483035,6110115914756,1.6306915,10.394318,1.391037
android.sensor.accelerometer,1538339483055,6110135934287,2.7918854,10.384735,2.8227692
android.sensor.accelerometer,1538339483076,6110155953818,3.8261719,9.862793,4.371811
android.sensor.accelerometer,1538339483096,6110175973349,3.8644867,9.099045,6.6319427
android.sensor.accelerometer,1538339483116,6110195962363,3.6537933,8.74231,8.410828
android.sensor.accelerometer,1538339483135,6110215981894,3.0720062,9.166092,8.564056
android.sensor.accelerometer,1538339483156,6110236001425,3.5987244,9.539581,6.830658
android.sensor.accelerometer,1538339483176,6110256020957,4.3864136,9.10144,6.8091125
android.sensor.accelerometer,1538339483196,6110276009970,3.4933777,8.464584,8.944748
android.sensor.accelerometer,1538339483216,6110296029502,0.94595337,7.767868,11.422745
android.sensor.accelerometer,1538339483236,6110316049033,-0.87364197,7.214813,12.74913
android.sensor.accelerometer,1538339483256,6110336068564,-1.0747528,6.858078,12.57196
android.sensor.accelerometer,1538339483276,6110356088095,-0.6318207,6.735977,11.257538
android.sensor.accelerometer,1538339483296,6110376077109,0.6849823,6.850891,8.171417
android.sensor.accelerometer,1538339483316,6110396096640,0.85258484,6.762314,6.902481
android.sensor.accelerometer,1538339483336,6110416116172,-0.8784332,6.6234436,7.503433
android.sensor.accelerometer,1538339483356,6110436135703,-2.5759125,7.0974884,7.455551
android.sensor.accelerometer,1538339483376,6110456124716,-4.2398834,7.7606964,6.169861
android.sensor.accelerometer,1538339483396,6110476144248,-6.0786285,8.165314,4.541809
android.sensor.accelerometer,1538339483416,6110496163779,-7.752182,8.306564,3.7445374
android.sensor.accelerometer,1538339483436,6110516183310,-7.4864197,8.332901,-0.26097107
android.sensor.accelerometer,1538339483456,6110536172324,-5.640503,8.167709,-5.3510437
android.sensor.accelerometer,1538339483476,6110556191855,-3.7897797,7.940262,-8.214508
android.sensor.accelerometer,1538339483496,6110576211386,-3.8400574,7.997711,-10.235214
android.sensor.accelerometer,1538339483516,6110596230918,-4.0651093,8.574722,-10.395615
android.sensor.accelerometer,1538339483536,6110616250449,-4.311722,8.885971,-8.482651
android.sensor.accelerometer,1538339483556,6110636239463,-4.2231293,9.048767,-5.743683
android.sensor.accelerometer,1538339483576,6110656258994,-3.5431824,9.115814,-4.5082855
android.sensor.accelerometer,1538339483596,6110676278525,-3.0930634,9.304947,-4.438843
android.sensor.accelerometer,1538339483616,6110696298056,-3.3660126,9.707169,-5.2504883
android.sensor.accelerometer,1538339483636,6110716287070,-4.1680603,10.059128,-5.7293243
android.sensor.accelerometer,1538339483656,6110736306601,-4.3811493,10.078278,-4.8051605
android.sensor.accelerometer,1538339483676,6110756326132,-3.3133392,9.620987,-3.8283234
android.sensor.accelerometer,1538339483696,6110776345664,-2.0539856,8.876389,-5.0350037
android.sensor.accelerometer,1538339483716,6110796334677,-2.8368835,8.016876,-6.9719086
android.sensor.accelerometer,1538339483736,6110816354209,-4.232712,7.107071,-8.10437
android.sensor.accelerometer,1538339483756,6110836373740,-3.2965698,6.328964,-8.157043
android.sensor.accelerometer,1538339483776,6110856393271,-1.0939026,5.411972,-6.5002594
android.sensor.accelerometer,1538339483796,6110876412802,-1.165741,3.7025146,-5.2121735
android.sensor.accelerometer,1538339483816,6110896401816,-2.8967438,1.284378,-6.169861
android.sensor.accelerometer,1538339483836,6110916421347,-3.35643,-1.0619507,-6.361389
android.sensor.accelerometer,1538339483856,6110936440879,-2.044403,-2.716339,-5.1451416
android.sensor.accelerometer,1538339483877,6110956460410,-0.46662903,-3.870346,-3.3327332
android.sensor.accelerometer,1538339483896,6110976449424,-0.15777588,-4.593384,-2.4301147
android.sensor.accelerometer,1538339483916,6110996468955,-0.91433716,-5.314041,-4.7812195
android.sensor.accelerometer,1538339483936,6111016488486,-3.332489,-5.800064,-7.558487
android.sensor.accelerometer,1538339483957,6111036508017,-6.3539734,-5.7043,-8.456314
android.sensor.accelerometer,1538339483976,6111056497031,-7.175186,-5.8287964,-6.6439056
android.sensor.accelerometer,1538339483996,6111076516562,-10.031464,-5.7234497,-3.9264832
android.sensor.accelerometer,1538339484017,6111096536093,-16.155838,-5.067444,0.28251648
android.sensor.accelerometer,1538339484036,6111116555625,-21.952194,-3.6452942,3.1675262
android.sensor.accelerometer,1538339484057,6111136575156,-21.116623,-0.74591064,4.264084
android.sensor.accelerometer,1538339484077,6111156564170,-24.296112,0.9898834,5.4851227
android.sensor.accelerometer,1538339484096,6111176583701,-30.406113,1.9954529,5.9040985
android.sensor.accelerometer,1538339484117,6111196603232,-30.621597,4.143051,7.9942474
android.sensor.accelerometer,1538339484137,6111216622763,-30.935242,5.9817963,11.875244
android.sensor.accelerometer,1538339484156,6111236642295,-33.360565,7.032852,15.04277
android.sensor.accelerometer,1538339484177,6111256631308,-30.202606,6.625839,16.948563
android.sensor.accelerometer,1538339484197,6111276650840,-21.121399,5.1605835,21.93808
android.sensor.accelerometer,1538339484216,6111296670371,-15.425598,5.474228,22.069748
android.sensor.accelerometer,1538339484237,6111316689902,-12.138367,6.8604736,13.982147
android.sensor.accelerometer,1538339484257,6111336678916,-8.824783,8.059967,3.5314484
android.sensor.accelerometer,1538339484277,6111356698447,-8.0346985,7.9306793,2.348709
android.sensor.accelerometer,1538339484296,6111376717978,-7.519943,7.5787354,3.4668121
android.sensor.accelerometer,1538339484317,6111396737509,-7.0219574,6.8676453,3.7756653
android.sensor.accelerometer,1538339484336,6111416726523,-6.452133,5.9674377,4.589691
android.sensor.accelerometer,1538339484357,6111436746054,-5.6428986,5.268326,3.9025574
android.sensor.accelerometer,1538339484377,6111456765586,-6.4210052,4.6865387,2.9712067
android.sensor.accelerometer,1538339484396,6111476785117,-8.599731,4.205307,4.5154724
android.sensor.accelerometer,1538339484416,6111496804648,-9.653183,3.8294067,7.7021484
android.sensor.accelerometer,1538339484437,6111516793662,-9.751343,3.233261,7.503433
android.sensor.accelerometer,1538339484456,6111536813193,-9.136032,2.9148254,5.506668
android.sensor.accelerometer,1538339484477,6111556832724,-8.798447,2.7520142,4.9943085
android.sensor.accelerometer,1538339484497,6111576852256,-9.227005,2.4814758,6.119583
android.sensor.accelerometer,1538339484516,6111596841269,-10.225388,2.1199493,9.064453
android.sensor.accelerometer,1538339484537,6111616860800,-11.609238,1.7249146,12.272675
android.sensor.accelerometer,1538339484556,6111636880332,-11.257294,1.3562012,13.699631
android.sensor.accelerometer,1538339484576,6111656899863,-9.385025,1.1838226,13.457809
android.sensor.accelerometer,1538339484597,6111676888877,-7.5055847,1.0832672,12.844894
android.sensor.accelerometer,1538339484617,6111696908408,-7.7138824,0.51104736,14.513657
android.sensor.accelerometer,1538339484637,6111716927939,-9.332352,-0.7075958,16.199173
android.sensor.accelerometer,1538339484656,6111736947470,-9.538254,-1.9430084,15.8376465
android.sensor.accelerometer,1538339484677,6111756967002,-8.973221,-3.013214,12.485764
android.sensor.accelerometer,1538339484697,6111776956015,-8.183136,-3.7769623,6.011841
android.sensor.accelerometer,1538339484718,6111796975547,-6.373123,-3.6237335,0.66319275
android.sensor.accelerometer,1538339484739,6111816995078,-5.451355,-3.3388367,-1.7525482
android.sensor.accelerometer,1538339484758,6111837014609,-5.865555,-2.5295868,0.28730774
android.sensor.accelerometer,1538339484776,6111857034140,-8.67395,-1.569519,2.348709
android.sensor.accelerometer,1538339484796,6111877023154,-13.400101,-1.3181305,1.2521667
android.sensor.accelerometer,1538339484816,6111897042685,-13.373764,-0.55197144,-1.8052216
android.sensor.accelerometer,1538339484837,6111917062216,-12.056961,0.096847534,-3.234558
android.sensor.accelerometer,1538339484857,6111937081748,-11.757675,0.2596588,-2.2361755
