Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538339465348,6092424753542,0.6813965,1.2512817,0.2970276
android.sensor.gyroscope,1538339465363,6092444773073,1.2140198,1.5357056,0.4269867
android.sensor.gyroscope,1538339465383,6092464792605,0.9370575,0.585495,0.39183044
android.sensor.gyroscope,1538339465403,6092484812136,-0.014221191,-0.338089,0.33325195
android.sensor.gyroscope,1538339465423,6092504801150,-1.0613861,0.017700195,0.26826477
android.sensor.gyroscope,1538339465446,6092524820681,-1.6643219,-0.25819397,-0.080078125
android.sensor.gyroscope,1538339465464,6092544840212,-1.5023956,-0.75354004,-0.3240204
android.sensor.gyroscope,1538339465485,6092564859743,-0.83128357,-0.4169159,-0.39112854
android.sensor.gyroscope,1538339465505,6092584879275,-0.23686218,1.0520782,-0.3527832
android.sensor.gyroscope,1538339465525,6092604868288,0.037963867,3.1069794,-0.2984619
android.sensor.gyroscope,1538339465545,6092624887820,0.24888611,3.9890137,-0.22068787
android.sensor.gyroscope,1538339465565,6092644907351,0.33198547,2.9663544,-0.09712219
android.sensor.gyroscope,1538339465585,6092664926882,0.26060486,1.2502136,0.15002441
android.sensor.gyroscope,1538339465605,6092684915896,0.33091736,0.23396301,0.16067505
android.sensor.gyroscope,1538339465625,6092704935427,0.4672699,-0.19108582,-0.014038086
android.sensor.gyroscope,1538339465645,6092724954958,0.6302643,-0.19854736,-0.31550598
android.sensor.gyroscope,1538339465665,6092744974489,0.5929718,-0.23582458,-0.4507904
android.sensor.gyroscope,1538339465684,6092764963503,0.3330536,-0.09840393,-0.44865417
android.sensor.gyroscope,1538339465705,6092784983034,0.1423645,0.07310486,-0.46250916
android.sensor.gyroscope,1538339465725,6092805002566,0.1892395,0.22756958,-0.30271912
android.sensor.gyroscope,1538339465744,6092825022097,0.46940613,0.36499023,0.005142212
android.sensor.gyroscope,1538339465765,6092845041628,0.65582275,0.52583313,0.30874634
android.sensor.gyroscope,1538339465785,6092865030642,0.60575867,0.5631256,0.575058
android.sensor.gyroscope,1538339465805,6092885050173,0.16261292,-0.18255615,0.8978424
android.sensor.gyroscope,1538339465825,6092905069704,-0.45205688,-0.88031006,1.0469666
android.sensor.gyroscope,1538339465845,6092925089236,-0.58947754,-0.69496155,1.0075531
android.sensor.gyroscope,1538339465864,6092945078249,-0.29013062,-3.9672852E-4,0.7071533
android.sensor.gyroscope,1538339465885,6092965097780,6.866455E-4,0.7335663,0.24269104
android.sensor.gyroscope,1538339465904,6092985117312,0.118927,1.2182617,-0.15678406
android.sensor.gyroscope,1538339465925,6093005136843,0.28936768,1.1447601,-0.28886414
android.sensor.gyroscope,1538339465945,6093025125857,0.47366333,0.9562073,-0.19725037
android.sensor.gyroscope,1538339465965,6093045145388,0.39483643,0.6270447,-0.113098145
