Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538339592194,6218965090107,8.9785,10.391922,7.467514
android.sensor.accelerometer,1538339592203,6218985109639,11.399033,11.699158,9.670181
android.sensor.accelerometer,1538339592212,6219005129170,11.964066,13.549866,10.821793
android.sensor.accelerometer,1538339592233,6219025148701,13.52269,13.786896,4.3861847
android.sensor.accelerometer,1538339592253,6219045168232,13.455658,13.094971,1.5969391
android.sensor.accelerometer,1538339592273,6219065157246,9.711121,8.488525,2.9783936
android.sensor.accelerometer,1538339592294,6219085176777,4.9083557,3.8725128,4.9631805
android.sensor.accelerometer,1538339592316,6219105196309,-0.9047699,-0.39396667,6.8330536
android.sensor.accelerometer,1538339592334,6219125215840,-4.5056458,-4.677185,15.528793
android.sensor.accelerometer,1538339592353,6219145235371,-4.97731,-7.914154,27.559662
android.sensor.accelerometer,1538339592374,6219165224385,-1.5942993,-10.837463,44.010223
android.sensor.accelerometer,1538339592394,6219185243916,4.257126,-12.295532,47.505753
android.sensor.accelerometer,1538339592414,6219205263447,7.8556213,-17.474197,32.123016
android.sensor.accelerometer,1538339592434,6219225282979,9.158066,-20.35202,7.644684
android.sensor.accelerometer,1538339592455,6219245271992,9.794922,-17.328156,-6.5912323
android.sensor.accelerometer,1538339592475,6219265291523,9.433395,-10.732132,-13.924667
android.sensor.accelerometer,1538339592494,6219285311055,9.213135,-2.7187347,-21.923706
android.sensor.accelerometer,1538339592513,6219305330586,6.296997,3.4726715,-37.940918
android.sensor.accelerometer,1538339592534,6219325350117,-0.60310364,8.186859,-52.488083
android.sensor.accelerometer,1538339592554,6219345339131,-8.621277,9.676056,-54.15445
android.sensor.accelerometer,1538339592574,6219365358662,-12.19342,8.636963,-48.212036
android.sensor.accelerometer,1538339592593,6219385378193,-10.558182,5.0887604,-35.242645
android.sensor.accelerometer,1538339592614,6219405397725,-8.499176,1.3059235,-17.295715
android.sensor.accelerometer,1538339592634,6219425417256,-3.4138947,-0.8847656,-5.8729706
android.sensor.accelerometer,1538339592654,6219445406270,8.317703,-1.3923492,-10.002975
android.sensor.accelerometer,1538339592674,6219465425801,15.790009,-3.4226227,-3.7924194
android.sensor.accelerometer,1538339592694,6219485445332,16.091675,-6.8128204,8.63829
android.sensor.accelerometer,1538339592715,6219505464863,10.491638,-10.143158,30.174133
android.sensor.accelerometer,1538339592734,6219525453877,4.130234,-12.951553,47.441116
android.sensor.accelerometer,1538339592754,6219545473408,7.3193207,-12.860565,56.953278
android.sensor.accelerometer,1538339592775,6219565492939,14.221802,-12.2452545,48.061203
android.sensor.accelerometer,1538339592795,6219585512471,16.762054,-13.633896,26.013
android.sensor.accelerometer,1538339592815,6219605532002,14.810776,-14.028946,2.4492645
android.sensor.accelerometer,1538339592834,6219625521016,15.22258,-8.476791,-15.286972
android.sensor.accelerometer,1538339592855,6219645540547,11.820419,-1.3612213,-31.577118
android.sensor.accelerometer,1538339592875,6219665560078,1.0177765,5.874054,-46.938324
android.sensor.accelerometer,1538339592895,6219685579609,-6.739441,10.221924,-51.35083
