Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538339592194,6218965090107,0.6856537,-2.4174805,-0.5775604
android.sensor.gyroscope,1538339592203,6218985109639,0.8188019,-3.6862183,-1.6641235
android.sensor.gyroscope,1538339592213,6219005129170,1.0606232,-4.3445587,-2.6686707
android.sensor.gyroscope,1538339592233,6219025148701,1.2214813,-4.001541,-3.5006409
android.sensor.gyroscope,1538339592253,6219045168232,0.899765,-4.6566772,-4.728897
android.sensor.gyroscope,1538339592273,6219065157246,0.44703674,-6.1150208,-6.0402374
android.sensor.gyroscope,1538339592295,6219085176777,0.027313232,-6.9256897,-6.717743
android.sensor.gyroscope,1538339592316,6219105196309,-0.5969238,-6.72435,-6.6357117
android.sensor.gyroscope,1538339592334,6219125215840,-1.2616577,-6.262024,-5.78244
android.sensor.gyroscope,1538339592353,6219145235371,-1.0805511,-5.7144775,-4.3549805
android.sensor.gyroscope,1538339592374,6219165224385,0.515213,-4.733368,-2.7261963
android.sensor.gyroscope,1538339592394,6219185243916,4.23085,-2.8265533,-1.6183167
android.sensor.gyroscope,1538339592414,6219205263447,8.256485,-0.12504578,-1.5054016
android.sensor.gyroscope,1538339592434,6219225282979,10.336945,2.0885773,-1.6225739
android.sensor.gyroscope,1538339592455,6219245271992,9.36969,4.391678,-1.1815643
android.sensor.gyroscope,1538339592475,6219265291523,7.4735107,6.3751984,-0.3708954
android.sensor.gyroscope,1538339592494,6219285311055,7.0229034,5.510208,-0.066223145
android.sensor.gyroscope,1538339592513,6219305330586,7.5012054,3.3477173,-0.79273987
android.sensor.gyroscope,1538339592534,6219325350117,6.248459,1.6827087,-1.8590698
android.sensor.gyroscope,1538339592554,6219345339131,2.6169739,0.7069397,-2.131775
android.sensor.gyroscope,1538339592575,6219365358662,-1.5141144,-0.13356018,-1.1304321
android.sensor.gyroscope,1538339592593,6219385378193,-5.007126,-1.2659302,0.3162079
android.sensor.gyroscope,1538339592614,6219405397725,-7.589325,-1.3522186,1.6126251
android.sensor.gyroscope,1538339592634,6219425417256,-8.405319,-0.34129333,2.8078613
android.sensor.gyroscope,1538339592654,6219445406270,-8.055908,-0.08882141,3.2382202
android.sensor.gyroscope,1538339592674,6219465425801,-8.413834,-1.1721954,1.8746796
android.sensor.gyroscope,1538339592694,6219485445332,-8.088928,-2.9522552,-0.31762695
android.sensor.gyroscope,1538339592715,6219505464863,-6.8148804,-4.52565,-1.9144592
android.sensor.gyroscope,1538339592734,6219525453877,-4.054779,-4.256134,-2.0327148
android.sensor.gyroscope,1538339592755,6219545473408,-0.2848053,-2.5996552,-0.83747864
android.sensor.gyroscope,1538339592775,6219565492939,3.9815826,-0.068573,0.029647827
android.sensor.gyroscope,1538339592795,6219585512471,7.6439514,1.5879059,-0.2515869
