Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538338853053,5480483429618,0.0073242188,-0.20463562,-0.022857666
android.sensor.gyroscope,1538338853066,5480503449149,0.038208008,-0.2461853,-0.05908203
android.sensor.gyroscope,1538338853079,5480523438163,0.027557373,-0.21742249,-0.10168457
android.sensor.gyroscope,1538338853099,5480543457694,-0.032089233,-0.123687744,-0.15281677
android.sensor.gyroscope,1538338853119,5480563477225,-0.12902832,-0.06188965,-0.19223022
android.sensor.gyroscope,1538338853139,5480583496757,-0.1897583,-0.078933716,-0.22419739
android.sensor.gyroscope,1538338853161,5480603516288,-0.1471405,-0.11834717,-0.25082397
android.sensor.gyroscope,1538338853180,5480623505301,-0.097076416,-0.08639526,-0.21247864
android.sensor.gyroscope,1538338853200,5480643524833,-0.08961487,-0.03100586,-0.13790894
android.sensor.gyroscope,1538338853220,5480663544364,-0.097076416,-0.05444336,-0.104888916
android.sensor.gyroscope,1538338853240,5480683563895,-0.09921265,-0.13859558,-0.12512207
android.sensor.gyroscope,1538338853261,5480703552909,-0.118377686,-0.15989685,-0.1230011
android.sensor.gyroscope,1538338853280,5480723572440,-0.11305237,-0.13113403,-0.09529114
android.sensor.gyroscope,1538338853300,5480743591971,-0.0960083,-0.111968994,-0.07185364
android.sensor.gyroscope,1538338853321,5480763611503,-0.12797546,-0.10343933,-0.053756714
android.sensor.gyroscope,1538338853341,5480783600516,-0.21852112,-0.1396637,-0.065475464
android.sensor.gyroscope,1538338853360,5480803620048,-0.32504272,-0.14498901,-0.13470459
android.sensor.gyroscope,1538338853381,5480823639579,-0.53170776,-0.14498901,-0.19969177
android.sensor.gyroscope,1538338853401,5480843659110,-0.8949585,-0.26004028,-0.35629272
android.sensor.gyroscope,1538338853421,5480863678641,-1.349823,-0.4922638,-0.53738403
android.sensor.gyroscope,1538338853442,5480883667655,-1.8931122,-0.7212982,-0.6321869
android.sensor.gyroscope,1538338853460,5480903687186,-2.2925873,-0.8267517,-0.7919769
android.sensor.gyroscope,1538338853481,5480923706718,-2.4513092,-0.8182373,-0.9539032
android.sensor.gyroscope,1538338853501,5480943726249,-2.5610352,-0.8470001,-0.9443054
android.sensor.gyroscope,1538338853520,5480963745780,-2.6888733,-1.0962677,-0.8974457
android.sensor.gyroscope,1538338853540,5480983734794,-2.8390656,-1.4701691,-0.9762726
android.sensor.gyroscope,1538338853561,5481003754325,-3.052124,-1.7024078,-1.1797333
android.sensor.gyroscope,1538338853581,5481023773856,-3.277954,-1.8259735,-1.3192902
android.sensor.gyroscope,1538338853601,5481043793387,-3.419632,-1.9506073,-1.3246155
android.sensor.gyroscope,1538338853620,5481063782401,-3.723236,-2.1423492,-1.3352661
android.sensor.gyroscope,1538338853641,5481083801932,-4.0928802,-2.2861633,-1.4641571
android.sensor.gyroscope,1538338853661,5481103821464,-4.251602,-2.1136017,-1.5057068
android.sensor.gyroscope,1538338853680,5481123840995,-4.278244,-1.5703125,-1.3459167
android.sensor.gyroscope,1538338853700,5481143860526,-4.291031,-1.0824127,-1.1467133
android.sensor.gyroscope,1538338853721,5481163849540,-4.2750397,-1.1750946,-1.0061035
android.sensor.gyroscope,1538338853741,5481183869071,-4.2335052,-1.6832275,-1.0146179
android.sensor.gyroscope,1538338853761,5481203888602,-4.201538,-1.9037323,-1.1136932
android.sensor.gyroscope,1538338853781,5481223908134,-4.1131287,-1.6022644,-1.1392517
android.sensor.gyroscope,1538338853801,5481243897147,-4.011917,-1.4275665,-1.0327301
android.sensor.gyroscope,1538338853821,5481263916678,-4.042816,-1.5234375,-0.97839355
android.sensor.gyroscope,1538338853841,5481283936210,-4.1781006,-1.7609863,-1.0859985
android.sensor.gyroscope,1538338853861,5481303955741,-4.344284,-1.8643188,-1.2788086
android.sensor.gyroscope,1538338853881,5481323944755,-4.0502777,-1.258194,-0.97520447
android.sensor.gyroscope,1538338853903,5481343964286,-3.2694397,-0.58387756,-0.5448456
android.sensor.gyroscope,1538338853920,5481363983817,-2.592987,-0.4411316,-0.4372406
android.sensor.gyroscope,1538338853940,5481384003348,-2.2435913,-0.65205383,-0.41807556
android.sensor.gyroscope,1538338853961,5481404022880,-2.0081635,-0.9066467,-0.3403015
android.sensor.gyroscope,1538338853980,5481424011893,-1.8270721,-0.9694977,-0.2337799
android.sensor.gyroscope,1538338854001,5481444031425,-1.7397156,-0.8683014,-0.21459961
android.sensor.gyroscope,1538338854021,5481464050956,-1.6928406,-0.8203583,-0.24763489
android.sensor.gyroscope,1538338854041,5481484070487,-1.6970978,-0.8970642,-0.19329834
android.sensor.gyroscope,1538338854061,5481504090018,-1.7375793,-1.0131836,-0.14537048
android.sensor.gyroscope,1538338854081,5481524079032,-1.7343903,-0.9694977,-0.17945862
android.sensor.gyroscope,1538338854101,5481544098563,-1.683258,-1.005722,-0.20075989
android.sensor.gyroscope,1538338854121,5481564118094,-1.6512909,-1.2230377,-0.088897705
android.sensor.gyroscope,1538338854141,5481584137626,-1.8345184,-1.6459503,0.33506775
android.sensor.gyroscope,1538338854160,5481604126639,-1.8153534,-1.3881531,1.0253601
android.sensor.gyroscope,1538338854180,5481624146171,-1.3072205,-0.45391846,1.1468048
android.sensor.gyroscope,1538338854200,5481644165702,-0.9141388,-0.73301697,0.69299316
android.sensor.gyroscope,1538338854221,5481664185233,-0.9716644,-2.155136,0.23812866
android.sensor.gyroscope,1538338854241,5481684204764,-0.9503479,-3.859558,0.323349
android.sensor.gyroscope,1538338854261,5481704193778,-0.55833435,-4.8353424,0.59072876
