Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538339646064,6272839919746,0.11253357,-0.122909546,0.021118164
android.sensor.gyroscope,1538339646074,6272859908760,0.042236328,0.019836426,0.029647827
android.sensor.gyroscope,1538339646088,6272879928291,0.072052,0.10505676,0.048812866
android.sensor.gyroscope,1538339646108,6272899947822,0.15194702,0.099731445,0.06373596
android.sensor.gyroscope,1538339646128,6272919967353,0.21054077,0.036880493,0.06266785
android.sensor.gyroscope,1538339646148,6272939956367,0.17752075,0.046463013,0.042434692
android.sensor.gyroscope,1538339646169,6272959975898,0.13278198,0.101867676,-1.8310547E-4
android.sensor.gyroscope,1538339646189,6272979995430,0.08483887,0.18281555,0.008346558
android.sensor.gyroscope,1538339646209,6273000014961,0.07737732,0.22224426,0.07545471
android.sensor.gyroscope,1538339646230,6273020034492,0.1146698,0.09654236,0.09461975
android.sensor.gyroscope,1538339646250,6273040023506,0.12532043,-0.038757324,0.05734253
android.sensor.gyroscope,1538339646269,6273060043037,0.057144165,-0.07284546,0.015792847
android.sensor.gyroscope,1538339646289,6273080062568,-0.06323242,-0.03236389,-0.002319336
android.sensor.gyroscope,1538339646309,6273100082099,-0.12715149,0.026229858,-0.0076446533
android.sensor.gyroscope,1538339646329,6273120101631,-0.07814026,0.03048706,-0.04598999
android.sensor.gyroscope,1538339646350,6273140090644,-0.028076172,0.07417297,-0.070495605
android.sensor.gyroscope,1538339646369,6273160110176,-0.017425537,0.085876465,-0.082214355
android.sensor.gyroscope,1538339646390,6273180129707,-0.040863037,0.01876831,-0.10777283
android.sensor.gyroscope,1538339646410,6273200149238,-0.08241272,-0.076034546,-0.14079285
android.sensor.gyroscope,1538339646430,6273220138252,-0.14524841,-0.14208984,-0.16848755
android.sensor.gyroscope,1538339646449,6273240157783,-0.20809937,-0.20599365,-0.20045471
android.sensor.gyroscope,1538339646469,6273260177314,-0.24432373,-0.25073242,-0.24732971
android.sensor.gyroscope,1538339646490,6273280196846,-0.27734375,-0.21664429,-0.28781128
android.sensor.gyroscope,1538339646510,6273300216377,-0.34233093,-0.14208984,-0.2984619
android.sensor.gyroscope,1538339646530,6273320205391,-0.39239502,-0.08135986,-0.23773193
android.sensor.gyroscope,1538339646550,6273340224922,-0.2890625,-0.08029175,-0.13760376
android.sensor.gyroscope,1538339646569,6273360244453,-0.08985901,-0.14634705,-0.019363403
android.sensor.gyroscope,1538339646589,6273380263984,-0.03765869,-0.26565552,0.12765503
android.sensor.gyroscope,1538339646610,6273400283516,-0.095184326,-0.4829712,0.14682007
android.sensor.gyroscope,1538339646629,6273420272529,-0.14845276,-0.6459503,0.04348755
android.sensor.gyroscope,1538339646650,6273440292060,-0.16975403,-0.6129303,-0.053451538
android.sensor.gyroscope,1538339646670,6273460311592,-0.22302246,-0.37750244,-0.10777283
android.sensor.gyroscope,1538339646689,6273480331123,-0.24645996,-0.07496643,-0.16423035
android.sensor.gyroscope,1538339646709,6273500320137,-0.17401123,0.097595215,-0.21536255
android.sensor.gyroscope,1538339646730,6273520339668,-0.03340149,0.18708801,-0.2228241
android.sensor.gyroscope,1538339646749,6273540359199,0.1146698,0.39375305,-0.16316223
