Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538338972600,5600040112983,-5.5638885,-3.7697906,7.1730347
android.sensor.accelerometer,1538338972615,5600060101997,-5.365158,-3.7626038,7.053314
android.sensor.accelerometer,1538338972635,5600080121528,-5.2167206,-3.7266846,7.000656
android.sensor.accelerometer,1538338972655,5600100141060,-5.1209564,-3.6979523,6.9120636
android.sensor.accelerometer,1538338972676,5600120160591,-5.1832123,-3.688385,7.0389557
android.sensor.accelerometer,1538338972697,5600140180122,-5.2550354,-3.7482452,7.3621674
android.sensor.accelerometer,1538338972716,5600160169136,-5.33165,-3.743454,7.5728607
android.sensor.accelerometer,1538338972737,5600180188667,-5.336441,-3.6668396,7.3430176
android.sensor.accelerometer,1538338972756,5600200208198,-5.3220673,-3.6716309,7.139511
android.sensor.accelerometer,1538338972777,5600220227730,-5.3268585,-3.7482452,7.2328796
android.sensor.accelerometer,1538338972797,5600240247261,-5.190384,-3.779358,7.347809
android.sensor.accelerometer,1538338972818,5600260236274,-5.1760254,-3.7649994,7.3621674
android.sensor.accelerometer,1538338972838,5600280255806,-5.2047577,-3.7506256,7.177826
android.sensor.accelerometer,1538338972857,5600300275337,-5.1855927,-3.7721863,7.029373
android.sensor.accelerometer,1538338972878,5600320294868,-5.15448,-3.8440094,7.21373
android.sensor.accelerometer,1538338972898,5600340283882,-5.0467377,-3.8368225,7.304718
android.sensor.accelerometer,1538338972918,5600360303413,-5.0251923,-3.791336,7.218521
android.sensor.accelerometer,1538338972937,5600380322944,-5.2095337,-3.7530212,7.158661
android.sensor.accelerometer,1538338972957,5600400342476,-5.3268585,-3.7386627,7.0964203
android.sensor.accelerometer,1538338972976,5600420362007,-5.2669983,-3.724289,7.1059875
android.sensor.accelerometer,1538338972997,5600440351021,-5.130539,-3.736267,7.127548
android.sensor.accelerometer,1538338973017,5600460370552,-5.1760254,-3.7386627,7.189789
android.sensor.accelerometer,1538338973037,5600480390083,-5.195175,-3.7530212,7.201767
android.sensor.accelerometer,1538338973058,5600500409614,-5.2310944,-3.700348,7.11557
android.sensor.accelerometer,1538338973076,5600520398628,-5.1760254,-3.6189575,6.9790955
android.sensor.accelerometer,1538338973100,5600540418159,-5.2286987,-3.609375,7.084442
android.sensor.accelerometer,1538338973117,5600560437691,-5.257431,-3.6740112,7.1969757
android.sensor.accelerometer,1538338973137,5600580457222,-5.219116,-3.743454,7.3526
android.sensor.accelerometer,1538338973157,5600600476753,-5.2430573,-3.8248596,7.3908997
android.sensor.accelerometer,1538338973177,5600620465767,-5.3340454,-3.8248596,7.266403
android.sensor.accelerometer,1538338973198,5600640485298,-5.3627625,-3.803299,7.1012115
android.sensor.accelerometer,1538338973216,5600660504829,-5.3029175,-3.815277,7.0724792
android.sensor.accelerometer,1538338973237,5600680524360,-5.116165,-3.82724,7.0652924
android.sensor.accelerometer,1538338973257,5600700543892,-5.056305,-3.8799133,7.211334
android.sensor.accelerometer,1538338973278,5600720532905,-5.063492,-3.8799133,7.3932953
android.sensor.accelerometer,1538338973297,5600740552437,-5.142502,-3.90625,7.5130005
android.sensor.accelerometer,1538338973317,5600760571968,-5.171234,-3.8296356,7.536957
android.sensor.accelerometer,1538338973336,5600780591499,-5.1042023,-3.7626038,7.2783813
android.sensor.accelerometer,1538338973360,5600800580513,-5.0587006,-3.7649994,7.110779
android.sensor.accelerometer,1538338973377,5600820600044,-5.1042023,-3.858368,7.177826
android.sensor.accelerometer,1538338973397,5600840619575,-5.1209564,-3.9517517,7.3908997
android.sensor.accelerometer,1538338973417,5600860639107,-5.027588,-3.9709015,7.5082245
android.sensor.accelerometer,1538338973437,5600880658638,-4.9389954,-3.9158325,7.419632
android.sensor.accelerometer,1538338973457,5600900647651,-4.972519,-3.8488007,7.1969757
android.sensor.accelerometer,1538338973477,5600920667183,-5.044342,-3.8488007,7.053314
android.sensor.accelerometer,1538338973497,5600940686714,-5.1329193,-3.9661102,7.170639
android.sensor.accelerometer,1538338973517,5600960706245,-5.202362,-4.0547028,7.3813324
android.sensor.accelerometer,1538338973537,5600980695259,-5.1760254,-4.08342,7.3334503
android.sensor.accelerometer,1538338973557,5601000714790,-5.2047577,-4.0355377,7.0940247
android.sensor.accelerometer,1538338973577,5601020734321,-5.2430573,-4.0115967,6.952759
android.sensor.accelerometer,1538338973597,5601040753853,-5.269394,-3.9804688,6.95755
android.sensor.accelerometer,1538338973617,5601060773384,-5.2646027,-4.004425,7.043747
android.sensor.accelerometer,1538338973637,5601080762398,-5.190384,-4.0355377,7.1203613
android.sensor.accelerometer,1538338973658,5601100781929,-5.15448,-4.0451202,7.189789
android.sensor.accelerometer,1538338973677,5601120801460,-5.1137695,-4.009201,7.1993713
android.sensor.accelerometer,1538338973697,5601140820991,-5.008423,-3.9469604,7.0341644
android.sensor.accelerometer,1538338973718,5601160810005,-5.0419464,-3.9421692,7.079651
android.sensor.accelerometer,1538338973738,5601180829536,-5.032364,-3.9685059,7.1179657
android.sensor.accelerometer,1538338973757,5601200849067,-4.9389954,-3.9565277,7.05571
android.sensor.accelerometer,1538338973778,5601220868599,-4.9988556,-4.0115967,7.1299286
android.sensor.accelerometer,1538338973798,5601240888130,-5.1640472,-4.0738525,7.1251526
android.sensor.accelerometer,1538338973817,5601260877144,-5.2406616,-4.136093,7.1921844
android.sensor.accelerometer,1538338973838,5601280896675,-5.276581,-4.157654,7.290344
android.sensor.accelerometer,1538338973858,5601300916206,-5.214325,-4.0977936,7.21373
android.sensor.accelerometer,1538338973877,5601320935737,-5.130539,-4.009201,6.9767
android.sensor.accelerometer,1538338973898,5601340955269,-5.1688385,-4.0499115,6.9312134
android.sensor.accelerometer,1538338973917,5601360944282,-5.1616516,-4.107361,7.1179657
android.sensor.accelerometer,1538338973937,5601380963814,-5.092224,-4.0594788,7.218521
android.sensor.accelerometer,1538338973958,5601400983345,-5.1137695,-3.9948425,7.2281036
android.sensor.accelerometer,1538338973978,5601421002876,-5.1496887,-3.9469604,7.2281036
android.sensor.accelerometer,1538338973998,5601440991890,-5.1568756,-3.9230194,7.1993713
android.sensor.accelerometer,1538338974023,5601461011421,-5.2358704,-3.913437,7.1562653
android.sensor.accelerometer,1538338974037,5601481030952,-5.2239075,-3.9589233,7.182602
android.sensor.accelerometer,1538338974058,5601501050483,-5.2430573,-4.016388,7.1921844
android.sensor.accelerometer,1538338974078,5601521070015,-5.166443,-3.9948425,7.1251526
android.sensor.accelerometer,1538338974098,5601541059028,-5.0826416,-3.9685059,7.1203613
android.sensor.accelerometer,1538338974118,5601561078560,-5.020401,-3.9397736,7.1610565
android.sensor.accelerometer,1538338974138,5601581098091,-4.9796906,-3.9828644,7.1754303
android.sensor.accelerometer,1538338974158,5601601117622,-4.9461823,-4.0594788,7.244858
android.sensor.accelerometer,1538338974178,5601621137153,-4.9557495,-4.107361,7.177826
android.sensor.accelerometer,1538338974198,5601641126167,-5.056305,-4.1408844,7.1371155
android.sensor.accelerometer,1538338974218,5601661145698,-5.2286987,-4.1408844,7.091629
android.sensor.accelerometer,1538338974237,5601681165230,-5.3579865,-4.071457,6.916855
android.sensor.accelerometer,1538338974258,5601701184761,-5.305313,-4.0139923,6.782776
android.sensor.accelerometer,1538338974278,5601721173774,-5.281372,-3.9948425,6.830658
android.sensor.accelerometer,1538338974298,5601741193306,-5.1999664,-4.016388,6.9767
android.sensor.accelerometer,1538338974318,5601761212837,-5.080261,-3.9996338,7.0652924
android.sensor.accelerometer,1538338974338,5601781232368,-4.9461823,-4.0307465,7.206543
android.sensor.accelerometer,1538338974358,5601801251899,-4.905472,-4.0427246,7.3023224
android.sensor.accelerometer,1538338974378,5601821240913,-4.9940643,-4.0068054,7.2640076
android.sensor.accelerometer,1538338974398,5601841260444,-5.068283,-3.9996338,7.2352753
android.sensor.accelerometer,1538338974417,5601861279976,-5.1329193,-3.98526,7.1514893
android.sensor.accelerometer,1538338974438,5601881299507,-5.1568756,-3.9828644,7.2041626
android.sensor.accelerometer,1538338974458,5601901319038,-5.1855927,-3.9756927,7.321472
android.sensor.accelerometer,1538338974478,5601921308052,-5.0970154,-3.9709015,7.2400665
android.sensor.accelerometer,1538338974498,5601941327583,-5.0587006,-3.9996338,7.1802216
android.sensor.accelerometer,1538338974518,5601961347114,-5.085037,-4.028366,7.266403
android.sensor.accelerometer,1538338974538,5601981366646,-5.0898285,-4.0355377,7.3334503
android.sensor.accelerometer,1538338974559,5602001355659,-5.0970154,-4.009201,7.2759857
android.sensor.accelerometer,1538338974578,5602021375191,-5.1616516,-3.9828644,7.165848
android.sensor.accelerometer,1538338974598,5602041394722,-5.140106,-3.9756927,7.0820465
android.sensor.accelerometer,1538338974618,5602061414253,-5.1377106,-4.021179,7.165848
android.sensor.accelerometer,1538338974638,5602081433784,-5.116165,-4.057083,7.1371155
android.sensor.accelerometer,1538338974658,5602101422798,-5.037155,-4.040329,7.0413513
android.sensor.accelerometer,1538338974678,5602121442329,-4.97731,-4.0666656,7.091629
android.sensor.accelerometer,1538338974698,5602141461860,-4.97731,-4.028366,7.51062
android.sensor.accelerometer,1538338974718,5602161481392,-5.123352,-3.937378,8.013397
android.sensor.accelerometer,1538338974741,5602181500923,-5.1927795,-3.9086456,7.9080505
android.sensor.accelerometer,1538338974757,5602201489937,-5.293335,-3.8559723,7.541733
android.sensor.accelerometer,1538338974778,5602221509468,-5.365158,-3.8535767,7.122757
android.sensor.accelerometer,1538338974798,5602241528999,-5.355591,-3.8320312,6.7731934
android.sensor.accelerometer,1538338974818,5602261548530,-5.4776917,-3.9445648,6.593628
android.sensor.accelerometer,1538338974839,5602281537544,-5.305313,-3.9709015,6.4499817
android.sensor.accelerometer,1538338974859,5602301557075,-5.0491333,-4.0115967,6.4140625
android.sensor.accelerometer,1538338974879,5602321576607,-4.948578,-4.0427246,6.5529327
android.sensor.accelerometer,1538338974898,5602341596138,-4.910263,-4.009201,6.7133484
android.sensor.accelerometer,1538338974918,5602361615669,-4.8839264,-3.9780884,6.806717
android.sensor.accelerometer,1538338974938,5602381604683,-4.9318085,-4.016388,7.079651
android.sensor.accelerometer,1538338974958,5602401624214,-5.039551,-3.9780884,7.2544403
android.sensor.accelerometer,1538338974978,5602421643745,-5.1927795,-3.894287,7.5130005
android.sensor.accelerometer,1538338974998,5602441663276,-5.2837677,-3.9086456,7.7069397
android.sensor.accelerometer,1538338975019,5602461682808,-5.420227,-3.9709015,7.893692
android.sensor.accelerometer,1538338975039,5602481671821,-5.3124847,-3.8559723,7.7404633
android.sensor.accelerometer,1538338975058,5602501691353,-5.2789764,-3.7530212,7.187393
android.sensor.accelerometer,1538338975079,5602521710884,-5.257431,-3.6548615,6.861786
android.sensor.accelerometer,1538338975098,5602541730415,-5.293335,-3.7506256,6.7444763
android.sensor.accelerometer,1538338975119,5602561749946,-5.25264,-3.8248596,6.8593903
android.sensor.accelerometer,1538338975138,5602581738960,-5.257431,-3.8440094,6.9120636
android.sensor.accelerometer,1538338975158,5602601758491,-5.1688385,-3.767395,7.043747
android.sensor.accelerometer,1538338975179,5602621778023,-5.1999664,-3.5902252,7.5968018
android.sensor.accelerometer,1538338975199,5602641797554,-5.760208,-3.937378,8.16423
android.sensor.accelerometer,1538338975218,5602661786567,-5.8296356,-4.1528625,8.700531
android.sensor.accelerometer,1538338975239,5602681806099,-5.669235,-4.0906067,8.554489
android.sensor.accelerometer,1538338975259,5602701825630,-4.9150543,-4.0139923,8.001419
android.sensor.accelerometer,1538338975279,5602721845161,-4.1728516,-3.633316,7.1371155
android.sensor.accelerometer,1538338975300,5602741864692,-4.1728516,-3.4082642,6.1052246
android.sensor.accelerometer,1538338975319,5602761853706,-5.2789764,-3.324463,5.027832
android.sensor.accelerometer,1538338975339,5602781873237,-6.543106,-3.6907806,5.659897
android.sensor.accelerometer,1538338975359,5602801892769,-6.7035217,-4.052307,6.2871704
android.sensor.accelerometer,1538338975379,5602821912300,-5.961319,-3.616562,6.617584
android.sensor.accelerometer,1538338975399,5602841931831,-5.5830383,-3.3220673,6.1555023
android.sensor.accelerometer,1538338975419,5602861920845,-5.0778656,-3.3819275,5.5713043
android.sensor.accelerometer,1538338975439,5602881940376,-4.4338226,-3.6141663,5.9040985
android.sensor.accelerometer,1538338975459,5602901959907,-4.3787537,-3.2071533,7.328659
android.sensor.accelerometer,1538338975479,5602921979439,-5.3986816,-3.0658875,8.16423
android.sensor.accelerometer,1538338975499,5602941968452,-6.2917175,-3.2741852,8.590393
android.sensor.accelerometer,1538338975519,5602961987983,-6.430588,-3.7266846,8.269577
android.sensor.accelerometer,1538338975540,5602982007515,-5.336441,-3.9780884,7.881714
android.sensor.accelerometer,1538338975558,5603002027046,-3.8951263,-4.0547028,8.140289
android.sensor.accelerometer,1538338975579,5603022046577,-3.0355988,-3.9876556,7.620743
android.sensor.accelerometer,1538338975599,5603042035591,-3.569519,-4.138489,7.19458
android.sensor.accelerometer,1538338975618,5603062055122,-3.2391052,-3.9325867,7.1969757
android.sensor.accelerometer,1538338975639,5603082074653,-4.048355,-3.5590973,7.632721
android.sensor.accelerometer,1538338975659,5603102094185,-6.076248,-3.439392,8.336609
android.sensor.accelerometer,1538338975680,5603122113716,-6.756195,-3.5112152,8.092407
android.sensor.accelerometer,1538338975699,5603142102730,-6.1408844,-3.2071533,7.8769226
android.sensor.accelerometer,1538338975719,5603162122261,-5.276581,-3.3819275,7.536957
android.sensor.accelerometer,1538338975739,5603182141792,-5.0491333,-3.2622223,7.3813324
android.sensor.accelerometer,1538338975759,5603202161323,-4.395508,-3.135315,6.9862823
android.sensor.accelerometer,1538338975779,5603222150337,-4.795349,-3.6476746,7.242462
android.sensor.accelerometer,1538338975799,5603242169868,-4.450577,-3.7171173,7.742859
android.sensor.accelerometer,1538338975820,5603262189399,-4.1417236,-3.8631592,7.874527
android.sensor.accelerometer,1538338975839,5603282208931,-4.3500214,-3.9110413,7.802704
android.sensor.accelerometer,1538338975859,5603302228462,-3.7754211,-3.5471191,7.776367
android.sensor.accelerometer,1538338975878,5603322217476,-4.091446,-3.7841492,7.6279297
android.sensor.accelerometer,1538338975900,5603342237007,-4.2087708,-4.3060913,7.9822693
android.sensor.accelerometer,1538338975919,5603362256538,-3.3612213,-3.9565277,8.0971985
android.sensor.accelerometer,1538338975940,5603382276069,-4.0818787,-3.7889404,7.6590576
android.sensor.accelerometer,1538338975959,5603402265083,-5.037155,-3.7626038,7.7931366
android.sensor.accelerometer,1538338975980,5603422284614,-4.5247955,-3.7602081,7.6159515
android.sensor.accelerometer,1538338976000,5603442304146,-3.957367,-3.9445648,7.400482
android.sensor.accelerometer,1538338976019,5603462323677,-3.636551,-4.0355377,7.4100647
android.sensor.accelerometer,1538338976040,5603482343208,-3.442627,-3.8607635,7.6159515
android.sensor.accelerometer,1538338976060,5603502332222,-3.9382172,-3.7961273,7.570465
android.sensor.accelerometer,1538338976079,5603522351753,-5.051529,-3.4968414,8.255203
android.sensor.accelerometer,1538338976101,5603542371284,-5.6835938,-3.3220673,8.652649
android.sensor.accelerometer,1538338976120,5603562390816,-5.2717896,-3.6716309,8.633499
android.sensor.accelerometer,1538338976138,5603582410347,-4.335663,-3.5926208,7.879318
android.sensor.accelerometer,1538338976159,5603602399360,-3.5192413,-3.9278107,7.2352753
android.sensor.accelerometer,1538338976179,5603622418892,-2.8560333,-4.205536,7.3502045
android.sensor.accelerometer,1538338976199,5603642438423,-3.0763092,-4.198349,8.020584
android.sensor.accelerometer,1538338976220,5603662457954,-3.4091034,-4.2558136,9.212891
android.sensor.accelerometer,1538338976239,5603682477485,-4.0507507,-3.6692352,8.573639
android.sensor.accelerometer,1538338976259,5603702466499,-4.273407,-3.3292542,6.818695
android.sensor.accelerometer,1538338976278,5603722486030,-3.0906677,-3.4609375,6.1339417
