Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538338990206,5617291259626,-0.010787964,0.21081543,0.013366699
android.sensor.gyroscope,1538338990225,5617311279158,0.0051879883,0.18312073,0.013366699
android.sensor.gyroscope,1538338990245,5617331298689,-0.034225464,0.108551025,0.0027008057
android.sensor.gyroscope,1538338990265,5617351318220,-0.10772705,0.059539795,-0.0026245117
android.sensor.gyroscope,1538338990285,5617371307234,-0.13542175,0.014801025,0.003768921
android.sensor.gyroscope,1538338990307,5617391326765,-0.1194458,-0.015029907,0.0059051514
android.sensor.gyroscope,1538338990327,5617411346296,-0.10346985,0.06060791,0.0059051514
android.sensor.gyroscope,1538338990347,5617431365828,-0.055526733,0.07019043,0.0069732666
android.sensor.gyroscope,1538338990366,5617451354841,-0.0022735596,-0.03526306,-0.006881714
android.sensor.gyroscope,1538338990387,5617471374373,-0.018249512,-0.04698181,-0.036712646
android.sensor.gyroscope,1538338990407,5617491393904,-0.0917511,0.023330688,-0.061203003
android.sensor.gyroscope,1538338990427,5617511413435,-0.097076416,-0.03312683,-0.0846405
android.sensor.gyroscope,1538338990447,5617531432966,-0.0448761,-0.123687744,-0.1038208
android.sensor.gyroscope,1538338990466,5617551421980,-0.010787964,-0.12580872,-0.12832642
android.sensor.gyroscope,1538338990487,5617571441511,0.019042969,-0.13433838,-0.13790894
android.sensor.gyroscope,1538338990507,5617591461042,0.041412354,-0.1631012,-0.124053955
android.sensor.gyroscope,1538338990526,5617611480574,0.03288269,-0.13752747,-0.12512207
android.sensor.gyroscope,1538338990547,5617631500105,0.020095825,-0.0693512,-0.11766052
android.sensor.gyroscope,1538338990567,5617651489119,0.03288269,-0.0075683594,-0.11340332
android.sensor.gyroscope,1538338990587,5617671508650,0.066970825,0.01586914,-0.09742737
android.sensor.gyroscope,1538338990606,5617691528181,0.07443237,-0.0033111572,-0.07824707
android.sensor.gyroscope,1538338990627,5617711547712,0.05632019,-0.08639526,-0.08570862
android.sensor.gyroscope,1538338990646,5617731536726,0.05632019,-0.14498901,-0.102752686
android.sensor.gyroscope,1538338990667,5617751556257,0.07975769,-0.100250244,-0.09210205
android.sensor.gyroscope,1538338990687,5617771575789,0.06803894,0.018005371,-0.06440735
android.sensor.gyroscope,1538338990707,5617791595320,0.047805786,0.07765198,-0.058013916
android.sensor.gyroscope,1538338990727,5617811614851,0.030761719,0.0116119385,-0.06333923
android.sensor.gyroscope,1538338990747,5617831603865,0.05206299,-0.2142334,-0.061203003
android.sensor.gyroscope,1538338990767,5617851623396,0.15007019,-0.3399353,-4.8828125E-4
android.sensor.gyroscope,1538338990787,5617871642927,0.2288971,-0.15563965,0.047454834
android.sensor.gyroscope,1538338990807,5617891662458,0.2810974,0.010543823,0.086868286
android.sensor.gyroscope,1538338990827,5617911681990,0.3311615,0.06913757,0.061294556
android.sensor.gyroscope,1538338990847,5617931671003,0.3354187,0.033981323,0.0059051514
