Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538336778814,3405604945455,-0.2008667,7.8827972,5.872986
android.sensor.accelerometer,1538336778831,3405624934469,-0.14341736,7.8995514,5.774811
android.sensor.accelerometer,1538336778844,3405644954000,-0.16017151,7.8995514,5.6934204
android.sensor.accelerometer,1538336778864,3405664973531,-0.14341736,7.913925,5.7173615
android.sensor.accelerometer,1538336778884,3405684993062,-0.014129639,7.901947,5.9663544
android.sensor.accelerometer,1538336778905,3405705012594,-0.16256714,7.858856,5.827484
android.sensor.accelerometer,1538336778926,3405725032125,-0.20805359,7.8684235,5.628769
android.sensor.accelerometer,1538336778946,3405745021139,-0.14102173,7.9234924,5.4252625
android.sensor.accelerometer,1538336778965,3405765040670,-0.229599,7.89476,5.41568
android.sensor.accelerometer,1538336778985,3405785060201,-0.16973877,7.8564606,5.6670837
android.sensor.accelerometer,1538336779005,3405805079732,-0.19129944,7.8253326,5.7029877
android.sensor.accelerometer,1538336779026,3405825099264,-0.15538025,7.8277283,5.609619
android.sensor.accelerometer,1538336779045,3405845118795,-0.30142212,7.782242,5.6981964
android.sensor.accelerometer,1538336779065,3405865107809,-0.5983124,7.5787354,6.1291656
android.sensor.accelerometer,1538336779086,3405885127340,-1.6589355,7.075943,7.515396
android.sensor.accelerometer,1538336779106,3405905146871,-3.2032013,5.9554596,8.6861725
android.sensor.accelerometer,1538336779126,3405925166402,-6.8639374,5.9027863,10.050858
android.sensor.accelerometer,1538336779146,3405945185934,-7.8886566,5.5245056,10.25676
android.sensor.accelerometer,1538336779170,3405965174947,-5.834427,5.7304077,9.234436
android.sensor.accelerometer,1538336779184,3405985194478,-4.6900024,7.0376434,8.441956
android.sensor.accelerometer,1538336779205,3406005214010,-2.7578735,5.6705475,10.577591
android.sensor.accelerometer,1538336779225,3406025233541,-1.134613,5.2324066,13.371613
android.sensor.accelerometer,1538336779246,3406045253072,-0.7706909,6.1254425,13.781021
android.sensor.accelerometer,1538336779266,3406065272603,2.5381012,4.940323,14.183258
android.sensor.accelerometer,1538336779286,3406085261617,12.902603,4.0448914,14.247894
android.sensor.accelerometer,1538336779306,3406105281148,19.438766,4.940323,7.9319916
android.sensor.accelerometer,1538336779328,3406125300680,19.773956,6.0727844,0.07661438
android.sensor.accelerometer,1538336779345,3406145320211,17.87535,4.4183807,-2.482788
android.sensor.accelerometer,1538336779365,3406165339742,16.544174,0.9156647,-1.5227051
android.sensor.accelerometer,1538336779386,3406185328756,15.895355,-0.025253296,-4.9152985
android.sensor.accelerometer,1538336779406,3406205348287,12.462067,-0.097076416,-9.34935
android.sensor.accelerometer,1538336779426,3406225367818,9.363968,-0.8895569,-10.345337
android.sensor.accelerometer,1538336779446,3406245387350,7.7694244,-1.8137207,-8.034943
android.sensor.accelerometer,1538336779465,3406265406881,7.5132446,-1.8592072,-6.8330536
android.sensor.accelerometer,1538336779486,3406285395894,7.2522736,-1.3300934,-7.6470795
android.sensor.accelerometer,1538336779506,3406305415426,7.175659,-1.1026459,-7.3118896
android.sensor.accelerometer,1538336779526,3406325434957,6.4933167,-1.6269684,-6.4380035
android.sensor.accelerometer,1538336779547,3406345454488,6.012085,-2.7187347,-6.1890106
android.sensor.accelerometer,1538336779566,3406365474019,6.05278,-3.5351562,-6.629547
android.sensor.accelerometer,1538336779586,3406385493551,5.5308533,-4.258209,-9.193726
android.sensor.accelerometer,1538336779606,3406405482564,6.557968,-5.5917664,-12.490555
android.sensor.accelerometer,1538336779626,3406425502096,6.993698,-9.587692,-14.944611
android.sensor.accelerometer,1538336779646,3406445521627,10.800491,-13.0952,-17.113754
android.sensor.accelerometer,1538336779667,3406465541158,14.379822,-16.55722,-17.956512
android.sensor.accelerometer,1538336779685,3406485560689,19.946335,-19.842056,-18.435349
android.sensor.accelerometer,1538336779708,3406505549703,28.3835,-22.324844,-22.258896
android.sensor.accelerometer,1538336779725,3406525569234,33.14557,-23.782913,-24.66507
android.sensor.accelerometer,1538336779746,3406545588766,35.422455,-27.185074,-22.613235
android.sensor.accelerometer,1538336779766,3406565608297,39.502182,-31.343811,-17.80568
android.sensor.accelerometer,1538336779786,3406585627828,51.41812,-32.081223,-8.585602
android.sensor.accelerometer,1538336779805,3406605647359,57.013367,-31.722092,-0.58657837
android.sensor.accelerometer,1538336779826,3406625636373,54.509033,-34.8154,5.578491
android.sensor.accelerometer,1538336779845,3406645655904,52.050186,-38.02124,16.038757
android.sensor.accelerometer,1538336779874,3406665675435,42.96898,-36.127426,28.48143
android.sensor.accelerometer,1538336779887,3406685694967,20.037323,-31.243256,41.053375
android.sensor.accelerometer,1538336779907,3406705714498,-1.3668518,-26.062195,37.48842
android.sensor.accelerometer,1538336779925,3406725703512,-11.041809,-24.6185,30.32257
android.sensor.accelerometer,1538336779947,3406745723043,-17.35054,-18.388779,9.078812
