Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538336771555,3398339909061,-0.024291992,-0.010253906,0.012588501
android.sensor.gyroscope,1538336771574,3398359928592,-0.07116699,-0.0027923584,0.0061950684
android.sensor.gyroscope,1538336771579,3398379917606,-0.06477356,0.009994507,0.021102905
android.sensor.gyroscope,1538336771599,3398399937137,-0.036010742,-0.017700195,0.04135132
android.sensor.gyroscope,1538336771619,3398419956668,-0.0061798096,-0.035812378,0.038146973
android.sensor.gyroscope,1538336771640,3398439976200,-0.0093688965,-0.03262329,0.04347229
android.sensor.gyroscope,1538336771661,3398459995731,-0.007247925,-0.03262329,0.038146973
android.sensor.gyroscope,1538336771685,3398479984745,0.00340271,-0.0059814453,0.037078857
android.sensor.gyroscope,1538336771700,3398500004276,0.004470825,0.013183594,0.05732727
android.sensor.gyroscope,1538336771721,3398520023807,-8.544922E-4,0.0121154785,0.0637207
android.sensor.gyroscope,1538336771741,3398540043338,-0.007247925,0.013183594,0.05519104
android.sensor.gyroscope,1538336771762,3398560062870,-0.01789856,0.01638794,0.044540405
android.sensor.gyroscope,1538336771781,3398580082401,-0.014694214,0.0014648438,0.052001953
android.sensor.gyroscope,1538336771801,3398600071414,0.00340271,-0.048599243,0.067977905
android.sensor.gyroscope,1538336771821,3398620090946,0.025772095,-0.12530518,0.093551636
android.sensor.gyroscope,1538336771841,3398640110477,0.13656616,-0.42677307,0.18409729
android.sensor.gyroscope,1538336771861,3398660130008,0.39968872,-0.8539429,0.31085205
android.sensor.gyroscope,1538336771881,3398680149539,0.6542816,-0.9849701,0.39074707
android.sensor.gyroscope,1538336771902,3398700138553,0.67453,-0.7836304,0.47810364
android.sensor.gyroscope,1538336771920,3398720158084,0.47425842,-0.5705719,0.5697174
android.sensor.gyroscope,1538336771940,3398740177616,0.32725525,-0.6036072,0.7273712
android.sensor.gyroscope,1538336771961,3398760197147,0.374115,-0.9615326,1.0075378
android.sensor.gyroscope,1538336771981,3398780216678,0.63830566,-1.7029572,1.2717285
android.sensor.gyroscope,1538336772001,3398800205692,1.1496277,-2.402832,1.4943695
android.sensor.gyroscope,1538336772021,3398820225223,1.64711,-2.5541077,1.7361755
android.sensor.gyroscope,1538336772042,3398840244754,1.7877197,-1.8680725,2.1495056
android.sensor.gyroscope,1538336772061,3398860264286,1.5267334,-0.524765,2.5479126
android.sensor.gyroscope,1538336772082,3398880283817,1.2806549,1.1924286,2.7705536
android.sensor.gyroscope,1538336772101,3398900303348,1.5331268,2.8957977,3.065628
android.sensor.gyroscope,1538336772121,3398920292362,2.5355377,3.665985,3.5790863
android.sensor.gyroscope,1538336772141,3398940311893,3.810669,3.3879395,3.7921448
android.sensor.gyroscope,1538336772162,3398960331424,4.6980286,2.5282745,3.5119781
android.sensor.gyroscope,1538336772181,3398980350956,5.07193,2.4153595,2.9868011
android.sensor.gyroscope,1538336772203,3399000370487,4.9078827,2.9416046,2.0312653
android.sensor.gyroscope,1538336772220,3399020359500,4.372055,3.443344,1.1513519
android.sensor.gyroscope,1538336772240,3399040379032,3.6412811,3.7522583,0.7934265
android.sensor.gyroscope,1538336772260,3399060398563,2.9382172,3.824707,0.75401306
android.sensor.gyroscope,1538336772280,3399080418094,2.7358093,3.5647736,0.9276428
android.sensor.gyroscope,1538336772301,3399100437625,3.0383453,2.661438,0.8999481
android.sensor.gyroscope,1538336772322,3399120426639,3.2215729,1.2243958,0.72843933
android.sensor.gyroscope,1538336772342,3399140446170,2.8476715,0.1665802,0.6996765
android.sensor.gyroscope,1538336772362,3399160465702,2.1840057,0.21665955,0.90740967
android.sensor.gyroscope,1538336772381,3399180485233,1.5778656,0.8227844,1.1236572
android.sensor.gyroscope,1538336772401,3399200504764,1.0377808,1.072052,1.2695923
android.sensor.gyroscope,1538336772422,3399220524295,0.55415344,0.48616028,1.314331
android.sensor.gyroscope,1538336772441,3399240513309,-0.007247925,-0.3660431,1.5486908
android.sensor.gyroscope,1538336772462,3399260532840,-0.5164337,-0.87098694,2.0035706
android.sensor.gyroscope,1538336772482,3399280552372,-1.0160522,-1.2917633,2.4307404
android.sensor.gyroscope,1538336772502,3399300571903,-2.1154022,-2.210022,2.7748108
android.sensor.gyroscope,1538336772522,3399320591434,-3.7271423,-2.941864,3.016632
android.sensor.gyroscope,1538336772541,3399340580448,-5.3356934,-3.038803,3.2669678
android.sensor.gyroscope,1538336772561,3399360599979,-6.29657,-3.7780914,3.4033203
android.sensor.gyroscope,1538336772580,3399380619510,-7.222275,-5.1032715,3.159378
android.sensor.gyroscope,1538336772601,3399400639041,-8.835098,-6.1248627,2.426468
android.sensor.gyroscope,1538336772629,3399420658573,-10.497971,-5.732849,1.8725433
android.sensor.gyroscope,1538336772641,3399440678104,-11.1488495,-4.314987,1.3090057
android.sensor.gyroscope,1538336772662,3399460667118,-10.255096,-3.2688904,-0.29315186
android.sensor.gyroscope,1538336772681,3399480686649,-9.608475,-3.4137726,-2.7709503
android.sensor.gyroscope,1538336772702,3399500706180,-10.019669,-2.1375885,-4.9536743
android.sensor.gyroscope,1538336772722,3399520725711,-9.490234,0.8739166,-6.4823303
