Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538338900718,5528153844294,0.23727417,8.692032,3.8115692
android.sensor.accelerometer,1538338900729,5528173863825,0.35458374,8.70401,3.861847
android.sensor.accelerometer,1538338900749,5528193883357,0.5365448,8.682465,3.995926
android.sensor.accelerometer,1538338900769,5528213902888,0.64907837,8.641754,4.082123
android.sensor.accelerometer,1538338900789,5528233891902,0.5652771,8.548386,4.067749
android.sensor.accelerometer,1538338900810,5528253911433,0.5556946,8.507675,3.9767761
android.sensor.accelerometer,1538338900830,5528273930964,0.72569275,8.443039,4.4460297
android.sensor.accelerometer,1538338900851,5528293950495,0.6753998,8.366425,5.205002
android.sensor.accelerometer,1538338900870,5528313970027,0.5365448,8.344879,5.6814423
android.sensor.accelerometer,1538338900890,5528333959040,0.23487854,8.354446,5.4492035
android.sensor.accelerometer,1538338900911,5528353978571,0.3426056,8.603455,5.2504883
android.sensor.accelerometer,1538338900931,5528373998103,0.4790802,8.677673,5.260071
android.sensor.accelerometer,1538338900950,5528394017634,0.51020813,8.524445,5.932831
android.sensor.accelerometer,1538338900971,5528414006648,0.6849823,8.373611,6.708557
android.sensor.accelerometer,1538338900991,5528434026179,1.4870453,8.536407,6.837845
android.sensor.accelerometer,1538338901011,5528454045710,2.3274078,9.096649,6.892914
android.sensor.accelerometer,1538338901032,5528474065241,1.8749084,8.809357,6.969528
android.sensor.accelerometer,1538338901051,5528494054255,3.1438293,9.1996,7.989456
android.sensor.accelerometer,1538338901071,5528514073786,4.565979,9.427048,9.2799225
android.sensor.accelerometer,1538338901091,5528534093318,5.222,10.140533,8.008606
android.sensor.accelerometer,1538338901110,5528554112849,5.2938232,10.013641,5.4803314
android.sensor.accelerometer,1538338901130,5528574132380,3.8956146,9.166092,4.6231995
android.sensor.accelerometer,1538338901151,5528594121394,1.7384338,7.925888,3.6176453
android.sensor.accelerometer,1538338901171,5528614140925,-1.1226349,6.237976,2.652771
android.sensor.accelerometer,1538338901192,5528634160456,-4.606201,4.8756714,1.7405853
android.sensor.accelerometer,1538338901211,5528654179988,-6.9166107,3.5277405,1.0558472
android.sensor.accelerometer,1538338901231,5528674199519,-7.4648743,2.8238525,0.16999817
android.sensor.accelerometer,1538338901251,5528694188532,-8.120895,2.5748444,-0.30166626
android.sensor.accelerometer,1538338901271,5528714208064,-9.181519,1.3585968,-0.60572815
android.sensor.accelerometer,1538338901291,5528734227595,-10.222992,1.1143799,1.7980499
android.sensor.accelerometer,1538338901312,5528754247126,-10.340317,1.4711151,4.1012726
android.sensor.accelerometer,1538338901331,5528774236140,-10.187088,1.3609924,5.228943
android.sensor.accelerometer,1538338901351,5528794255671,-8.934921,1.4423981,6.114792
android.sensor.accelerometer,1538338901372,5528814275202,-7.472061,2.067276,6.174652
android.sensor.accelerometer,1538338901391,5528834294734,-7.098572,2.2971191,5.178665
android.sensor.accelerometer,1538338901411,5528854314265,-7.0099792,2.043335,4.6543274
android.sensor.accelerometer,1538338901432,5528874303279,-7.024353,1.6027985,4.771652
android.sensor.accelerometer,1538338901451,5528894322810,-7.953293,0.8486328,7.0222015
android.sensor.accelerometer,1538338901471,5528914342341,-8.647614,0.49668884,9.9479065
android.sensor.accelerometer,1538338901492,5528934361872,-8.508759,0.8246918,10.900803
android.sensor.accelerometer,1538338901511,5528954350886,-9.152786,0.24768066,9.742004
android.sensor.accelerometer,1538338901531,5528974370417,-11.515869,-1.9932861,9.540894
android.sensor.accelerometer,1538338901552,5528994389948,-13.333069,-2.60141,14.1497345
android.sensor.accelerometer,1538338901571,5529014409480,-12.727341,-0.7363281,22.009903
android.sensor.accelerometer,1538338901591,5529034429011,-12.492706,-1.064331,30.095123
android.sensor.accelerometer,1538338901610,5529054418025,-12.966751,-5.201523,32.33609
android.sensor.accelerometer,1538338901631,5529074437556,-8.310028,-5.766556,35.56108
android.sensor.accelerometer,1538338901651,5529094457087,-2.3460693,-4.3779144,35.89627
android.sensor.accelerometer,1538338901671,5529114476618,0.36177063,-5.1727905,30.880417
android.sensor.accelerometer,1538338901691,5529134465632,-0.009338379,-10.432846,25.704147
android.sensor.accelerometer,1538338901712,5529154485163,2.37529,-17.02887,22.41452
android.sensor.accelerometer,1538338901732,5529174504695,10.087021,-20.830872,11.688492
android.sensor.accelerometer,1538338901751,5529194524226,16.21138,-18.992126,-18.454498
android.sensor.accelerometer,1538338901771,5529214543757,5.4374695,-17.359268,-23.587677
android.sensor.accelerometer,1538338901792,5529234532771,7.9035034,-17.603485,-14.271835
android.sensor.accelerometer,1538338901811,5529254552302,12.131668,-19.480545,-0.91937256
android.sensor.accelerometer,1538338901832,5529274571833,7.549164,-16.906769,-13.467377
android.sensor.accelerometer,1538338901851,5529294591364,-7.3308105,-9.451233,-30.413544
android.sensor.accelerometer,1538338901871,5529314580378,-12.497498,-3.6979523,-40.792404
android.sensor.accelerometer,1538338901891,5529334599909,3.3688812,7.4063416,-33.928238
android.sensor.accelerometer,1538338901911,5529354619441,9.957733,11.023987,-19.900604
android.sensor.accelerometer,1538338901933,5529374638972,1.6043549,6.8604736,-9.797073
android.sensor.accelerometer,1538338901951,5529394658503,-4.7498474,2.8166656,-7.6662292
android.sensor.accelerometer,1538338901972,5529414647517,-6.727463,3.8677216,-5.41568
android.sensor.accelerometer,1538338901992,5529434667048,-5.286148,4.325012,-5.2839966
android.sensor.accelerometer,1538338902012,5529454686579,-4.4577637,5.481415,-6.2368927
android.sensor.accelerometer,1538338902034,5529474706111,-1.5488129,6.3313446,-6.5577087
