Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538338893603,5521029291508,0.22996521,-0.029937744,0.059173584
android.sensor.gyroscope,1538338893618,5521049311039,0.21611023,-0.078933716,0.0016479492
android.sensor.gyroscope,1538338893625,5521069300053,0.115982056,0.03717041,-0.01966858
android.sensor.gyroscope,1538338893645,5521089319584,0.047805786,0.15115356,-0.014343262
android.sensor.gyroscope,1538338893665,5521109339115,0.049926758,0.1341095,-0.016464233
android.sensor.gyroscope,1538338893685,5521129358646,0.12130737,-0.04058838,-0.046295166
android.sensor.gyroscope,1538338893705,5521149347660,0.25338745,-0.25790405,-0.0995636
android.sensor.gyroscope,1538338893727,5521169367191,0.33328247,-0.31222534,-0.11872864
android.sensor.gyroscope,1538338893747,5521189386723,0.26724243,-0.08425903,-0.0569458
android.sensor.gyroscope,1538338893766,5521209406254,0.14900208,0.14050293,0.0059051514
android.sensor.gyroscope,1538338893787,5521229425785,0.104263306,0.049957275,-0.0132751465
android.sensor.gyroscope,1538338893806,5521249414799,0.17349243,-0.4262085,-0.14216614
android.sensor.gyroscope,1538338893826,5521269434330,0.40252686,-1.1900177,-0.3317871
android.sensor.gyroscope,1538338893847,5521289453861,0.7913513,-1.8568726,-0.4479065
android.sensor.gyroscope,1538338893867,5521309473393,1.4475555,-3.07872,-0.7408447
android.sensor.gyroscope,1538338893886,5521329492924,2.6704865,-5.467041,-1.3629608
android.sensor.gyroscope,1538338893906,5521349481938,4.111786,-7.5294037,-1.9573822
android.sensor.gyroscope,1538338893926,5521369501469,4.8393555,-7.7658844,-2.2215576
android.sensor.gyroscope,1538338893947,5521389521000,4.636963,-6.8305817,-2.4261017
android.sensor.gyroscope,1538338893966,5521409540531,4.5336304,-7.0287323,-2.863922
android.sensor.gyroscope,1538338893987,5521429529545,4.957596,-8.230347,-3.3688507
android.sensor.gyroscope,1538338894007,5521449549076,5.3315125,-8.470032,-3.9110718
android.sensor.gyroscope,1538338894026,5521469568607,5.3666687,-8.025818,-4.293503
android.sensor.gyroscope,1538338894047,5521489588139,4.9821014,-8.187729,-4.453293
android.sensor.gyroscope,1538338894066,5521509607670,4.1511993,-8.810913,-4.5459747
android.sensor.gyroscope,1538338894087,5521529596684,3.1040497,-8.955795,-4.566208
android.sensor.gyroscope,1538338894107,5521549616215,2.425476,-8.149384,-4.4458313
android.sensor.gyroscope,1538338894127,5521569635746,2.250763,-6.8902435,-4.055954
android.sensor.gyroscope,1538338894147,5521589655277,2.057953,-5.1517334,-3.3922882
android.sensor.gyroscope,1538338894167,5521609644291,1.6978912,-3.7828674,-2.6775055
android.sensor.gyroscope,1538338894187,5521629663822,1.0448914,-2.8635406,-2.3334198
android.sensor.gyroscope,1538338894207,5521649683354,0.18095398,-2.2893677,-2.2758942
android.sensor.gyroscope,1538338894227,5521669702885,-0.4081421,-1.9356995,-2.1565857
android.sensor.gyroscope,1538338894247,5521689722416,-0.3229065,-1.7673798,-2.0596466
android.sensor.gyroscope,1538338894267,5521709711430,-0.1982727,-1.5894775,-1.7816162
android.sensor.gyroscope,1538338894287,5521729730961,0.011581421,-1.4861603,-1.1552277
android.sensor.gyroscope,1538338894307,5521749750492,0.050994873,-1.181488,-0.84524536
android.sensor.gyroscope,1538338894327,5521769770023,0.20225525,-1.0451355,-1.0220795
android.sensor.gyroscope,1538338894347,5521789759037,0.40359497,-1.3455353,-1.3288727
android.sensor.gyroscope,1538338894367,5521809778568,0.43981934,-1.6374207,-1.1499023
android.sensor.gyroscope,1538338894387,5521829798100,0.12663269,-1.387085,-0.76641846
android.sensor.gyroscope,1538338894407,5521849817631,-0.48164368,-1.1303558,-0.6375122
android.sensor.gyroscope,1538338894427,5521869837162,-0.90348816,-1.9868317,-0.5831909
android.sensor.gyroscope,1538338894446,5521889826176,-0.6776428,-3.4451752,-0.1038208
android.sensor.gyroscope,1538338894465,5521909845707,0.060577393,-2.6696625,0.50764465
android.sensor.gyroscope,1538338894486,5521929865238,1.7106781,-0.73513794,0.59072876
android.sensor.gyroscope,1538338894506,5521949884770,4.5975494,0.032913208,0.28500366
android.sensor.gyroscope,1538338894527,5521969873783,6.760025,1.9642334,1.197937
android.sensor.gyroscope,1538338894547,5521989893314,6.584259,5.842865,3.0930328
android.sensor.gyroscope,1538338894567,5522009912846,5.83432,8.564621,4.2147675
android.sensor.gyroscope,1538338894587,5522029932377,7.505722,6.9528656,3.775879
android.sensor.gyroscope,1538338894608,5522049951908,9.839706,4.0862427,3.4349823
android.sensor.gyroscope,1538338894626,5522069940922,9.874863,2.3093872,4.066696
android.sensor.gyroscope,1538338894647,5522089960453,6.295578,1.719223,3.4978333
android.sensor.gyroscope,1538338894667,5522109979984,2.96875,2.2454681,2.8011627
android.sensor.gyroscope,1538338894687,5522129999516,0.95114136,5.062027,2.7883759
android.sensor.gyroscope,1538338894707,5522150019047,0.18841553,3.47052,2.294098
android.sensor.gyroscope,1538338894727,5522170008061,0.4611206,0.2875061,0.33294678
android.sensor.gyroscope,1538338894747,5522190027592,-0.35913086,-1.4350281,-2.3824158
android.sensor.gyroscope,1538338894767,5522210047123,-1.7162781,-2.2627258,-3.4913635
android.sensor.gyroscope,1538338894787,5522230066654,-2.3916626,-1.451004,-2.7137146
android.sensor.gyroscope,1538338894808,5522250055668,-2.2723541,0.4228058,-1.1712189
android.sensor.gyroscope,1538338894827,5522270075199,-1.8824615,2.052658,-0.17306519
android.sensor.gyroscope,1538338894847,5522290094730,-1.7226715,2.9357605,-0.6428375
android.sensor.gyroscope,1538338894867,5522310114262,-1.7003021,2.945343,-0.6556244
android.sensor.gyroscope,1538338894887,5522330133793,-1.8206787,2.881424,-0.23910522
android.sensor.gyroscope,1538338894907,5522350122807,-2.5173645,3.009262,-0.10168457
android.sensor.gyroscope,1538338894928,5522370142338,-3.2023163,2.7791595,-0.49369812
android.sensor.gyroscope,1538338894947,5522390161869,-3.0808868,2.208191,-0.99864197
android.sensor.gyroscope,1538338894974,5522410181400,-2.557846,1.5487823,-0.79837036
android.sensor.gyroscope,1538338894987,5522430170414,-2.2361298,1.6308136,0.13479614
android.sensor.gyroscope,1538338895007,5522450189945,-2.414032,2.865448,1.5462799
android.sensor.gyroscope,1538338895027,5522470209477,-2.7059174,4.1107483,2.728714
android.sensor.gyroscope,1538338895046,5522490229008,-2.6377258,5.235672,2.6999512
