Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538336961730,3588527822928,0.46472168,5.3808594,8.51857
android.sensor.accelerometer,1538336961742,3588547842459,0.40486145,5.368881,8.113953
android.sensor.accelerometer,1538336961760,3588567861991,0.48866272,5.4143677,8.00621
android.sensor.accelerometer,1538336961780,3588587881522,0.5580902,5.18692,8.63829
android.sensor.accelerometer,1538336961800,3588607901053,0.3019104,5.0696106,8.786728
android.sensor.accelerometer,1538336961821,3588627890067,-0.1386261,4.890045,8.403656
android.sensor.accelerometer,1538336961842,3588647909598,-0.13143921,4.8996124,8.28154
android.sensor.accelerometer,1538336961862,3588667929129,-0.16496277,4.732025,8.334213
android.sensor.accelerometer,1538336961884,3588687948660,-0.33015442,4.5835876,8.444351
android.sensor.accelerometer,1538336961902,3588707968192,-0.48817444,4.4734497,8.26239
android.sensor.accelerometer,1538336961921,3588727957205,-0.51690674,4.6194916,8.147476
android.sensor.accelerometer,1538336961941,3588747976737,-0.5073242,4.727234,8.10437
android.sensor.accelerometer,1538336961973,3588767996268,-0.14819336,4.739212,8.216904
android.sensor.accelerometer,1538336961981,3588788015799,1.3194427,5.3545227,8.470688
android.sensor.accelerometer,1538336962002,3588808035330,2.84935,6.075165,8.458725
android.sensor.accelerometer,1538336962023,3588828024344,4.2978363,6.2834625,7.735672
android.sensor.accelerometer,1538336962041,3588848043875,6.9434204,6.9107513,7.3310547
android.sensor.accelerometer,1538336962062,3588868063407,10.189972,8.167709,7.340622
android.sensor.accelerometer,1538336962082,3588888082938,12.172363,8.38797,7.639908
android.sensor.accelerometer,1538336962103,3588908102469,12.624863,7.403961,5.8849487
android.sensor.accelerometer,1538336962120,3588928091483,13.1875,7.3776245,5.269638
android.sensor.accelerometer,1538336962141,3588948111014,15.387772,7.3776245,8.446747
android.sensor.accelerometer,1538336962161,3588968130545,17.71733,6.8078003,10.41478
android.sensor.accelerometer,1538336962181,3588988150077,19.046112,5.625061,8.068466
android.sensor.accelerometer,1538336962201,3589008169608,19.000626,4.700897,5.6024323
android.sensor.accelerometer,1538336962223,3589028158621,19.465103,4.05925,4.996704
android.sensor.accelerometer,1538336962242,3589048178153,20.22406,3.1853638,8.83461
android.sensor.accelerometer,1538336962262,3589068197684,20.20491,0.7624359,10.874466
android.sensor.accelerometer,1538336962282,3589088217215,17.765213,-1.490509,8.482666
android.sensor.accelerometer,1538336962303,3589108236746,16.702194,-3.5806427,8.008606
android.sensor.accelerometer,1538336962322,3589128225760,15.912109,-4.823242,10.165787
android.sensor.accelerometer,1538336962342,3589148245291,12.59613,-9.037033,4.3742065
android.sensor.accelerometer,1538336962362,3589168264823,-9.054626,-13.748825,23.348251
android.sensor.accelerometer,1538336962382,3589188284354,-0.7754822,-7.6867065,23.568527
android.sensor.accelerometer,1538336962402,3589208303885,11.181168,-1.3061523,16.65886
android.sensor.accelerometer,1538336962426,3589228292899,-0.48338318,-2.2446747,8.166626
android.sensor.accelerometer,1538336962441,3589248312430,-3.1648865,-7.2557373,10.084381
android.sensor.accelerometer,1538336962461,3589268331961,-1.0508118,-6.8966064,24.13356
android.sensor.accelerometer,1538336962482,3589288351493,0.40246582,-4.452133,20.982788
android.sensor.accelerometer,1538336962502,3589308371024,1.3840942,-0.61901855,11.44429
android.sensor.accelerometer,1538336962522,3589328360037,-6.00441,-4.909424,13.306976
android.sensor.accelerometer,1538336962542,3589348379569,-11.640366,-9.8055725,16.450562
android.sensor.accelerometer,1538336962562,3589368399100,-10.242157,-7.871048,20.915756
android.sensor.accelerometer,1538336962582,3589388418631,-7.2877045,-2.3236847,5.288788
android.sensor.accelerometer,1538336962602,3589408438162,2.313034,4.1286926,-1.8148041
android.sensor.accelerometer,1538336962622,3589428427176,-5.9637146,-1.7706299,5.834671
android.sensor.accelerometer,1538336962644,3589448446707,0.9962311,-1.7706299,10.881653
android.sensor.accelerometer,1538336962662,3589468466239,12.610504,3.88208,21.66513
android.sensor.accelerometer,1538336962683,3589488485770,22.55841,11.119751,22.012299
android.sensor.accelerometer,1538336962701,3589508505301,26.044373,14.979202,9.382874
android.sensor.accelerometer,1538336962721,3589528524832,17.255249,17.404541,-2.3463135
android.sensor.accelerometer,1538336962742,3589548513846,9.663239,19.154694,-12.071564
android.sensor.accelerometer,1538336962762,3589568533377,13.110886,21.196945,-15.301346
android.sensor.accelerometer,1538336962782,3589588552909,8.427826,18.695007,-17.75061
android.sensor.accelerometer,1538336962802,3589608572440,3.359314,12.594589,-25.764008
android.sensor.accelerometer,1538336962821,3589628591971,-3.1768646,4.8517303,-38.139633
android.sensor.accelerometer,1538336962842,3589648580985,3.091156,-8.776062,-40.406937
android.sensor.accelerometer,1538336962861,3589668600516,24.59349,-18.369629,-11.741165
android.sensor.accelerometer,1538336962882,3589688620047,36.677017,-4.9285736,38.889023
android.sensor.accelerometer,1538336962902,3589708639578,24.418701,-6.025131,30.897171
android.sensor.accelerometer,1538336962921,3589728659110,10.450928,-14.280334,18.5
android.sensor.accelerometer,1538336962941,3589748648123,1.6570282,-14.210907,22.835907
