Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538338772082,5399512649288,0.17349243,0.0041503906,0.1933899
android.sensor.gyroscope,1538338772088,5399532668819,0.24168396,-0.08746338,0.18486023
android.sensor.gyroscope,1538338772108,5399552657833,0.2757721,-0.20890808,0.12947083
android.sensor.gyroscope,1538338772128,5399572677364,0.26405334,-0.15670776,0.11135864
android.sensor.gyroscope,1538338772148,5399592696896,0.24700928,0.04888916,0.09112549
android.sensor.gyroscope,1538338772169,5399612716427,0.22782898,0.21188354,0.049575806
android.sensor.gyroscope,1538338772190,5399632705441,0.21824646,0.24383545,0.019744873
android.sensor.gyroscope,1538338772210,5399652724972,0.25872803,0.1298523,5.79834E-4
android.sensor.gyroscope,1538338772230,5399672744503,0.27789307,0.01373291,-0.0058135986
android.sensor.gyroscope,1538338772250,5399692764034,0.21824646,0.008407593,-0.0015563965
android.sensor.gyroscope,1538338772270,5399712753048,0.115982056,0.08404541,-0.010070801
android.sensor.gyroscope,1538338772290,5399732772579,0.039276123,0.10002136,-0.03883362
android.sensor.gyroscope,1538338772311,5399752792110,0.016906738,0.049957275,-0.051620483
android.sensor.gyroscope,1538338772331,5399772811642,0.02330017,-0.05870056,-0.049484253
android.sensor.gyroscope,1538338772350,5399792800655,0.012649536,-0.1758728,-0.023925781
android.sensor.gyroscope,1538338772370,5399812820187,-0.010787964,-0.30584717,-0.026062012
android.sensor.gyroscope,1538338772390,5399832839718,-0.04168701,-0.36442566,-0.1038208
android.sensor.gyroscope,1538338772410,5399852859249,-0.14181519,-0.37828064,-0.22419739
android.sensor.gyroscope,1538338772430,5399872878780,-0.30586243,-0.4773407,-0.32858276
android.sensor.gyroscope,1538338772450,5399892867794,-0.46032715,-0.7649689,-0.41914368
android.sensor.gyroscope,1538338772469,5399912887325,-0.60520935,-1.2454071,-0.56188965
android.sensor.gyroscope,1538338772490,5399932906857,-0.88856506,-1.656601,-0.729126
android.sensor.gyroscope,1538338772509,5399952926388,-1.2454376,-2.1444855,-0.90489197
android.sensor.gyroscope,1538338772530,5399972915401,-1.3871155,-3.235321,-1.2042389
android.sensor.gyroscope,1538338772550,5399992934933,-1.300827,-4.5019226,-1.6047821
android.sensor.gyroscope,1538338772570,5400012954464,-1.5660706,-4.766098,-2.0095825
android.sensor.gyroscope,1538338772589,5400032973995,-2.1786041,-4.076874,-2.2631073
android.sensor.gyroscope,1538338772609,5400052963009,-2.5205536,-3.4462433,-2.467636
android.sensor.gyroscope,1538338772630,5400072982540,-2.5684967,-3.5580902,-2.7254333
android.sensor.gyroscope,1538338772650,5400093002071,-2.4907227,-3.8105621,-2.848999
android.sensor.gyroscope,1538338772670,5400113021603,-2.3426514,-3.775406,-2.716919
android.sensor.gyroscope,1538338772689,5400133041134,-2.3256073,-3.5186768,-2.656189
android.sensor.gyroscope,1538338772710,5400153030148,-2.3320007,-2.9412994,-2.9320984
android.sensor.gyroscope,1538338772729,5400173049679,-2.1732788,-2.6515503,-3.2239838
android.sensor.gyroscope,1538338772749,5400193069210,-1.8920441,-3.0243988,-3.276184
android.sensor.gyroscope,1538338772769,5400213088741,-1.5991058,-3.6944427,-3.228241
android.sensor.gyroscope,1538338772789,5400233077755,-1.492569,-4.1993866,-3.2090607
android.sensor.gyroscope,1538338772810,5400253097286,-1.5927124,-4.2196198,-3.3305054
android.sensor.gyroscope,1538338772830,5400273116817,-1.635315,-3.8574371,-3.5542145
android.sensor.gyroscope,1538338772850,5400293136349,-1.3540955,-3.8904572,-3.7491608
android.sensor.gyroscope,1538338772870,5400313125362,-0.965271,-4.4699554,-3.7587433
android.sensor.gyroscope,1538338772890,5400333144894,-0.80015564,-5.036682,-3.500946
android.sensor.gyroscope,1538338772910,5400353164425,-0.9556732,-5.2188416,-3.1227722
android.sensor.gyroscope,1538338772930,5400373183956,-1.6129456,-4.9972687,-2.75206
android.sensor.gyroscope,1538338772950,5400393172970,-2.1253357,-4.921631,-2.4559174
android.sensor.gyroscope,1538338772970,5400413192501,-1.890976,-5.385025,-2.561386
android.sensor.gyroscope,1538338772990,5400433212032,-1.2156067,-5.2646484,-2.8245087
android.sensor.gyroscope,1538338773010,5400453231564,-0.9833832,-4.382614,-2.5326233
android.sensor.gyroscope,1538338773030,5400473251095,-1.1229248,-4.0694275,-1.6963959
android.sensor.gyroscope,1538338773050,5400493240108,-1.4137421,-4.179138,-1.0380554
android.sensor.gyroscope,1538338773070,5400513259640,-1.4041595,-4.4188232,-0.79623413
android.sensor.gyroscope,1538338773090,5400533279171,-1.3221283,-4.46463,-0.5576172
android.sensor.gyroscope,1538338773110,5400553298702,-1.0856476,-4.380478,-0.20289612
android.sensor.gyroscope,1538338773130,5400573287716,-1.1389008,-3.889389,-0.18157959
android.sensor.gyroscope,1538338773150,5400593307247,-0.8118744,-3.5101624,-0.1230011
android.sensor.gyroscope,1538338773170,5400613326778,-0.4134674,-3.2289276,0.08047485
android.sensor.gyroscope,1538338773191,5400633346310,-0.63822937,-2.4938965,0.6194916
android.sensor.gyroscope,1538338773211,5400653335323,-0.1663208,-2.4779205,1.3193817
android.sensor.gyroscope,1538338773230,5400673354855,1.4784546,-4.0854034,1.70607
android.sensor.gyroscope,1538338773251,5400693374386,2.5415802,-4.410309,1.8466797
android.sensor.gyroscope,1538338773271,5400713393917,1.6126709,-1.6651154,1.453598
android.sensor.gyroscope,1538338773290,5400733413448,1.6574097,-0.6925354,1.164917
android.sensor.gyroscope,1538338773310,5400753402462,3.3139038,-1.7322235,1.1436005
android.sensor.gyroscope,1538338773330,5400773421993,4.4697113,-1.228363,1.4663849
android.sensor.gyroscope,1538338773350,5400793441524,4.8105927,0.34823608,1.7998047
android.sensor.gyroscope,1538338773371,5400813461056,5.2803802,1.2686157,0.8762207
android.sensor.gyroscope,1538338773389,5400833450069,6.4276733,0.059539795,-0.79837036
android.sensor.gyroscope,1538338773410,5400853469601,7.1318054,0.06700134,-1.8572388
android.sensor.gyroscope,1538338773430,5400873489132,7.160568,2.6449432,-2.368576
android.sensor.gyroscope,1538338773450,5400893508663,7.096649,5.413559,-3.2197113
android.sensor.gyroscope,1538338773470,5400913497677,8.2322235,6.3744354,-3.16539
android.sensor.gyroscope,1538338773491,5400933517208,10.012283,6.5033264,-2.1970673
android.sensor.gyroscope,1538338773510,5400953536739,11.606979,6.79628,-1.8764191
android.sensor.gyroscope,1538338773530,5400973556271,13.131378,6.826111,-2.0266266
android.sensor.gyroscope,1538338773551,5400993545284,12.858673,8.143845,-2.4687042
android.sensor.gyroscope,1538338773571,5401013564816,12.377167,9.673553,-2.93956
android.sensor.gyroscope,1538338773590,5401033584347,12.334564,10.538559,-2.8394165
android.sensor.gyroscope,1538338773610,5401053603878,11.875427,10.740952,-1.9371338
android.sensor.gyroscope,1538338773631,5401073623409,10.694046,9.336929,-1.2106323
android.sensor.gyroscope,1538338773649,5401093612423,9.906815,5.892929,-0.79304504
android.sensor.gyroscope,1538338773673,5401113631954,9.111069,3.0305634,-0.48944092
android.sensor.gyroscope,1538338773690,5401133651485,7.6069183,1.7245483,-0.46281433
android.sensor.gyroscope,1538338773710,5401153671017,6.0633545,2.0100403,-0.49264526
android.sensor.gyroscope,1538338773731,5401173660030,5.036438,2.3786316,-0.4798584
android.sensor.gyroscope,1538338773750,5401193679562,4.097931,1.9461212,-0.5906372
