Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538339033708,5660779358977,0.014770508,0.15647888,-0.061203003
android.sensor.gyroscope,1538339033722,5660799378508,0.08401489,0.09576416,-0.0803833
android.sensor.gyroscope,1538339033733,5660819398039,0.17137146,0.0030822754,-0.07398987
android.sensor.gyroscope,1538339033753,5660839417571,0.21929932,-0.090652466,-0.0526886
android.sensor.gyroscope,1538339033773,5660859437102,0.1862793,-0.10664368,-0.020721436
android.sensor.gyroscope,1538339033793,5660879426116,0.13302612,-0.08213806,0.022949219
android.sensor.gyroscope,1538339033814,5660899445647,0.14579773,-0.090652466,0.05064392
android.sensor.gyroscope,1538339033835,5660919465178,0.14900208,-0.1481781,0.08154297
android.sensor.gyroscope,1538339033855,5660939484709,0.12023926,-0.18226624,0.09751892
android.sensor.gyroscope,1538339033874,5660959473723,0.037139893,-0.10983276,0.08792114
android.sensor.gyroscope,1538339033896,5660979493254,-1.373291E-4,-0.012893677,0.05064392
android.sensor.gyroscope,1538339033915,5660999512786,0.00944519,-0.0033111572,0.06555176
android.sensor.gyroscope,1538339033936,5661019532317,0.07975769,-0.08639526,0.086868286
android.sensor.gyroscope,1538339033956,5661039551848,0.2012024,-0.3399353,0.07833862
android.sensor.gyroscope,1538339033975,5661059540862,0.39613342,-0.8640442,0.054901123
android.sensor.gyroscope,1538339033995,5661079560393,0.5836334,-1.3679047,0.11349487
android.sensor.gyroscope,1538339034015,5661099579924,0.7082672,-1.8440857,0.24771118
android.sensor.gyroscope,1538339034036,5661119599455,0.706131,-2.4619293,0.16888428
android.sensor.gyroscope,1538339034056,5661139618987,0.6507416,-3.092575,0.13479614
android.sensor.gyroscope,1538339034076,5661159608000,0.8137207,-3.50589,0.33187866
android.sensor.gyroscope,1538339034095,5661179627532,1.4486237,-4.2941895,0.5225525
android.sensor.gyroscope,1538339034116,5661199647063,2.3668823,-5.463852,0.6759491
android.sensor.gyroscope,1538339034135,5661219666594,3.302185,-6.5919647,0.80911255
android.sensor.gyroscope,1538339034155,5661239655608,4.304596,-7.890518,0.48634338
android.sensor.gyroscope,1538339034175,5661259675139,5.1259155,-9.095337,-0.44151306
android.sensor.gyroscope,1538339034195,5661279694670,5.6851807,-9.800537,-1.4385986
android.sensor.gyroscope,1538339034215,5661299714202,5.9344482,-10.1723175,-2.3312836
android.sensor.gyroscope,1538339034236,5661319733733,5.2857056,-9.818649,-3.0514069
android.sensor.gyroscope,1538339034255,5661339722747,3.7623749,-8.450851,-3.1600647
