Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538339440752,6067829316629,1.1015778,7.9474335,7.043747
android.sensor.accelerometer,1538339440768,6067849305643,2.0999603,8.651337,6.1770477
android.sensor.accelerometer,1538339440788,6067869325174,3.7567444,8.88118,4.8243256
android.sensor.accelerometer,1538339440808,6067889344706,3.5388794,9.582672,3.3614655
android.sensor.accelerometer,1538339440828,6067909364237,1.1686096,9.807739,2.2026672
android.sensor.accelerometer,1538339440848,6067929383768,-0.16496277,9.254669,3.0693665
android.sensor.accelerometer,1538339440869,6067949372782,0.06488037,8.840469,4.9152985
android.sensor.accelerometer,1538339440890,6067969392313,0.05770874,9.55394,7.249649
android.sensor.accelerometer,1538339440908,6067989411844,1.3194427,9.43663,6.835449
android.sensor.accelerometer,1538339440929,6068009431375,3.273117,9.927444,5.6694794
android.sensor.accelerometer,1538339440949,6068029420389,1.9778595,9.719147,7.1203613
android.sensor.accelerometer,1538339440970,6068049439920,-0.14819336,11.620148,6.8498077
android.sensor.accelerometer,1538339440990,6068069459452,-2.2191772,11.170029,3.344696
android.sensor.accelerometer,1538339441009,6068089478983,-3.1577148,12.601761,1.4772186
android.sensor.accelerometer,1538339441029,6068109498514,-4.328476,12.237854,0.64164734
android.sensor.accelerometer,1538339441050,6068129487528,-3.3300934,11.629715,2.7844543
android.sensor.accelerometer,1538339441069,6068149507059,-1.9989166,11.09581,5.5593414
android.sensor.accelerometer,1538339441090,6068169526590,-1.8169556,10.154892,6.3063354
android.sensor.accelerometer,1538339441110,6068189546122,-2.7698517,9.407898,5.027832
android.sensor.accelerometer,1538339441130,6068209535135,-3.3923492,8.780624,2.6575623
android.sensor.accelerometer,1538339441150,6068229554666,-3.0355988,8.488525,-0.1197052
android.sensor.accelerometer,1538339441169,6068249574198,-2.4490204,8.522049,-2.2984314
android.sensor.accelerometer,1538339441189,6068269593729,-1.4003601,8.94342,-3.7469177
android.sensor.accelerometer,1538339441210,6068289613260,-1.4985352,9.371994,-6.2632294
android.sensor.accelerometer,1538339441230,6068309602274,-2.4442444,9.127777,-9.641449
android.sensor.accelerometer,1538339441250,6068329621805,-1.9486389,7.9354706,-11.628632
android.sensor.accelerometer,1538339441270,6068349641336,-0.5576019,6.613861,-10.6158905
android.sensor.accelerometer,1538339441290,6068369660868,0.19656372,4.806244,-8.628708
android.sensor.accelerometer,1538339441309,6068389649881,1.8365936,2.8741302,-6.8019257
android.sensor.accelerometer,1538339441330,6068409669413,3.6944885,1.1311493,-5.293579
android.sensor.accelerometer,1538339441350,6068429688944,6.047989,-0.121017456,-5.9998627
android.sensor.accelerometer,1538339441369,6068449708475,6.2562866,-1.6174011,-6.89769
android.sensor.accelerometer,1538339441389,6068469697489,4.719208,-2.7259064,-4.917694
android.sensor.accelerometer,1538339441410,6068489717020,2.5644379,-3.0922241,-1.0510559
android.sensor.accelerometer,1538339441429,6068509736551,0.16065979,-3.2310944,2.6144714
android.sensor.accelerometer,1538339441450,6068529756082,-2.7961884,-2.668457,4.0653534
android.sensor.accelerometer,1538339441470,6068549775614,-6.081024,-2.2638397,3.9719849
android.sensor.accelerometer,1538339441489,6068569764627,-8.705078,-1.1840515,5.762848
android.sensor.accelerometer,1538339441510,6068589784159,-11.2956085,0.1519165,7.261612
android.sensor.accelerometer,1538339441530,6068609803690,-13.373764,1.2245178,6.7061615
android.sensor.accelerometer,1538339441550,6068629823221,-13.835846,2.7209015,5.7843933
android.sensor.accelerometer,1538339441570,6068649812235,-15.392075,4.2029114,4.718979
android.sensor.accelerometer,1538339441589,6068669831766,-16.625092,5.0887604,3.1411896
android.sensor.accelerometer,1538339441610,6068689851297,-17.106323,4.8637085,2.62883
android.sensor.accelerometer,1538339441630,6068709870829,-14.616364,5.54126,3.5386353
android.sensor.accelerometer,1538339441650,6068729859842,-11.733734,5.9865875,2.4205475
android.sensor.accelerometer,1538339441670,6068749879374,-13.708954,4.9834137,-1.6208649
android.sensor.accelerometer,1538339441690,6068769898905,-16.57721,5.7639313,-5.798752
android.sensor.accelerometer,1538339441710,6068789918436,-15.363358,8.727951,-7.4268036
android.sensor.accelerometer,1538339441730,6068809937967,-11.669098,11.735062,-7.594406
android.sensor.accelerometer,1538339441750,6068829926981,-12.270035,11.981674,-8.279144
