Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538339144240,5771310990981,-0.0491333,-0.13327026,-0.14216614
android.sensor.gyroscope,1538339144245,5771331010513,0.008377075,-0.16629028,-0.088897705
android.sensor.gyroscope,1538339144265,5771351030044,0.07550049,-0.19398499,-0.034576416
android.sensor.gyroscope,1538339144285,5771371049575,0.088272095,-0.20463562,-0.016464233
android.sensor.gyroscope,1538339144305,5771391069106,0.07017517,-0.18333435,-0.020721436
android.sensor.gyroscope,1538339144325,5771411058120,0.055252075,-0.1524353,-0.042037964
android.sensor.gyroscope,1538339144347,5771431077651,0.048858643,-0.10876465,-0.04310608
android.sensor.gyroscope,1538339144366,5771451097183,0.06803894,-0.07041931,-0.036712646
android.sensor.gyroscope,1538339144388,5771471116714,0.092544556,-0.051239014,-0.051620483
android.sensor.gyroscope,1538339144407,5771491105728,0.09147644,-0.037399292,-0.03564453
android.sensor.gyroscope,1538339144427,5771511125259,0.088272095,-0.002243042,-0.02178955
android.sensor.gyroscope,1538339144446,5771531144790,0.102127075,0.014801025,-0.026062012
android.sensor.gyroscope,1538339144467,5771551164321,0.10531616,0.01373291,-0.03564453
android.sensor.gyroscope,1538339144487,5771571183853,0.115982056,-0.032073975,-0.0569458
android.sensor.gyroscope,1538339144507,5771591172866,0.12449646,-0.06188965,-0.065475464
android.sensor.gyroscope,1538339144527,5771611192398,0.09786987,-0.03845215,-0.07292175
android.sensor.gyroscope,1538339144547,5771631211929,0.07336426,-0.024612427,-0.09423828
android.sensor.gyroscope,1538339144567,5771651231460,0.07229614,-0.039520264,-0.11553955
android.sensor.gyroscope,1538339144587,5771671250991,0.06484985,-0.051239014,-0.14962769
android.sensor.gyroscope,1538339144607,5771691240005,0.02116394,-0.03100586,-0.20927429
android.sensor.gyroscope,1538339144625,5771711259536,-0.03955078,9.613037E-4,-0.26893616
android.sensor.gyroscope,1538339144646,5771731279067,-0.08216858,0.026519775,-0.31900024
android.sensor.gyroscope,1538339144666,5771751298599,-0.08428955,-0.017150879,-0.38505554
android.sensor.gyroscope,1538339144687,5771771318130,-0.07470703,-0.16096497,-0.4532318
android.sensor.gyroscope,1538339144707,5771791307144,-0.097076416,-0.32608032,-0.5341797
android.sensor.gyroscope,1538339144727,5771811326675,-0.10772705,-0.49012756,-0.63539124
android.sensor.gyroscope,1538339144747,5771831346206,0.012649536,-0.65312195,-0.7323303
android.sensor.gyroscope,1538339144767,5771851365737,0.18734741,-0.7234192,-0.7728119
android.sensor.gyroscope,1538339144787,5771871385269,0.29281616,-0.58387756,-0.8111572
android.sensor.gyroscope,1538339144807,5771891374282,0.31518555,-0.37828064,-0.8985138
android.sensor.gyroscope,1538339144827,5771911393814,0.36950684,-0.2685547,-0.98373413
android.sensor.gyroscope,1538339144846,5771931413345,0.5090637,-0.25257874,-1.0508423
android.sensor.gyroscope,1538339144867,5771951432876,0.6603241,-0.3857422,-1.1083679
android.sensor.gyroscope,1538339144887,5771971421890,0.6411438,-0.5955963,-1.2734833
android.sensor.gyroscope,1538339144906,5771991441421,0.5292969,-0.76283264,-1.5014496
android.sensor.gyroscope,1538339144927,5772011460952,0.66885376,-0.7436676,-1.6452637
android.sensor.gyroscope,1538339144947,5772031480483,0.95114136,-0.6488495,-1.6654968
android.sensor.gyroscope,1538339144967,5772051500015,1.022522,-0.55085754,-1.5451202
android.sensor.gyroscope,1538339144986,5772071489028,0.74235535,-0.2685547,-1.3608246
android.sensor.gyroscope,1538339145007,5772091508560,0.5484772,-0.04058838,-1.2457886
android.sensor.gyroscope,1538339145027,5772111528091,0.67204285,9.613037E-4,-1.2266083
android.sensor.gyroscope,1538339145047,5772131547622,0.9532776,-0.08958435,-1.1967773
android.sensor.gyroscope,1538339145067,5772151567153,1.1727142,-0.17800903,-1.0934448
android.sensor.gyroscope,1538339145087,5772171556167,1.0534058,0.06806946,-0.90489197
