Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538339536890,6163969970002,-0.41156006,7.435074,6.576874
android.sensor.accelerometer,1538339536909,6163989989533,-0.62464905,7.289032,7.03656
android.sensor.accelerometer,1538339536928,6164010009064,-0.818573,7.1334076,7.2041626
android.sensor.accelerometer,1538339536948,6164030028596,-0.6270447,7.24115,6.6989746
android.sensor.accelerometer,1538339536968,6164050017609,-0.5528259,7.324951,6.1794434
android.sensor.accelerometer,1538339536990,6164070037141,-0.32296753,7.490143,6.1842194
android.sensor.accelerometer,1538339537010,6164090056672,-0.25354004,7.4925385,6.3302765
android.sensor.accelerometer,1538339537030,6164110076203,-0.26072693,7.3967743,6.4451904
android.sensor.accelerometer,1538339537049,6164130095734,-0.38043213,7.2387543,6.703766
android.sensor.accelerometer,1538339537070,6164150084748,-0.5695801,7.174118,6.5529327
android.sensor.accelerometer,1538339537090,6164170104279,-0.56718445,7.075943,6.200989
android.sensor.accelerometer,1538339537111,6164190123811,-0.442688,7.020874,5.992691
android.sensor.accelerometer,1538339537131,6164210143342,-0.11468506,7.111862,5.8634033
android.sensor.accelerometer,1538339537151,6164230132355,0.62034607,7.39917,5.851425
android.sensor.accelerometer,1538339537171,6164250151887,0.8765259,7.6026764,5.3773804
android.sensor.accelerometer,1538339537191,6164270171418,0.8621521,7.719986,4.905716
android.sensor.accelerometer,1538339537211,6164290190949,1.2069244,7.980957,4.1730957
android.sensor.accelerometer,1538339537231,6164310179963,1.4415588,8.064758,3.454834
android.sensor.accelerometer,1538339537251,6164330199494,0.9962311,7.652954,4.26886
android.sensor.accelerometer,1538339537270,6164350219025,0.596405,7.2124176,5.7053833
android.sensor.accelerometer,1538339537290,6164370238557,0.82624817,7.3464966,5.6551056
android.sensor.accelerometer,1538339537310,6164390258088,1.0201721,7.921097,5.262451
android.sensor.accelerometer,1538339537330,6164410247102,1.1781921,8.744705,6.8498077
android.sensor.accelerometer,1538339537350,6164430266633,2.1406555,10.095032,9.92157
android.sensor.accelerometer,1538339537370,6164450286164,1.7097015,11.383118,12.1649475
android.sensor.accelerometer,1538339537390,6164470305695,2.7176666,11.469315,11.484985
android.sensor.accelerometer,1538339537410,6164490294709,4.1757355,10.418259,11.856094
android.sensor.accelerometer,1538339537431,6164510314240,4.221222,8.110245,14.767441
android.sensor.accelerometer,1538339537449,6164530333771,5.3345184,6.501343,18.325226
android.sensor.accelerometer,1538339537470,6164550353303,6.68486,5.6107025,19.893433
android.sensor.accelerometer,1538339537490,6164570372834,7.1062317,4.21727,18.75618
android.sensor.accelerometer,1538339537510,6164590361848,6.7782288,2.7209015,17.429794
android.sensor.accelerometer,1538339537531,6164610381379,6.0096893,1.6746216,17.03714
android.sensor.accelerometer,1538339537550,6164630400910,5.0304565,0.5852661,15.98848
android.sensor.accelerometer,1538339537570,6164650420441,4.01532,-0.16651917,14.676453
android.sensor.accelerometer,1538339537591,6164670409455,4.15419,-0.3388977,13.247116
android.sensor.accelerometer,1538339537610,6164690428986,4.3217773,-0.81773376,12.485764
android.sensor.accelerometer,1538339537631,6164710448518,4.0727844,-1.5719147,11.310211
android.sensor.accelerometer,1538339537650,6164730468049,3.498169,-2.067505,10.194519
android.sensor.accelerometer,1538339537670,6164750485597,2.8469543,-2.5679016,8.798691
android.sensor.accelerometer,1538339537690,6164770474611,2.7440033,-2.4434052,6.993469
android.sensor.accelerometer,1538339537711,6164790494142,2.8445587,-2.115387,6.22493
android.sensor.accelerometer,1538339537730,6164810513673,2.2675476,-2.2781982,4.3430786
android.sensor.accelerometer,1538339537751,6164830533204,1.719284,-2.012436,3.5984955
android.sensor.accelerometer,1538339537771,6164850522218,1.300293,-1.660492,2.379837
android.sensor.accelerometer,1538339537790,6164870541749,1.1494598,-1.6580963,1.1037292
android.sensor.accelerometer,1538339537810,6164890561281,1.1757965,-1.4043121,-0.01914978
android.sensor.accelerometer,1538339537831,6164910580812,1.1877594,-1.0882874,-1.6041107
android.sensor.accelerometer,1538339537850,6164930600343,1.4199982,-0.96377563,-2.0805511
android.sensor.accelerometer,1538339537870,6164950589357,1.858139,-0.6716919,-1.06781
android.sensor.accelerometer,1538339537890,6164970608888,2.4040222,-0.25509644,-3.406952
android.sensor.accelerometer,1538339537911,6164990628419,3.340149,0.53019714,-7.5800323
android.sensor.accelerometer,1538339537930,6165010647951,3.2587433,0.8821411,-9.832977
android.sensor.accelerometer,1538339537951,6165030667482,3.565216,1.2077637,-7.0820465
android.sensor.accelerometer,1538339537971,6165050656496,5.430298,2.0409393,-5.3941345
android.sensor.accelerometer,1538339537991,6165070676027,6.806961,3.0967865,-10.412384
android.sensor.accelerometer,1538339538011,6165090695558,4.5683746,3.2117004,-14.391541
android.sensor.accelerometer,1538339538031,6165110715089,3.905182,3.0249634,-11.987762
android.sensor.accelerometer,1538339538051,6165130704103,5.806183,3.0297546,-9.706085
android.sensor.accelerometer,1538339538070,6165150723634,7.0607452,3.056076,-13.091492
android.sensor.accelerometer,1538339538091,6165170743165,6.340088,3.190155,-15.334854
android.sensor.accelerometer,1538339538111,6165190762697,5.1453857,2.7975159,-14.839264
android.sensor.accelerometer,1538339538131,6165210751710,5.5045166,2.6921692,-15.2486725
android.sensor.accelerometer,1538339538151,6165230771242,5.2914276,2.9938354,-18.564636
android.sensor.accelerometer,1538339538171,6165250790773,3.5915375,2.6849823,-22.39058
android.sensor.accelerometer,1538339538191,6165270810304,1.8916626,2.8717346,-21.119247
android.sensor.accelerometer,1538339538211,6165290829835,1.8557434,2.3737335,-17.389084
android.sensor.accelerometer,1538339538231,6165310818849,2.3657074,2.1630402,-16.065094
android.sensor.accelerometer,1538339538251,6165330838380,2.751175,2.232483,-17.463303
android.sensor.accelerometer,1538339538271,6165350857912,2.8661041,2.1247406,-17.499222
android.sensor.accelerometer,1538339538291,6165370877443,2.6386566,1.5668945,-15.96933
android.sensor.accelerometer,1538339538311,6165390866456,3.3329773,1.0329895,-13.2686615
android.sensor.accelerometer,1538339538331,6165410885988,5.4518433,1.1933899,-10.960648
android.sensor.accelerometer,1538339538351,6165430905519,8.2434845,1.7799683,-8.789108
android.sensor.accelerometer,1538339538373,6165450925050,9.323257,1.9523621,-9.052475
android.sensor.accelerometer,1538339538390,6165470944581,7.9633636,0.7983551,-10.417175
android.sensor.accelerometer,1538339538412,6165490933595,6.8117523,-0.9254761,-9.181763
android.sensor.accelerometer,1538339538431,6165510953126,7.9992676,-1.9382172,-2.3702545
android.sensor.accelerometer,1538339538450,6165530972658,11.176376,-0.9398346,0.11253357
android.sensor.accelerometer,1538339538471,6165550992189,13.379044,0.123184204,-0.21069336
android.sensor.accelerometer,1538339538491,6165570981203,11.741409,0.21177673,0.57940674
android.sensor.accelerometer,1538339538512,6165591000734,9.378326,-0.4083252,2.3032227
android.sensor.accelerometer,1538339538531,6165611020265,9.052719,-0.64056396,4.5082855
android.sensor.accelerometer,1538339538553,6165631039796,10.843582,-0.025253296,4.4484253
android.sensor.accelerometer,1538339538571,6165651059328,13.161163,0.5828705,2.7365723
android.sensor.accelerometer,1538339538591,6165671048341,13.905762,0.032211304,4.1276093
android.sensor.accelerometer,1538339538611,6165691067872,14.23616,0.08248901,9.373306
android.sensor.accelerometer,1538339538631,6165711087404,13.606491,-0.082717896,11.762711
android.sensor.accelerometer,1538339538651,6165731106935,14.372635,-0.077926636,9.4379425
android.sensor.accelerometer,1538339538671,6165751095949,17.185822,1.4639435,7.029373
android.sensor.accelerometer,1538339538692,6165771115480,16.596848,1.0042572,11.025299
android.sensor.accelerometer,1538339538711,6165791135011,14.609665,-0.16651917,8.698135
android.sensor.accelerometer,1538339538730,6165811154542,14.346298,-0.116241455,2.130844
android.sensor.accelerometer,1538339538752,6165831174074,15.615219,0.42245483,1.0702057
android.sensor.accelerometer,1538339538771,6165851163087,16.481934,0.34584045,2.3511047
android.sensor.accelerometer,1538339538791,6165871182619,16.046188,-0.6142273,2.5043335
android.sensor.accelerometer,1538339538810,6165891202150,16.340668,-1.8496399,0.2849121
android.sensor.accelerometer,1538339538831,6165911221681,17.190613,-2.5679016,-2.7126312
android.sensor.accelerometer,1538339538851,6165931210695,17.96634,-2.1369476,-2.78685
android.sensor.accelerometer,1538339538871,6165951230226,20.010986,-1.3492432,-1.8986053
android.sensor.accelerometer,1538339538891,6165971249757,21.37088,-1.684433,-1.8554993
android.sensor.accelerometer,1538339538911,6165991269288,22.359695,-2.7881622,-3.7014313
android.sensor.accelerometer,1538339538931,6166011258302,23.832123,-2.6349335,-6.3350525
android.sensor.accelerometer,1538339538951,6166031277833,22.043655,-2.8480225,-10.065216
android.sensor.accelerometer,1538339538971,6166051297365,20.010986,-3.1712341,-8.820236
android.sensor.accelerometer,1538339538990,6166071316896,18.727692,-3.9637146,-4.364624
android.sensor.accelerometer,1538339539011,6166091336427,17.925629,-4.3827057,-3.7660828
android.sensor.accelerometer,1538339539031,6166111325441,18.418839,-3.7554169,-3.1795044
android.sensor.accelerometer,1538339539051,6166131344972,17.588043,-3.5806427,-1.8722687
android.sensor.accelerometer,1538339539071,6166151364503,15.6870575,-3.499237,-3.0502167
android.sensor.accelerometer,1538339539091,6166171384035,15.818741,-2.5774689,-4.8913574
android.sensor.accelerometer,1538339539111,6166191403566,14.920914,-2.3787537,-6.313507
android.sensor.accelerometer,1538339539131,6166211392579,14.616837,-1.8209076,-5.6263733
android.sensor.accelerometer,1538339539152,6166231412111,13.558609,-1.5551453,-3.1100616
android.sensor.accelerometer,1538339539170,6166251431642,12.4500885,-1.6748657,-0.8451538
android.sensor.accelerometer,1538339539191,6166271451173,10.450928,-1.9406128,0.41419983
android.sensor.accelerometer,1538339539211,6166291440187,8.372772,-1.9118805,0.9888153
android.sensor.accelerometer,1538339539231,6166311459718,5.945038,-1.9286499,1.4748383
android.sensor.accelerometer,1538339539251,6166331479249,3.9315186,-1.8256989,2.3295593
android.sensor.accelerometer,1538339539272,6166351498781,3.256363,-1.0092773,2.6216583
android.sensor.accelerometer,1538339539291,6166371487794,2.7918854,-0.97335815,3.344696
android.sensor.accelerometer,1538339539311,6166391507326,1.1470642,-0.4777527,5.779602
android.sensor.accelerometer,1538339539331,6166411526857,0.40246582,-0.025253296,6.1842194
android.sensor.accelerometer,1538339539351,6166431546388,-0.41156006,0.6977997,5.0589447
android.sensor.accelerometer,1538339539372,6166451565919,-0.70843506,1.5166168,4.2233734
android.sensor.accelerometer,1538339539392,6166471554933,-0.43310547,2.9746857,4.704605
android.sensor.accelerometer,1538339539412,6166491574464,-1.0843353,3.3074799,6.1219788
android.sensor.accelerometer,1538339539432,6166511593996,-1.8959656,3.2045288,7.0078278
android.sensor.accelerometer,1538339539451,6166531613527,-2.592682,2.8430023,6.87854
android.sensor.accelerometer,1538339539472,6166551602540,-3.6796417,3.0297546,5.8298798
android.sensor.accelerometer,1538339539492,6166571622072,-3.9549866,3.2643738,6.114792
