Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538339564883,6191947823318,0.1381073,-0.55007935,0.034973145
android.sensor.gyroscope,1538339564891,6191967812332,0.092300415,-0.5852356,-0.016159058
android.sensor.gyroscope,1538339564906,6191987831863,-0.013168335,-0.43502808,-0.12802124
android.sensor.gyroscope,1538339564926,6192007851394,-0.12501526,-0.12504578,-0.23454285
android.sensor.gyroscope,1538339564947,6192027870926,-0.15058899,0.10719299,-0.26437378
android.sensor.gyroscope,1538339564966,6192047890457,-0.08879089,0.18069458,-0.20896912
android.sensor.gyroscope,1538339564987,6192067879471,-0.027008057,0.05606079,-0.13439941
android.sensor.gyroscope,1538339565009,6192087899002,-0.014221191,-0.16125488,-0.08753967
android.sensor.gyroscope,1538339565028,6192107918533,-0.013168335,-0.26139832,-0.103515625
android.sensor.gyroscope,1538339565048,6192127938064,0.017730713,-0.20173645,-0.10244751
android.sensor.gyroscope,1538339565069,6192147957596,0.060333252,-0.12184143,-0.050247192
android.sensor.gyroscope,1538339565087,6192167946609,0.10508728,-0.13569641,-0.0119018555
android.sensor.gyroscope,1538339565108,6192187966140,0.10508728,-0.20280457,-0.018295288
android.sensor.gyroscope,1538339565128,6192207985672,0.082717896,-0.30825806,-0.05984497
android.sensor.gyroscope,1538339565147,6192228005203,0.045425415,-0.2880249,-0.10031128
android.sensor.gyroscope,1538339565168,6192247994217,0.0049438477,-0.12716675,-0.11630249
android.sensor.gyroscope,1538339565189,6192268013748,0.029449463,-0.11332703,-0.091796875
android.sensor.gyroscope,1538339565207,6192288033279,0.07525635,-0.45100403,-0.089660645
android.sensor.gyroscope,1538339565228,6192308052810,0.12106323,-0.97618103,-0.14186096
android.sensor.gyroscope,1538339565248,6192328041824,0.15301514,-1.4076233,-0.19087219
android.sensor.gyroscope,1538339565268,6192348061355,0.11680603,-1.5141449,-0.19087219
android.sensor.gyroscope,1538339565287,6192368080887,-3.8146973E-4,-1.4789886,-0.18659973
android.sensor.gyroscope,1538339565308,6192388100418,-0.1910553,-1.5865784,-0.2036438
android.sensor.gyroscope,1538339565329,6192408119949,-0.47868347,-1.9530334,-0.25265503
android.sensor.gyroscope,1538339565348,6192428108963,-0.8749695,-2.2672882,-0.3570404
android.sensor.gyroscope,1538339565368,6192448128494,-1.2105255,-2.487793,-0.42521667
android.sensor.gyroscope,1538339565388,6192468148025,-1.2808228,-2.3876648,-0.4742279
android.sensor.gyroscope,1538339565408,6192488167557,-1.1753693,-2.1937866,-0.5519867
android.sensor.gyroscope,1538339565429,6192508187088,-0.99320984,-2.5474548,-0.84173584
android.sensor.gyroscope,1538339565447,6192528176101,-1.1348877,-2.8350677,-1.1442719
android.sensor.gyroscope,1538339565468,6192548195633,-1.489624,-2.2310638,-1.352005
android.sensor.gyroscope,1538339565488,6192568215164,-1.3905487,-1.3138733,-1.4670563
android.sensor.gyroscope,1538339565508,6192588234695,-0.59480286,-1.151947,-1.5639954
android.sensor.gyroscope,1538339565528,6192608223709,0.16366577,-2.0979156,-1.6257782
android.sensor.gyroscope,1538339565548,6192628243240,0.38311768,-2.6827393,-1.6438904
android.sensor.gyroscope,1538339565568,6192648262771,0.32984924,-1.9999084,-1.5895538
android.sensor.gyroscope,1538339565589,6192668282303,0.48857117,-0.8930969,-1.5554657
android.sensor.gyroscope,1538339565608,6192688271316,0.70588684,-0.3934784,-1.3296356
android.sensor.gyroscope,1538339565628,6192708290848,0.80708313,-0.32957458,-1.0345612
android.sensor.gyroscope,1538339565648,6192728310379,0.8923187,-0.2603302,-0.86624146
android.sensor.gyroscope,1538339565668,6192748329910,0.87953186,0.19773865,-0.73628235
android.sensor.gyroscope,1538339565688,6192768349441,0.8251953,0.8507385,-0.42416382
android.sensor.gyroscope,1538339565708,6192788338455,0.8624878,1.2459564,-0.05770874
android.sensor.gyroscope,1538339565728,6192808357986,0.9200134,1.4302521,0.20327759
android.sensor.gyroscope,1538339565748,6192828377517,0.8113556,1.8233337,0.36306763
android.sensor.gyroscope,1538339565768,6192848397049,0.70695496,2.4454498,0.5761261
android.sensor.gyroscope,1538339565788,6192868386062,0.8571625,2.675537,0.8296509
android.sensor.gyroscope,1538339565808,6192888405594,1.1394501,2.3623505,0.9116821
android.sensor.gyroscope,1538339565828,6192908425125,1.4441223,1.6432953,0.750824
android.sensor.gyroscope,1538339565848,6192928444656,1.6838074,1.333313,0.5196686
android.sensor.gyroscope,1538339565868,6192948464187,1.7391968,1.6464996,0.5036926
android.sensor.gyroscope,1538339565889,6192968453201,1.567688,2.098175,0.7529602
android.sensor.gyroscope,1538339565908,6192988472732,1.3983154,2.3005676,1.0757294
android.sensor.gyroscope,1538339565928,6193008492264,1.4707489,2.2302551,1.2419128
android.sensor.gyroscope,1538339565948,6193028511795,1.504837,2.0129547,1.2536316
android.sensor.gyroscope,1538339565968,6193048531326,1.5612946,1.8457031,1.2142181
android.sensor.gyroscope,1538339565988,6193068520340,1.9810181,1.7530212,1.2067566
android.sensor.gyroscope,1538339566008,6193088539871,2.4220276,1.9596863,1.2557678
