Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538339492486,6119561848856,-1.086731,9.5204315,2.4564514
android.sensor.accelerometer,1538339492500,6119581868387,-0.9167328,9.35762,2.2792816
android.sensor.accelerometer,1538339492520,6119601887918,-0.61027527,9.319321,2.324768
android.sensor.accelerometer,1538339492540,6119621907449,-0.229599,9.257065,2.525879
android.sensor.accelerometer,1538339492560,6119641896463,-0.04046631,9.201996,2.6384125
android.sensor.accelerometer,1538339492580,6119661915994,-0.12664795,9.13736,2.683899
android.sensor.accelerometer,1538339492603,6119681935526,-0.21763611,9.125381,2.5498352
android.sensor.accelerometer,1538339492622,6119701955057,-0.17453003,9.266647,2.3128052
android.sensor.accelerometer,1538339492642,6119721974588,-0.17692566,9.513245,2.252945
android.sensor.accelerometer,1538339492662,6119741963602,-0.5001526,9.67366,1.9991608
android.sensor.accelerometer,1538339492682,6119761983133,-0.818573,9.707169,1.3048401
android.sensor.accelerometer,1538339492702,6119782002664,-0.5145111,9.683228,0.8595276
android.sensor.accelerometer,1538339492722,6119802022196,0.014602661,9.6138,1.0223236
android.sensor.accelerometer,1538339492742,6119822011209,0.06967163,9.563522,1.4029999
android.sensor.accelerometer,1538339492761,6119842030740,-0.11468506,9.565918,1.493988
android.sensor.accelerometer,1538339492781,6119862050272,-0.08595276,9.5802765,1.446106
android.sensor.accelerometer,1538339492802,6119882069803,0.0385437,9.642532,1.446106
android.sensor.accelerometer,1538339492822,6119902089334,-0.20326233,10.061523,1.7046814
android.sensor.accelerometer,1538339492842,6119922078348,-1.1274261,11.079056,2.1260529
android.sensor.accelerometer,1538339492862,6119942097879,-2.6429596,12.395859,1.6352386
android.sensor.accelerometer,1538339492881,6119962117410,-3.8616028,13.305664,-0.2753296
android.sensor.accelerometer,1538339492902,6119982136942,-5.1879883,13.868301,-1.8411407
android.sensor.accelerometer,1538339492923,6120002125955,-5.221512,14.055054,-2.434906
android.sensor.accelerometer,1538339492942,6120022145487,-4.4601593,13.885056,-2.2816772
android.sensor.accelerometer,1538339492962,6120042165018,-4.072296,13.214676,-1.1324615
android.sensor.accelerometer,1538339492982,6120062184549,-4.1417236,11.804504,1.4293365
android.sensor.accelerometer,1538339493003,6120082204080,-3.4689636,10.590637,3.794815
android.sensor.accelerometer,1538339493022,6120102193094,-1.704422,9.96814,2.8874054
android.sensor.accelerometer,1538339493042,6120122212625,-0.10270691,9.132568,0.6201019
android.sensor.accelerometer,1538339493062,6120142232156,1.5876007,8.598663,1.7357941
android.sensor.accelerometer,1538339493083,6120162251688,2.308258,8.158127,2.363083
android.sensor.accelerometer,1538339493113,6120182240701,1.7815247,7.5906982,2.5737762
android.sensor.accelerometer,1538339493121,6120202260233,2.5452728,7.2746735,4.1491547
android.sensor.accelerometer,1538339493142,6120222279764,2.7176666,7.1501617,4.4220886
android.sensor.accelerometer,1538339493163,6120242299295,1.0776367,7.24115,4.2904053
android.sensor.accelerometer,1538339493183,6120262288309,0.14389038,7.336914,3.4692078
android.sensor.accelerometer,1538339493202,6120282307840,-0.605484,7.1812897,2.7222137
android.sensor.accelerometer,1538339493223,6120302327371,-0.10031128,6.8054047,4.2042236
android.sensor.accelerometer,1538339493242,6120322346903,0.20614624,6.5444336,6.7731934
android.sensor.accelerometer,1538339493262,6120342366434,0.8836975,6.3744507,7.4842834
android.sensor.accelerometer,1538339493281,6120362355447,2.4207764,6.3576813,7.2592163
android.sensor.accelerometer,1538339493302,6120382374979,4.1134796,6.178116,7.1730347
android.sensor.accelerometer,1538339493324,6120402394510,4.874832,6.1374207,7.539337
android.sensor.accelerometer,1538339493342,6120422414041,4.810196,6.4414825,8.331833
android.sensor.accelerometer,1538339493363,6120442403055,4.9945526,6.8317413,9.402039
android.sensor.accelerometer,1538339493383,6120462422586,4.360077,7.0256653,10.012558
