Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538339473715,6100790047639,-0.34446716,-1.0880432,-0.17276001
android.sensor.gyroscope,1538339473728,6100810067171,-0.77163696,-1.149826,-0.28353882
android.sensor.gyroscope,1538339473748,6100830056184,-1.249939,-1.8379822,-0.43693542
android.sensor.gyroscope,1538339473769,6100850075715,-1.5418243,-2.3716888,-0.5391998
android.sensor.gyroscope,1538339473788,6100870095247,-1.3500671,-1.8251953,-0.63401794
android.sensor.gyroscope,1538339473811,6100890114778,-0.9261017,-0.89416504,-0.61376953
android.sensor.gyroscope,1538339473830,6100910103792,-0.60331726,-0.27311707,-0.44865417
android.sensor.gyroscope,1538339473851,6100930123323,-0.50105286,0.039016724,-0.25904846
android.sensor.gyroscope,1538339473869,6100950142854,-0.46696472,0.17323303,-0.07901001
android.sensor.gyroscope,1538339473890,6100970162385,-0.3391266,0.31278992,0.04562378
android.sensor.gyroscope,1538339473910,6100990151399,-0.12182617,0.4182434,0.11273193
android.sensor.gyroscope,1538339473930,6101010170930,0.07951355,0.32344055,0.13937378
android.sensor.gyroscope,1538339473950,6101030190462,0.19456482,-0.009994507,0.105285645
android.sensor.gyroscope,1538339473970,6101050209993,0.2669983,-0.36366272,0.11061096
android.sensor.gyroscope,1538339473991,6101070229524,0.32666016,-0.37431335,0.18623352
android.sensor.gyroscope,1538339474012,6101090218538,0.4076233,-0.1857605,0.27998352
android.sensor.gyroscope,1538339474030,6101110238069,0.4917755,-0.05899048,0.3247223
android.sensor.gyroscope,1538339474051,6101130257600,0.53970337,-0.08988953,0.30448914
android.sensor.gyroscope,1538339474070,6101150277132,0.56741333,-0.29760742,0.2693329
android.sensor.gyroscope,1538339474090,6101170296663,0.62387085,-0.47657776,0.2597351
android.sensor.gyroscope,1538339474110,6101190285676,0.68351746,-0.4329071,0.270401
android.sensor.gyroscope,1538339474129,6101210305208,0.72613525,-0.3668518,0.305542
android.sensor.gyroscope,1538339474149,6101230324739,0.833725,-0.62997437,0.3439026
android.sensor.gyroscope,1538339474170,6101250344270,0.9455719,-1.0507507,0.4696045
android.sensor.gyroscope,1538339474190,6101270333284,1.0276031,-1.2062836,0.701828
android.sensor.gyroscope,1538339474210,6101290352815,0.9168091,-0.59588623,0.9276581
android.sensor.gyroscope,1538339474230,6101310372346,0.22758484,0.30426025,0.8456421
android.sensor.gyroscope,1538339474250,6101330391878,-0.55644226,-0.37963867,0.24589539
android.sensor.gyroscope,1538339474270,6101350380891,-0.7300873,-1.5823212,-0.05770874
android.sensor.gyroscope,1538339474290,6101370400423,-0.41583252,-2.3482513,-0.18873596
