Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538339612729,6239518358145,-1.6972504,4.6697693,7.826645
android.sensor.accelerometer,1538339612746,6239538347159,-2.2144012,4.952286,8.032547
android.sensor.accelerometer,1538339612769,6239558366690,-3.2319336,4.9067993,8.51857
android.sensor.accelerometer,1538339612787,6239578386221,-4.584656,5.2084656,6.356613
android.sensor.accelerometer,1538339612806,6239598405753,-5.389099,5.7926636,4.316742
android.sensor.accelerometer,1538339612826,6239618425284,-5.4968414,5.9554596,4.4125214
android.sensor.accelerometer,1538339612847,6239638414298,-5.0946198,5.8884277,6.952759
android.sensor.accelerometer,1538339612867,6239658433829,-4.261444,5.68013,8.841797
android.sensor.accelerometer,1538339612887,6239678453360,-3.7754211,5.7926636,8.530548
android.sensor.accelerometer,1538339612910,6239698472891,-3.9382172,6.000946,5.88974
android.sensor.accelerometer,1538339612928,6239718492423,-4.0028687,6.249954,4.213791
android.sensor.accelerometer,1538339612947,6239738481436,-3.7442932,6.09433,4.82193
android.sensor.accelerometer,1538339612968,6239758500968,-3.6197968,5.672943,5.7843933
android.sensor.accelerometer,1538339612988,6239778520499,-3.9717407,6.237976,7.388504
android.sensor.accelerometer,1538339613010,6239798540030,-4.687607,5.965042,7.1730347
android.sensor.accelerometer,1538339613029,6239818529044,-5.1089783,6.067993,6.6271515
android.sensor.accelerometer,1538339613047,6239838548575,-9.468826,6.1326294,9.746796
android.sensor.accelerometer,1538339613067,6239858568106,-14.915634,5.9267273,15.203186
android.sensor.accelerometer,1538339613087,6239878587637,-16.50299,5.4407043,19.689926
android.sensor.accelerometer,1538339613107,6239898607169,-15.442352,5.158188,21.382614
android.sensor.accelerometer,1538339613126,6239918596182,-9.418549,4.087982,19.34755
android.sensor.accelerometer,1538339613146,6239938615714,-3.0020905,2.522171,16.311707
android.sensor.accelerometer,1538339613167,6239958635245,-1.268692,-0.6621094,11.214447
android.sensor.accelerometer,1538339613186,6239978654776,-0.30142212,-4.6795807,3.5553894
android.sensor.accelerometer,1538339613207,6239998643790,7.237915,-9.005905,-2.4636383
android.sensor.accelerometer,1538339613228,6240018663321,22.606293,-10.557343,-14.185638
android.sensor.accelerometer,1538339613247,6240038682852,30.397034,-7.804016,-20.882233
android.sensor.accelerometer,1538339613267,6240058702384,29.939743,-6.4848175,-20.760117
android.sensor.accelerometer,1538339613288,6240078721915,28.716293,-7.4305267,-15.049942
android.sensor.accelerometer,1538339613308,6240098710928,23.714813,-10.095261,-9.72525
android.sensor.accelerometer,1538339613327,6240118730460,15.1818695,-13.250824,-11.829742
android.sensor.accelerometer,1538339613348,6240138749991,-5.65007,-20.196411,-9.885651
android.sensor.accelerometer,1538339613368,6240158769522,-43.28932,-25.736588,14.001297
android.sensor.accelerometer,1538339613389,6240178789053,-49.2054,-16.21724,58.701035
android.sensor.accelerometer,1538339613408,6240198778067,-34.0477,-8.29483,63.487045
android.sensor.accelerometer,1538339613428,6240218797598,-25.363937,-5.68515,33.221954
android.sensor.accelerometer,1538339613448,6240238817130,-15.459122,-2.6421204,16.773788
android.sensor.accelerometer,1538339613468,6240258836661,-8.065826,-1.9813232,8.671799
android.sensor.accelerometer,1538339613488,6240278825675,-2.8368835,-5.065048,2.8515015
android.sensor.accelerometer,1538339613508,6240298845206,13.769302,-8.912537,-9.416397
android.sensor.accelerometer,1538339613528,6240318864737,38.142273,-2.4529724,-34.775772
android.sensor.accelerometer,1538339613548,6240338884268,38.391266,-1.0260315,-41.357437
android.sensor.accelerometer,1538339613568,6240358903800,25.091476,-6.944504,-22.09848
android.sensor.accelerometer,1538339613588,6240378892813,9.440582,-8.898163,-3.5218658
android.sensor.accelerometer,1538339613608,6240398912344,-19.56517,-10.933243,10.697296
android.sensor.accelerometer,1538339613628,6240418931876,-48.671494,-7.555023,38.218643
android.sensor.accelerometer,1538339613648,6240438951407,-38.673294,-2.613388,57.6476
android.sensor.accelerometer,1538339613668,6240458940421,-17.90599,-1.624588,37.150833
android.sensor.accelerometer,1538339613688,6240478959952,-12.270035,0.5900574,11.971008
android.sensor.accelerometer,1538339613708,6240498979483,-7.831192,2.5437317,2.6455994
android.sensor.accelerometer,1538339613728,6240518999014,-1.4650116,1.9739075,-6.3709717
android.sensor.accelerometer,1538339613749,6240539018546,11.1093445,-0.21200562,-15.51442
android.sensor.accelerometer,1538339613769,6240559007559,27.009232,-2.4769135,-25.67302
android.sensor.accelerometer,1538339613790,6240579027091,35.195007,-2.2327118,-30.53804
android.sensor.accelerometer,1538339613808,6240599046622,28.23027,-5.376297,-22.687454
android.sensor.accelerometer,1538339613828,6240619066153,13.132446,-8.716202,-12.624619
android.sensor.accelerometer,1538339613849,6240639055167,-7.218277,-13.111954,-4.8219147
