Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538339584723,6211800474450,-0.19425964,-0.26245117,-0.14079285
android.sensor.gyroscope,1538339584739,6211820493981,-0.2379303,-0.33169556,-0.11735535
android.sensor.gyroscope,1538339584759,6211840513513,-0.26457214,-0.42118835,-0.12055969
android.sensor.gyroscope,1538339584779,6211860533044,-0.265625,-0.60440063,-0.19299316
android.sensor.gyroscope,1538339584799,6211880522057,-0.24964905,-0.7439575,-0.28353882
android.sensor.gyroscope,1538339584821,6211900541589,-0.22727966,-0.75460815,-0.3165741
android.sensor.gyroscope,1538339584840,6211920561120,-0.19532776,-0.78230286,-0.33573914
android.sensor.gyroscope,1538339584860,6211940580651,-0.21876526,-0.990036,-0.39007568
android.sensor.gyroscope,1538339584880,6211960600182,-0.30503845,-1.1711273,-0.44226074
android.sensor.gyroscope,1538339584900,6211980589196,-0.31143188,-0.992157,-0.3943329
android.sensor.gyroscope,1538339584920,6212000608727,-0.22727966,-0.69815063,-0.30697632
android.sensor.gyroscope,1538339584941,6212020628259,-0.10583496,-0.417984,-0.21324158
android.sensor.gyroscope,1538339584961,6212040647790,-0.015289307,-0.22943115,-0.16529846
android.sensor.gyroscope,1538339584980,6212060636804,0.041168213,-0.08135986,-0.13227844
android.sensor.gyroscope,1538339585000,6212080656335,0.03691101,0.14872742,-0.061965942
android.sensor.gyroscope,1538339585020,6212100675866,0.033706665,0.45126343,0.028579712
android.sensor.gyroscope,1538339585041,6212120695397,0.06460571,0.64302063,0.041366577
android.sensor.gyroscope,1538339585060,6212140714929,0.27871704,1.0904236,0.095687866
android.sensor.gyroscope,1538339585080,6212160703942,1.1959076,2.2462463,0.7785187
android.sensor.gyroscope,1538339585100,6212180723473,3.830307,3.1463928,2.4467316
android.sensor.gyroscope,1538339585121,6212200743005,6.4178314,2.8459778,3.9391632
android.sensor.gyroscope,1538339585141,6212220762536,7.575775,2.562622,5.1407776
android.sensor.gyroscope,1538339585161,6212240751550,8.229858,1.875534,6.193268
android.sensor.gyroscope,1538339585180,6212260771081,8.657028,1.7285156,7.104065
android.sensor.gyroscope,1538339585200,6212280790612,8.610153,2.339981,7.106201
android.sensor.gyroscope,1538339585220,6212300810143,7.633301,2.6265411,6.3988647
android.sensor.gyroscope,1538339585240,6212320829675,5.30571,2.383667,4.986313
android.sensor.gyroscope,1538339585260,6212340818688,2.348526,1.8350525,2.8174438
android.sensor.gyroscope,1538339585280,6212360838220,-0.18572998,1.2406311,-0.16636658
android.sensor.gyroscope,1538339585300,6212380857751,-1.8858948,1.0361023,-3.6348724
android.sensor.gyroscope,1538339585320,6212400877282,-3.2462463,1.0105286,-6.578186
android.sensor.gyroscope,1538339585341,6212420866296,-4.911255,1.2832489,-7.9076385
android.sensor.gyroscope,1538339585361,6212440885827,-6.4484253,1.5868378,-7.1097565
android.sensor.gyroscope,1538339585380,6212460905358,-5.141342,3.2816772,-5.621582
android.sensor.gyroscope,1538339585401,6212480924889,-1.3031921,2.8193512,-3.1086273
android.sensor.gyroscope,1538339585421,6212500944421,0.7879181,-0.33276367,0.70822144
android.sensor.gyroscope,1538339585441,6212520933434,1.8595734,-2.5421295,2.9921417
android.sensor.gyroscope,1538339585461,6212540952966,2.7043304,-2.215088,3.5950775
android.sensor.gyroscope,1538339585481,6212560972497,3.528839,-1.1263885,4.3066864
android.sensor.gyroscope,1538339585501,6212580992028,4.8082275,-0.6118622,5.432663
