Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538338822929,5450364424178,0.29951477,4.8253937,7.570465
android.sensor.accelerometer,1538338822945,5450384413192,0.24923706,4.782303,7.3430176
android.sensor.accelerometer,1538338822960,5450404432723,0.49822998,4.916382,7.778763
android.sensor.accelerometer,1538338822980,5450424452254,0.35697937,4.8253937,7.912842
android.sensor.accelerometer,1538338823000,5450444471786,0.26838684,4.813431,7.6949615
android.sensor.accelerometer,1538338823020,5450464460799,0.49345398,5.050461,7.850586
android.sensor.accelerometer,1538338823042,5450484480331,0.43119812,5.076782,7.8673553
android.sensor.accelerometer,1538338823062,5450504499862,0.24684143,5.036087,8.224091
android.sensor.accelerometer,1538338823082,5450524519393,-0.11708069,4.8397675,8.429993
android.sensor.accelerometer,1538338823102,5450544538924,-0.2583313,4.6865387,8.789124
android.sensor.accelerometer,1538338823122,5450564527938,-0.18890381,4.7128754,9.07164
android.sensor.accelerometer,1538338823141,5450584547469,0.14389038,5.091156,8.7556
android.sensor.accelerometer,1538338823162,5450604567000,0.35458374,5.3664856,8.489838
android.sensor.accelerometer,1538338823182,5450624586532,0.1822052,5.26593,8.283936
android.sensor.accelerometer,1538338823202,5450644575545,0.04812622,5.0696106,8.501816
android.sensor.accelerometer,1538338823221,5450664595077,0.05770874,4.890045,9.097977
android.sensor.accelerometer,1538338823242,5450684614608,-0.02848816,4.700897,8.918411
android.sensor.accelerometer,1538338823262,5450704634139,0.04573059,4.727234,8.506607
android.sensor.accelerometer,1538338823282,5450724653670,0.28755188,4.739212,8.269577
android.sensor.accelerometer,1538338823301,5450744642684,0.5149994,4.7416077,7.7811584
android.sensor.accelerometer,1538338823322,5450764662215,0.31388855,4.234024,7.3118896
android.sensor.accelerometer,1538338823342,5450784681747,0.97468567,3.8198395,6.485901
android.sensor.accelerometer,1538338823361,5450804701278,0.05291748,4.0137634,5.6383514
android.sensor.accelerometer,1538338823382,5450824690291,0.62991333,3.6833649,5.312744
android.sensor.accelerometer,1538338823402,5450844709823,0.83102417,2.9387665,6.1363373
android.sensor.accelerometer,1538338823422,5450864729354,1.4918365,2.6538544,7.5680695
android.sensor.accelerometer,1538338823442,5450884748885,2.6075287,1.8565826,6.969528
android.sensor.accelerometer,1538338823462,5450904737899,2.6338654,1.6865997,5.8203125
android.sensor.accelerometer,1538338823482,5450924757430,2.9115906,1.4256287,3.9863434
android.sensor.accelerometer,1538338823502,5450944776961,3.1917114,1.1143799,2.0781708
android.sensor.accelerometer,1538338823522,5450964796493,4.0225067,0.21417236,1.154007
android.sensor.accelerometer,1538338823542,5450984816024,4.6617584,-0.9853363,1.5825653
android.sensor.accelerometer,1538338823562,5451004805038,5.466202,-2.0172272,1.711853
android.sensor.accelerometer,1538338823582,5451024824569,6.237137,-2.9509735,0.39744568
android.sensor.accelerometer,1538338823602,5451044844100,9.311295,-3.6117706,-0.7014923
android.sensor.accelerometer,1538338823621,5451064863631,13.369461,-5.3786926,0.34716797
android.sensor.accelerometer,1538338823642,5451084852645,15.845062,-8.055405,3.0621796
android.sensor.accelerometer,1538338823661,5451104872176,15.359039,-10.76564,5.851425
android.sensor.accelerometer,1538338823681,5451124891708,14.817963,-12.252441,7.436386
android.sensor.accelerometer,1538338823702,5451144911239,15.373413,-12.83902,7.613571
android.sensor.accelerometer,1538338823722,5451164930770,14.518677,-13.267578,8.839401
android.sensor.accelerometer,1538338823741,5451184919784,12.799652,-12.93718,10.338165
