Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538338830622,5458049249580,0.1862793,0.055282593,-0.0761261
android.sensor.gyroscope,1538338830631,5458069238594,0.37908936,-0.11515808,-0.06333923
android.sensor.gyroscope,1538338830645,5458089258125,0.49201965,-0.18333435,0.014419556
android.sensor.gyroscope,1538338830665,5458109277656,0.530365,-0.2142334,0.043182373
android.sensor.gyroscope,1538338830685,5458129297187,0.4877472,-0.23127747,0.0016479492
android.sensor.gyroscope,1538338830705,5458149286201,0.41105652,-0.19824219,-0.06333923
android.sensor.gyroscope,1538338830727,5458169305732,0.43981934,-0.15138245,-0.06866455
android.sensor.gyroscope,1538338830746,5458189325264,0.52290344,-0.1631012,-0.03138733
android.sensor.gyroscope,1538338830766,5458209344795,0.49839783,-0.2504425,-0.046295166
android.sensor.gyroscope,1538338830786,5458229364326,0.35671997,-0.22167969,-0.17092896
android.sensor.gyroscope,1538338830807,5458249353340,0.17349243,-0.102371216,-0.28598022
android.sensor.gyroscope,1538338830827,5458269372871,0.041412354,-0.0033111572,-0.31367493
android.sensor.gyroscope,1538338830847,5458289392402,0.010513306,-0.025680542,-0.27319336
android.sensor.gyroscope,1538338830867,5458309411933,-0.008666992,-0.15138245,-0.18051147
android.sensor.gyroscope,1538338830886,5458329431465,-0.17378235,-0.17694092,-0.03883362
android.sensor.gyroscope,1538338830906,5458349420478,-0.35806274,-0.21742249,0.04425049
android.sensor.gyroscope,1538338830929,5458369440010,-0.38363647,-0.40278625,0.029342651
android.sensor.gyroscope,1538338830946,5458389459541,-0.45713806,-0.62008667,-0.03883362
android.sensor.gyroscope,1538338830967,5458409479072,-0.7969513,-0.7415314,-0.077194214
android.sensor.gyroscope,1538338830987,5458429468086,-1.3583527,-0.8086395,-0.030319214
android.sensor.gyroscope,1538338831006,5458449487617,-1.9868622,-1.0611115,0.0069732666
android.sensor.gyroscope,1538338831026,5458469507148,-2.5706177,-1.6384888,-0.0761261
android.sensor.gyroscope,1538338831046,5458489526680,-2.9956665,-2.341568,-0.32539368
android.sensor.gyroscope,1538338831067,5458509515693,-3.3141785,-2.8976288,-0.5906372
android.sensor.gyroscope,1538338831086,5458529535224,-3.7285614,-3.1149445,-0.66947937
android.sensor.gyroscope,1538338831107,5458549554756,-4.2569427,-3.060608,-0.5640106
android.sensor.gyroscope,1538338831127,5458569574287,-4.7821045,-2.95195,-0.4521637
android.sensor.gyroscope,1538338831147,5458589593818,-5.158142,-2.7985535,-0.457489
android.sensor.gyroscope,1538338831168,5458609582832,-5.3392487,-2.7484894,-0.5853119
android.sensor.gyroscope,1538338831186,5458629602363,-5.205017,-3.0542297,-0.6577606
android.sensor.gyroscope,1538338831207,5458649621894,-4.9877014,-3.4259949,-0.7035675
android.sensor.gyroscope,1538338831226,5458669641426,-4.867325,-3.2875214,-0.81648254
android.sensor.gyroscope,1538338831246,5458689630439,-4.8268585,-2.6590118,-0.7312622
android.sensor.gyroscope,1538338831267,5458709649971,-4.789566,-2.135971,-0.66947937
android.sensor.gyroscope,1538338831288,5458729669502,-4.7501526,-1.959137,-0.8505707
android.sensor.gyroscope,1538338831307,5458749689033,-5.10701,-1.8451538,-1.1179504
android.sensor.gyroscope,1538338831327,5458769678047,-5.1016846,-1.5649872,-1.144577
android.sensor.gyroscope,1538338831347,5458789697578,-4.0662537,-1.6768341,-0.99864197
android.sensor.gyroscope,1538338831367,5458809717109,-3.1938019,-2.108261,-0.8516388
android.sensor.gyroscope,1538338831387,5458829736640,-3.1053772,-2.456604,-0.8079529
android.sensor.gyroscope,1538338831407,5458849756172,-3.6241608,-2.2989502,-0.90489197
android.sensor.gyroscope,1538338831427,5458869745185,-4.0662537,-1.7034607,-0.84736633
android.sensor.gyroscope,1538338831446,5458889764717,-4.053467,-1.2017212,-0.7397766
android.sensor.gyroscope,1538338831467,5458909784248,-3.7210999,-1.0941315,-0.67266846
android.sensor.gyroscope,1538338831487,5458929803779,-3.3663788,-1.3061218,-0.7355194
android.sensor.gyroscope,1538338831507,5458949792793,-3.32164,-1.5873566,-0.8335266
android.sensor.gyroscope,1538338831529,5458969812324,-3.3663788,-1.9889526,-0.5799866
android.sensor.gyroscope,1538338831546,5458989831855,-3.0808868,-2.487503,-0.0526886
android.sensor.gyroscope,1538338831567,5459009851387,-2.3746185,-2.6121368,0.3276062
android.sensor.gyroscope,1538338831587,5459029870918,-1.6704712,-2.358612,0.45118713
android.sensor.gyroscope,1538338831607,5459049859931,-1.4680786,-1.9080048,0.38726807
android.sensor.gyroscope,1538338831626,5459069879463,-1.5831146,-1.6619263,0.41177368
android.sensor.gyroscope,1538338831646,5459089898994,-1.572464,-1.9218445,0.43093872
android.sensor.gyroscope,1538338831666,5459109918525,-0.9929657,-2.6036224,0.31269836
android.sensor.gyroscope,1538338831687,5459129907539,0.10958862,-3.520813,0.30418396
android.sensor.gyroscope,1538338831708,5459149927070,0.8925476,-4.4188232,0.73028564
android.sensor.gyroscope,1538338831727,5459169946601,0.7892151,-4.430542,1.1862183
android.sensor.gyroscope,1538338831747,5459189966133,1.0193176,-3.873413,1.5249634
android.sensor.gyroscope,1538338831767,5459209955146,2.0845795,-3.2534332,1.9734497
android.sensor.gyroscope,1538338831787,5459229974678,2.5437164,-2.0347595,1.9542694
android.sensor.gyroscope,1538338831807,5459249994209,2.5192108,-1.3860168,1.2128448
android.sensor.gyroscope,1538338831844,5459270013740,2.8920593,-1.1921387,-0.3733368
android.sensor.gyroscope,1538338831846,5459290033271,3.4555817,-0.16096497,-1.6239471
android.sensor.gyroscope,1538338831867,5459310022285,4.829773,1.5338745,-1.5376587
android.sensor.gyroscope,1538338831887,5459330041816,6.83992,2.5362854,-0.9091644
android.sensor.gyroscope,1538338831906,5459350061347,8.937424,2.260376,-0.34136963
android.sensor.gyroscope,1538338831928,5459370080879,9.457275,2.5043335,0.073013306
android.sensor.gyroscope,1538338831948,5459390100410,9.483917,2.0771637,-0.20289612
android.sensor.gyroscope,1538338831967,5459410089424,9.930252,0.02545166,-1.4716187
android.sensor.gyroscope,1538338831987,5459430108955,9.873795,-0.96417236,-2.4900055
android.sensor.gyroscope,1538338832008,5459450128486,9.078049,0.17991638,-2.608261
android.sensor.gyroscope,1538338832029,5459470148017,8.101196,2.800476,-2.481491
android.sensor.gyroscope,1538338832048,5459490137031,7.3555145,4.3557587,-2.4527283
android.sensor.gyroscope,1538338832067,5459510156562,6.9933167,3.738968,-2.5752258
android.sensor.gyroscope,1538338832088,5459530176094,6.7493744,2.8697205,-2.623169
android.sensor.gyroscope,1538338832107,5459550195625,5.960022,3.1136627,-2.1661682
android.sensor.gyroscope,1538338832128,5459570184639,4.6848907,3.6665344,-1.556839
android.sensor.gyroscope,1538338832148,5459590204170,3.6622467,3.3842316,-0.935791
android.sensor.gyroscope,1538338832167,5459610223701,3.1296082,1.8087158,-0.66841125
android.sensor.gyroscope,1538338832186,5459630243232,2.5522308,0.3386383,-0.7845154
android.sensor.gyroscope,1538338832206,5459650262764,1.7085419,0.2086792,-0.8931732
android.sensor.gyroscope,1538338832228,5459670251777,1.0171967,0.762619,-0.8622894
android.sensor.gyroscope,1538338832246,5459690271308,0.7380829,0.84783936,-0.66415405
android.sensor.gyroscope,1538338832267,5459710290840,0.51651,0.6326599,-0.5267334
