Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538339640719,6267496444404,-0.16656494,0.18388367,0.0978241
android.sensor.gyroscope,1538339640728,6267516463935,-0.17614746,0.05178833,0.018997192
android.sensor.gyroscope,1538339640744,6267536452949,-0.15484619,-0.023834229,-0.049179077
android.sensor.gyroscope,1538339640764,6267556472480,-0.095184326,-0.027038574,-0.06729126
android.sensor.gyroscope,1538339640784,6267576492012,-0.06109619,0.026229858,-0.04812622
android.sensor.gyroscope,1538339640804,6267596511543,-0.08241272,0.088012695,-0.02468872
android.sensor.gyroscope,1538339640826,6267616500557,-0.07601929,0.03048706,-0.033203125
android.sensor.gyroscope,1538339640848,6267636520088,0.062469482,-0.32743835,-0.13334656
android.sensor.gyroscope,1538339640866,6267656539619,0.3191986,-0.7098694,-0.24838257
android.sensor.gyroscope,1538339640886,6267676559150,0.52586365,-0.80255127,-0.25372314
android.sensor.gyroscope,1538339640906,6267696578682,0.5418396,-0.5799103,-0.14611816
android.sensor.gyroscope,1538339640926,6267716567695,0.40122986,-0.2869568,-0.03640747
android.sensor.gyroscope,1538339640945,6267736587226,0.25421143,-0.23049927,-0.070495605
android.sensor.gyroscope,1538339640966,6267756606758,0.25634766,-0.992157,-0.61058044
android.sensor.gyroscope,1538339640986,6267776626289,0.7634125,-3.0513153,-1.7546692
android.sensor.gyroscope,1538339641006,6267796645820,2.0151062,-5.142441,-2.7666779
android.sensor.gyroscope,1538339641026,6267816634834,3.4116669,-5.956299,-3.3397827
android.sensor.gyroscope,1538339641046,6267836654365,4.435379,-6.5390015,-4.2111664
android.sensor.gyroscope,1538339641067,6267856673896,5.5251465,-8.360596,-5.9603424
android.sensor.gyroscope,1538339641086,6267876693428,6.4966736,-10.214157,-7.9087067
android.sensor.gyroscope,1538339641105,6267896682441,6.760849,-10.3302765,-9.12204
android.sensor.gyroscope,1538339641126,6267916701973,6.333679,-9.456757,-9.697281
android.sensor.gyroscope,1538339641146,6267936721504,5.503845,-9.097763,-9.99556
android.sensor.gyroscope,1538339641166,6267956741035,4.482254,-9.7443695,-9.876251
android.sensor.gyroscope,1538339641186,6267976760566,3.0057983,-10.183273,-8.93988
android.sensor.gyroscope,1538339641206,6267996749580,0.8901825,-9.000824,-7.279129
android.sensor.gyroscope,1538339641226,6268016769111,-1.2872162,-6.1608276,-4.9717712
android.sensor.gyroscope,1538339641246,6268036788642,-2.5442352,-2.8159027,-2.278778
android.sensor.gyroscope,1538339641265,6268056808174,0.30108643,-3.3346863,0.5036926
android.sensor.gyroscope,1538339641286,6268076827705,0.94770813,-0.59695435,1.5902557
android.sensor.gyroscope,1538339641306,6268096816719,0.04649353,2.7810059,1.5188904
android.sensor.gyroscope,1538339641325,6268116836250,0.37353516,2.4465027,0.9702759
android.sensor.gyroscope,1538339641347,6268136855781,1.026535,0.81985474,0.6837158
android.sensor.gyroscope,1538339641366,6268156875312,1.6880646,-0.2368927,0.48025513
android.sensor.gyroscope,1538339641386,6268176864326,1.7253418,-0.12716675,0.2469635
android.sensor.gyroscope,1538339641407,6268196883857,1.0361176,0.008117676,-0.021484375
android.sensor.gyroscope,1538339641426,6268216903389,-0.118621826,-0.8504791,-0.6489258
android.sensor.gyroscope,1538339641446,6268236922920,-1.2275696,-3.0417328,-1.5725098
android.sensor.gyroscope,1538339641465,6268256942451,-1.4555359,-4.604477,-1.6332397
android.sensor.gyroscope,1538339641486,6268276931465,0.104019165,-2.9724884,-0.71177673
android.sensor.gyroscope,1538339641506,6268296950996,3.190094,-1.4928436,0.25868225
android.sensor.gyroscope,1538339641526,6268316970527,6.0641785,-1.5439758,0.46533203
android.sensor.gyroscope,1538339641546,6268336990058,7.7046814,-0.92185974,0.21713257
android.sensor.gyroscope,1538339641565,6268357009590,7.1326294,0.83369446,0.56547546
android.sensor.gyroscope,1538339641586,6268376998603,5.119278,1.79776,0.750824
android.sensor.gyroscope,1538339641606,6268397018135,5.519821,0.3862915,-0.5977936
android.sensor.gyroscope,1538339641626,6268417037666,8.971283,0.9562073,-1.8004761
android.sensor.gyroscope,1538339641646,6268437057197,10.717239,4.69635,1.5519104
android.sensor.gyroscope,1538339641666,6268457046211,7.7877655,5.4526825,7.089157
android.sensor.gyroscope,1538339641685,6268477065742,1.0222778,4.407669,9.804504
android.sensor.gyroscope,1538339641706,6268497085273,-4.166626,3.9741058,8.564545
android.sensor.gyroscope,1538339641726,6268517104805,-3.8363953,2.5967102,3.7495422
android.sensor.gyroscope,1538339641746,6268537124336,-1.5375519,1.1032104,-0.79060364
android.sensor.gyroscope,1538339641769,6268557113349,-0.6512604,0.5759125,-3.0628204
